SURVEY: SNLS3_LC
SNID: 03D3aw
IAUC: UNKNOWN
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0088 MW E(B-V)
REDSHIFT_HELIO: 0.449 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 52767.512

NOBS: 29
NVAR: 4
VARLIST:  MJD   FLT       FLUXCAL   FLUXCALERR

OBS: 52730.550 g  1.6769 1.3614
OBS: 52790.400 g  12.0831 2.0216
OBS: 52791.460 g  13.1165 2.0126
OBS: 52792.420 g  14.0423 2.1397
OBS: 52813.350 g  2.7526 1.3286
OBS: 52817.290 g  3.5534 1.1168
OBS: 52730.440 i  -2.0258 2.4787
OBS: 52753.540 i  58.0008 2.5438
OBS: 52758.440 i  90.1596 1.7836
OBS: 52792.350 i  66.3348 2.0264
OBS: 52796.440 i  53.8291 4.5094
OBS: 52812.400 i  28.4082 2.5002
OBS: 52816.350 i  31.4555 2.8604
OBS: 52824.300 i  13.1688 4.5233
OBS: 53017.610 i  -1.9947 2.1244
OBS: 53022.600 i  5.6898 3.4937
OBS: 53023.630 i  -5.8191 3.8079
OBS: 53031.620 i  4.5536 3.8534
OBS: 52728.410 r  21.0180 38.2562
OBS: 52730.490 r  -0.4755 1.5763
OBS: 52755.480 r  97.5710 1.3338
OBS: 52759.470 r  123.3221 1.3445
OBS: 52792.390 r  44.1464 1.4415
OBS: 52813.370 r  12.8895 1.6253
OBS: 52817.330 r  8.2418 1.2669
OBS: 53017.650 r  2.8210 2.0882
OBS: 53023.590 r  2.0285 1.1306
OBS: 52725.580 z  -13.8921 5.6910
OBS: 52730.520 z  -14.8780 7.9392
END_PHOTOMETRY:

# =============================================
