SURVEY: SNLS3_LC
SNID: 03D4di
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0262 MW E(B-V)
REDSHIFT_HELIO: 0.899 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 52901.268
FILTERS: griz

NOBS: 102
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 52851.530 g  NULL    0.6714 1.7808
OBS: 52873.400 g  NULL    0.6718 0.9989
OBS: 52876.420 g  NULL    2.2589 1.0638
OBS: 52880.430 g  NULL    -0.5762 1.0036
OBS: 52900.350 g  NULL    2.6392 1.2592
OBS: 52904.400 g  NULL    3.2456 1.2480
OBS: 52908.350 g  NULL    1.1259 1.2631
OBS: 52934.380 g  NULL    -0.8331 1.1648
OBS: 52938.300 g  NULL    2.5090 1.4218
OBS: 52942.260 g  NULL    -0.3925 1.1759
OBS: 53173.580 g  NULL    0.9644 0.9857
OBS: 53176.600 g  NULL    -0.1348 1.0020
OBS: 53180.600 g  NULL    -0.3717 1.1674
OBS: 53203.570 g  NULL    -0.6136 0.9802
OBS: 53209.590 g  NULL    1.1245 1.0381
OBS: 53210.560 g  NULL    -0.7739 0.7779
OBS: 53231.530 g  NULL    -0.1486 1.3385
OBS: 53234.540 g  NULL    -0.8655 0.9168
OBS: 53258.430 g  NULL    -1.3323 1.1447
OBS: 53262.360 g  NULL    -0.5419 1.0911
OBS: 53266.350 g  NULL    -1.2247 1.3175
OBS: 52851.490 i  NULL    1.6975 2.2750
OBS: 52872.460 i  NULL    6.2745 1.6689
OBS: 52876.480 i  NULL    11.4042 1.7746
OBS: 52880.380 i  NULL    18.0878 2.6002
OBS: 52881.380 i  NULL    20.5294 1.6744
OBS: 52885.460 i  NULL    26.1571 1.6093
OBS: 52900.380 i  NULL    32.7122 1.9723
OBS: 52904.340 i  NULL    34.2526 1.5300
OBS: 52908.270 i  NULL    32.3892 2.2798
OBS: 52913.300 i  NULL    31.5748 1.4689
OBS: 52929.340 i  NULL    7.8499 2.5303
OBS: 52934.310 i  NULL    11.2216 1.8377
OBS: 52938.260 i  NULL    7.0523 1.5572
OBS: 52942.220 i  NULL    7.8015 2.4953
OBS: 52962.260 i  NULL    5.3009 2.0775
OBS: 53173.530 i  NULL    1.5563 1.4699
