SURVEY: SNLS3_LC
SNID: 04D3do
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0089 MW E(B-V)
REDSHIFT_HELIO: 0.61 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53112.891
FILTERS: griz

NOBS: 79
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53083.600 g  NULL    0.7348 1.0792
OBS: 53109.580 g  NULL    24.4400 1.7006
OBS: 53117.480 g  NULL    14.0085 0.7896
OBS: 53121.510 g  NULL    9.6671 0.8470
OBS: 53138.460 g  NULL    1.3142 0.9602
OBS: 53146.490 g  NULL    1.6086 0.8967
OBS: 53149.330 g  NULL    0.8950 0.6651
OBS: 53165.410 g  NULL    -0.1958 0.6948
OBS: 53175.380 g  NULL    1.5008 0.9069
OBS: 53178.370 g  NULL    -0.7977 0.8941
OBS: 53195.340 g  NULL    0.6952 0.8092
OBS: 53198.300 g  NULL    3.5222 7.5100
OBS: 53200.260 g  NULL    0.4815 0.8125
OBS: 53390.650 g  NULL    -0.4170 0.9584
OBS: 53411.620 g  NULL    -0.5927 0.7805
OBS: 53080.590 i  NULL    1.2144 1.6751
OBS: 53083.530 i  NULL    4.9584 1.8319
OBS: 53094.540 i  NULL    12.9113 1.4491
OBS: 53109.490 i  NULL    62.0393 1.8200
OBS: 53112.530 i  NULL    63.2551 2.6010
OBS: 53116.500 i  NULL    58.7436 1.9880
OBS: 53117.440 i  NULL    59.5458 2.6378
OBS: 53121.490 i  NULL    53.8302 2.4685
OBS: 53123.410 i  NULL    53.2376 2.1940
OBS: 53134.280 i  NULL    32.6217 2.3892
OBS: 53138.410 i  NULL    21.4796 2.1674
OBS: 53146.430 i  NULL    16.2010 2.3127
OBS: 53151.380 i  NULL    12.8704 2.6880
OBS: 53165.330 i  NULL    4.9263 2.0426
OBS: 53169.350 i  NULL    7.9841 1.7926
OBS: 53175.330 i  NULL    8.5688 1.8540
OBS: 53178.310 i  NULL    6.5207 1.7140
OBS: 53193.340 i  NULL    4.1434 1.5470
OBS: 53198.260 i  NULL    -18.9189 17.3000
OBS: 53202.290 i  NULL    5.3363 1.5551
OBS: 53226.270 i  NULL    3.8051 2.5671
OBS: 53227.260 i  NULL    0.9864 2.1998
OBS: 53386.610 i  NULL    0.5924 1.3538
OBS: 53390.600 i  NULL    1.2273 2.3268
OBS: 53409.630 i  NULL    1.4995 1.3136
OBS: 53415.550 i  NULL    3.5387 2.2442
OBS: 53419.600 i  NULL    3.3204 1.6388
OBS: 53081.600 r  NULL    0.8613 1.1792
OBS: 53083.580 r  NULL    2.8801 1.0939
OBS: 53094.590 r  NULL    11.1095 1.3022
OBS: 53109.540 r  NULL    60.4480 1.3892
OBS: 53117.460 r  NULL    51.2581 1.0879
OBS: 53121.410 r  NULL    45.4032 0.8327
OBS: 53123.450 r  NULL    40.1401 1.1912
OBS: 53134.340 r  NULL    17.3271 0.8320
OBS: 53138.430 r  NULL    10.9040 0.9599
OBS: 53146.460 r  NULL    7.3880 1.0894
OBS: 53149.310 r  NULL    6.0484 0.7681
OBS: 53151.450 r  NULL    3.4096 1.6061
OBS: 53165.390 r  NULL    2.6361 0.7660
OBS: 53169.380 r  NULL    3.8564 1.2321
OBS: 53175.360 r  NULL    0.7993 0.9773
OBS: 53178.350 r  NULL    2.3800 0.7935
OBS: 53182.320 r  NULL    -1.4716 1.2356
OBS: 53193.380 r  NULL    3.1106 1.5672
OBS: 53197.340 r  NULL    3.5934 0.9763
OBS: 53198.300 r  NULL    2.0350 1.1715
OBS: 53204.350 r  NULL    1.5429 1.0180
OBS: 53228.250 r  NULL    0.5662 1.2564
OBS: 53386.650 r  NULL    1.4087 1.0063
OBS: 53390.630 r  NULL    -0.9928 1.3593
OBS: 53411.600 r  NULL    1.1332 0.8322
OBS: 53415.580 r  NULL    -0.7870 1.3302
OBS: 53419.640 r  NULL    0.0554 1.8981
OBS: 53083.630 z  NULL    3.0137 8.0383
OBS: 53094.610 z  NULL    14.5970 5.4960
OBS: 53123.490 z  NULL    49.9913 3.2982
OBS: 53134.380 z  NULL    20.8730 3.9624
OBS: 53151.330 z  NULL    14.9487 3.4024
OBS: 53169.420 z  NULL    15.7987 5.7743
OBS: 53177.380 z  NULL    10.6084 3.0350
OBS: 53182.360 z  NULL    7.7223 2.8076
OBS: 53204.300 z  NULL    7.7221 2.6713
OBS: 53415.620 z  NULL    -0.5389 4.0938
END_PHOTOMETRY:

# =============================================
