SURVEY: SNLS3_LC
SNID: 05D1ck
IAUC: UNKNOWN
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0264 MW E(B-V)
REDSHIFT_HELIO: 0.617 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53628.251

NOBS: 98
NVAR: 4
VARLIST:  MJD   FLT       FLUXCAL   FLUXCALERR

OBS: 53587.560 g  -0.7191 0.8495
OBS: 53592.600 g  0.7063 1.0298
OBS: 53613.580 g  3.2057 0.7948
OBS: 53617.540 g  6.1133 0.6373
OBS: 53622.520 g  4.9234 1.3933
OBS: 53624.540 g  7.2433 0.7983
OBS: 53642.480 g  2.8592 1.1392
OBS: 53648.470 g  0.8341 1.1190
OBS: 53651.450 g  0.8179 0.9023
OBS: 53655.540 g  -0.8647 1.5460
OBS: 53670.360 g  1.5803 0.7529
OBS: 53675.450 g  0.2339 0.9317
OBS: 53678.390 g  0.8183 0.8226
OBS: 53699.320 g  2.4027 0.6592
OBS: 53702.380 g  -0.6521 0.7291
OBS: 53705.350 g  0.6619 0.6318
OBS: 53726.340 g  -0.3340 1.0540
OBS: 53730.370 g  3.7481 2.6577
OBS: 53731.310 g  0.8032 1.1827
OBS: 53734.280 g  -0.3833 0.7433
OBS: 53739.290 g  -0.5837 1.3336
OBS: 53767.220 g  -0.0570 1.2900
OBS: 53948.610 g  0.6964 0.8001
OBS: 53586.560 i  -1.6863 1.0455
OBS: 53592.580 i  3.3032 2.3104
OBS: 53609.520 i  10.7933 1.5939
OBS: 53613.520 i  25.4455 2.5187
OBS: 53617.570 i  29.2894 1.2363
OBS: 53622.470 i  37.7316 2.3694
OBS: 53624.490 i  38.1720 1.2090
OBS: 53639.530 i  31.2166 1.4442
OBS: 53642.430 i  29.2550 2.1199
OBS: 53647.550 i  22.2985 1.8819
OBS: 53648.420 i  21.8265 1.8367
OBS: 53651.410 i  15.6320 2.3462
OBS: 53655.420 i  16.3107 1.4911
OBS: 53666.410 i  8.6294 2.3791
OBS: 53667.430 i  7.4237 1.4369
OBS: 53670.320 i  3.2399 2.2561
OBS: 53674.390 i  4.6006 1.4036
OBS: 53678.350 i  4.0399 2.6942
OBS: 53682.300 i  3.8743 5.7297
OBS: 53699.290 i  3.5916 1.4024
OBS: 53702.290 i  -0.3491 2.2168
OBS: 53705.300 i  3.9066 0.8457
OBS: 53711.290 i  -0.9220 2.0571
OBS: 53726.280 i  2.0237 0.9586
OBS: 53730.320 i  2.1247 2.6782
OBS: 53734.250 i  2.0355 0.9510
OBS: 53739.260 i  2.8340 1.5496
OBS: 53766.250 i  -0.7153 2.0642
OBS: 53769.230 i  3.9117 1.3707
OBS: 53944.600 i  -0.3883 1.9764
OBS: 53946.610 i  -1.8197 4.4647
OBS: 53586.600 r  0.4613 1.0520
OBS: 53592.560 r  -2.8059 1.3751
OBS: 53609.560 r  9.5709 1.9344
OBS: 53613.550 r  16.0115 1.1859
OBS: 53617.520 r  26.1069 0.8871
OBS: 53622.500 r  34.4087 1.8022
OBS: 53624.530 r  31.9627 1.2296
OBS: 53639.570 r  22.6430 1.8756
OBS: 53642.450 r  14.5624 1.7314
OBS: 53648.450 r  12.0513 1.3460
OBS: 53651.430 r  13.4875 1.4539
OBS: 53655.520 r  7.8813 2.2456
OBS: 53666.460 r  4.4301 5.4859
OBS: 53667.470 r  4.8232 1.6323
OBS: 53670.340 r  3.4892 1.4790
OBS: 53674.470 r  4.9527 1.8047
OBS: 53675.380 r  4.3977 1.4524
OBS: 53678.370 r  0.6133 1.4321
OBS: 53698.460 r  0.2660 1.2506
OBS: 53702.330 r  -0.1183 1.2371
OBS: 53705.330 r  -1.3699 0.9280
OBS: 53711.360 r  1.2306 2.4962
OBS: 53726.320 r  -1.2277 1.2390
OBS: 53730.350 r  -3.1022 1.7497
OBS: 53734.310 r  0.0172 1.1725
OBS: 53739.310 r  2.1243 1.6453
OBS: 53766.290 r  -1.7095 2.3181
OBS: 53769.260 r  -1.5513 1.3891
OBS: 53948.590 r  -0.6596 1.2655
OBS: 53609.600 z  7.7949 3.6236
OBS: 53613.610 z  20.1172 3.3293
OBS: 53617.480 z  26.3784 3.0240
OBS: 53624.580 z  37.0345 3.6537
OBS: 53639.600 z  37.4172 4.6901
OBS: 53642.510 z  48.7308 4.4929
OBS: 53648.510 z  30.2453 4.2161
OBS: 53655.490 z  26.1344 4.7904
OBS: 53668.360 z  12.6147 4.1425
OBS: 53675.490 z  7.2760 3.5153
OBS: 53699.360 z  3.1234 2.5800
OBS: 53705.390 z  9.6653 2.3483
OBS: 53726.380 z  2.8122 3.9881
OBS: 53734.350 z  2.2466 4.3427
OBS: 53739.350 z  8.1029 3.5281
END_PHOTOMETRY:

# =============================================
