SURVEY: SNLS3_LC
SNID: 05D1ee
IAUC: UNKNOWN
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0305 MW E(B-V)
REDSHIFT_HELIO: 0.559 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53660.729

NOBS: 95
NVAR: 4
VARLIST:  MJD   FLT       FLUXCAL   FLUXCALERR

OBS: 53617.540 g  1.0827 1.1814
OBS: 53622.520 g  4.2785 1.9029
OBS: 53624.550 g  2.1824 1.1572
OBS: 53642.480 g  4.8976 1.4009
OBS: 53648.470 g  14.7860 1.2988
OBS: 53651.460 g  17.2147 1.0669
OBS: 53655.550 g  19.2460 2.1196
OBS: 53670.360 g  9.7396 1.0085
OBS: 53675.460 g  4.8424 1.1023
OBS: 53678.390 g  2.6661 1.2360
OBS: 53699.320 g  1.3783 0.8707
OBS: 53702.390 g  1.4495 1.0174
OBS: 53705.360 g  1.4531 0.9635
OBS: 53726.350 g  2.3565 1.3118
OBS: 53730.370 g  3.2521 3.5922
OBS: 53731.320 g  -1.6514 1.3903
OBS: 53734.290 g  0.4354 0.9346
OBS: 53739.300 g  1.6315 2.2365
OBS: 53767.230 g  2.5121 1.6181
OBS: 53948.610 g  0.7083 1.2270
OBS: 53967.600 g  0.3753 1.4068
OBS: 53971.530 g  1.8858 1.0749
OBS: 53617.570 i  -1.7742 1.6012
OBS: 53622.470 i  -4.2657 2.7067
OBS: 53624.490 i  -2.3594 1.5645
OBS: 53639.530 i  7.3926 1.6234
OBS: 53642.430 i  16.5606 2.5861
OBS: 53647.530 i  29.2641 1.9044
OBS: 53648.410 i  30.4851 4.1162
OBS: 53651.410 i  42.9613 2.4212
OBS: 53655.420 i  54.3880 1.7659
OBS: 53666.410 i  55.3706 3.3878
OBS: 53667.430 i  56.2396 1.7477
OBS: 53670.320 i  54.0131 2.5452
OBS: 53674.390 i  45.0397 1.7878
OBS: 53678.350 i  44.1786 2.9946
OBS: 53682.320 i  27.6638 5.3587
OBS: 53699.290 i  9.1003 1.5536
OBS: 53702.290 i  13.2979 2.5495
OBS: 53705.290 i  8.7687 1.2320
OBS: 53711.290 i  5.9558 2.5586
OBS: 53726.280 i  1.8337 1.0711
OBS: 53730.320 i  3.4373 2.9519
OBS: 53734.250 i  4.0036 1.2961
OBS: 53739.270 i  0.8951 2.1506
OBS: 53766.250 i  1.5333 2.5196
OBS: 53769.230 i  3.3273 1.6444
OBS: 53944.580 i  5.8304 3.9886
OBS: 53946.620 i  -6.9676 7.3545
OBS: 53963.540 i  -1.0912 1.4316
OBS: 53967.560 i  -1.9960 2.0978
OBS: 53970.550 i  -1.7068 1.3289
OBS: 53617.530 r  0.6297 2.4219
OBS: 53622.500 r  4.0124 2.2661
OBS: 53624.530 r  4.3782 1.5362
OBS: 53639.570 r  7.0365 2.1877
OBS: 53642.460 r  16.3520 2.1524
OBS: 53648.450 r  37.0399 1.7984
OBS: 53651.440 r  43.4343 1.8579
OBS: 53655.530 r  54.6988 2.6929
OBS: 53666.450 r  46.9813 8.2215
OBS: 53667.470 r  46.4425 1.8737
OBS: 53670.340 r  42.0871 1.6319
OBS: 53674.500 r  29.8973 3.8060
OBS: 53675.380 r  29.5228 1.6133
OBS: 53678.370 r  24.3755 1.8687
OBS: 53698.460 r  3.2072 1.6362
OBS: 53702.350 r  3.3511 1.4202
OBS: 53705.330 r  4.3924 1.0005
OBS: 53711.360 r  3.2291 2.8130
OBS: 53726.330 r  2.0816 1.6604
OBS: 53730.350 r  4.1287 1.9859
OBS: 53734.310 r  0.8036 1.4585
OBS: 53739.320 r  2.1552 2.8103
OBS: 53766.290 r  0.2818 2.9092
OBS: 53769.270 r  -0.1956 1.6440
OBS: 53948.590 r  0.7159 1.8162
OBS: 53963.590 r  2.0281 1.9046
OBS: 53967.580 r  -0.5358 1.6356
OBS: 53970.600 r  0.9915 1.1718
OBS: 53617.480 z  -0.1609 3.7212
OBS: 53624.580 z  -0.6267 4.1005
OBS: 53639.600 z  5.1464 5.0933
OBS: 53642.510 z  16.5560 4.9428
OBS: 53648.510 z  38.8487 4.5844
OBS: 53655.490 z  44.5138 5.3123
OBS: 53668.360 z  63.9328 5.2869
OBS: 53675.490 z  51.4287 4.3356
OBS: 53699.360 z  23.4209 2.9432
OBS: 53705.390 z  16.0919 2.6728
OBS: 53726.380 z  14.3542 4.4620
OBS: 53734.350 z  -4.2751 4.9960
OBS: 53739.350 z  -2.6093 4.5644
OBS: 53963.620 z  -8.1206 4.9600
OBS: 53971.600 z  -7.6856 3.9375
END_PHOTOMETRY:

# =============================================
