SURVEY: SNLS3_LC
SNID: 05D1er
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0296 MW E(B-V)
REDSHIFT_HELIO: 0.86 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53667.358
FILTERS: griz

NOBS: 137
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53613.580 g  NULL    -1.5812 0.9983
OBS: 53617.540 g  NULL    -0.1009 0.7827
OBS: 53622.520 g  NULL    -1.2289 1.6867
OBS: 53624.550 g  NULL    0.0634 0.9738
OBS: 53642.480 g  NULL    1.5576 1.1109
OBS: 53648.470 g  NULL    0.1713 0.9819
OBS: 53651.450 g  NULL    0.8671 0.8622
OBS: 53655.540 g  NULL    1.4840 1.5625
OBS: 53670.360 g  NULL    1.1855 0.7604
OBS: 53675.450 g  NULL    0.7255 0.8271
OBS: 53678.390 g  NULL    -0.0995 0.9002
OBS: 53699.310 g  NULL    -1.3604 1.2696
OBS: 53702.390 g  NULL    0.6838 0.7889
OBS: 53705.350 g  NULL    -0.6934 0.6927
OBS: 53726.350 g  NULL    -0.3037 1.0124
OBS: 53730.370 g  NULL    -1.7342 3.0660
OBS: 53731.320 g  NULL    -0.4555 1.3615
OBS: 53734.290 g  NULL    0.5537 0.7622
OBS: 53739.300 g  NULL    0.6656 1.7397
OBS: 53767.230 g  NULL    -1.7616 1.2338
OBS: 53948.610 g  NULL    0.7217 1.0670
OBS: 53967.600 g  NULL    0.2432 1.1636
OBS: 53971.530 g  NULL    0.0785 0.9148
OBS: 53975.630 g  NULL    0.1399 1.6944
OBS: 53979.570 g  NULL    0.5263 1.2006
OBS: 53996.600 g  NULL    0.5033 1.1709
OBS: 53999.570 g  NULL    2.0852 0.9282
OBS: 54023.470 g  NULL    1.0492 1.1904
OBS: 54031.530 g  NULL    0.3339 1.3443
OBS: 54035.420 g  NULL    -0.7686 0.9031
OBS: 54039.380 g  NULL    0.1205 2.1676
OBS: 53613.520 i  NULL    -1.6238 2.9857
OBS: 53617.570 i  NULL    -2.4048 1.5441
OBS: 53622.470 i  NULL    1.0007 2.5698
OBS: 53624.490 i  NULL    -1.8185 1.6282
OBS: 53639.530 i  NULL    1.3895 1.3995
OBS: 53642.430 i  NULL    7.0357 2.1936
OBS: 53647.560 i  NULL    10.1969 1.8193
OBS: 53648.420 i  NULL    10.9106 2.8946
OBS: 53651.410 i  NULL    19.9483 2.1226
OBS: 53655.410 i  NULL    20.8481 1.5944
OBS: 53666.400 i  NULL    24.4810 3.0262
OBS: 53667.430 i  NULL    25.0316 1.4357
OBS: 53670.320 i  NULL    25.2118 2.1642
OBS: 53674.390 i  NULL    24.3279 1.6116
OBS: 53678.350 i  NULL    21.9511 2.3635
OBS: 53682.310 i  NULL    5.9978 4.9527
OBS: 53699.280 i  NULL    6.4054 1.2809
OBS: 53702.290 i  NULL    7.7574 2.3315
OBS: 53705.290 i  NULL    3.9577 1.2654
OBS: 53711.290 i  NULL    3.8305 2.4174
OBS: 53726.280 i  NULL    3.7400 1.0192
OBS: 53730.320 i  NULL    3.0674 2.6705
OBS: 53734.250 i  NULL    0.2664 1.2415
OBS: 53739.260 i  NULL    3.0725 1.8670
OBS: 53766.250 i  NULL    -1.1924 2.1999
OBS: 53769.230 i  NULL    -0.6395 1.4229
OBS: 53944.580 i  NULL    0.3856 3.7571
OBS: 53946.610 i  NULL    -1.3850 5.2339
OBS: 53963.540 i  NULL    -0.3562 1.5997
OBS: 53967.560 i  NULL    0.8562 2.1670
OBS: 53970.540 i  NULL    -1.1147 1.5389
OBS: 53975.580 i  NULL    -0.7361 1.6685
OBS: 53979.520 i  NULL    -1.3044 2.5598
OBS: 53992.600 i  NULL    -0.6869 1.8060
OBS: 53996.550 i  NULL    -0.5670 1.9004
OBS: 53999.510 i  NULL    2.2712 1.6664
OBS: 54006.570 i  NULL    2.4149 1.8813
OBS: 54019.460 i  NULL    -0.0312 1.7855
OBS: 54023.430 i  NULL    2.6697 2.0904
OBS: 54031.470 i  NULL    4.7011 2.0337
OBS: 54035.380 i  NULL    2.9295 1.5633
OBS: 54039.320 i  NULL    -3.2193 2.2773
OBS: 53613.550 r  NULL    1.0196 1.2789
OBS: 53617.520 r  NULL    0.5964 0.9989
OBS: 53622.500 r  NULL    -1.6122 1.8279
OBS: 53624.530 r  NULL    3.1429 1.3118
OBS: 53639.570 r  NULL    1.5193 1.5771
OBS: 53642.450 r  NULL    0.4535 1.4950
OBS: 53648.450 r  NULL    4.0833 1.2083
OBS: 53651.430 r  NULL    8.5746 1.2864
OBS: 53655.530 r  NULL    12.5027 1.9946
OBS: 53666.460 r  NULL    12.7450 5.2653
OBS: 53667.470 r  NULL    12.7062 1.3300
OBS: 53670.340 r  NULL    7.9045 1.2258
OBS: 53674.490 r  NULL    9.5507 2.0689
OBS: 53675.380 r  NULL    8.3486 1.2391
OBS: 53678.370 r  NULL    7.9203 1.2574
OBS: 53698.460 r  NULL    0.5202 1.2343
OBS: 53702.340 r  NULL    0.9189 1.0376
OBS: 53705.330 r  NULL    1.4386 0.7359
OBS: 53711.360 r  NULL    2.0943 2.0577
OBS: 53726.320 r  NULL    -0.5040 1.1211
OBS: 53730.350 r  NULL    2.7154 1.6783
OBS: 53734.310 r  NULL    4.1316 1.2090
OBS: 53739.310 r  NULL    -2.7462 1.7810
OBS: 53766.290 r  NULL    -1.1631 2.1180
OBS: 53769.270 r  NULL    0.5015 1.1633
OBS: 53948.590 r  NULL    -1.1101 1.3357
OBS: 53963.590 r  NULL    -1.9343 1.5044
OBS: 53967.580 r  NULL    1.4451 1.2348
OBS: 53970.600 r  NULL    0.7200 0.9969
OBS: 53975.610 r  NULL    0.5184 1.3243
OBS: 53979.550 r  NULL    -0.5751 1.0861
OBS: 53993.490 r  NULL    -0.9433 0.9582
OBS: 53996.570 r  NULL    0.7138 1.2153
