SURVEY: SNLS3_LC
SNID: 05D4dt
IAUC: UNKNOWN
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0259 MW E(B-V)
REDSHIFT_HELIO: 0.407 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53609.149

NOBS: 90
NVAR: 4
VARLIST:  MJD   FLT       FLUXCAL   FLUXCALERR

OBS: 53582.550 g  1.7225 1.4126
OBS: 53583.400 g  -2.6225 1.0460
OBS: 53586.530 g  -0.3611 1.0886
OBS: 53587.390 g  0.5933 0.9377
OBS: 53592.430 g  4.8644 0.8925
OBS: 53594.460 g  12.6253 1.0977
OBS: 53609.420 g  54.3765 1.2565
OBS: 53613.430 g  41.6589 1.3339
OBS: 53617.420 g  33.3208 1.1172
OBS: 53622.340 g  24.5790 1.0630
OBS: 53624.390 g  20.1925 1.1911
OBS: 53639.310 g  8.4672 1.2466
OBS: 53642.290 g  5.1548 1.0174
OBS: 53648.310 g  4.5178 0.9543
OBS: 53651.300 g  4.2581 1.2694
OBS: 53654.290 g  3.8813 2.2030
OBS: 53666.340 g  -3.1523 1.4767
OBS: 53670.230 g  0.5272 0.9631
OBS: 53674.290 g  0.6357 0.9949
OBS: 53678.270 g  1.4818 1.1471
OBS: 53700.200 g  1.3753 0.8148
OBS: 53705.240 g  0.3828 0.9375
OBS: 53577.570 i  -1.1221 1.7158
OBS: 53582.460 i  -3.2742 2.5499
OBS: 53586.440 i  1.8035 1.2513
OBS: 53591.440 i  11.9452 3.4668
OBS: 53594.400 i  24.2950 2.4699
OBS: 53609.360 i  104.9805 1.6659
OBS: 53613.350 i  104.9897 2.1037
OBS: 53615.380 i  94.6552 3.4350
OBS: 53622.340 i  72.8595 2.1174
OBS: 53624.320 i  67.2627 2.1204
OBS: 53639.290 i  41.3346 2.2718
OBS: 53642.250 i  36.3367 2.3270
OBS: 53647.340 i  27.3033 1.4594
OBS: 53651.260 i  23.9557 2.2830
OBS: 53654.240 i  20.6686 2.6204
OBS: 53666.270 i  16.9342 2.6461
OBS: 53667.330 i  4.8503 4.2975
OBS: 53670.220 i  8.4897 2.6276
OBS: 53674.230 i  11.2866 1.7449
OBS: 53678.200 i  12.8700 2.7003
OBS: 53681.230 i  2.4325 4.4022
OBS: 53699.210 i  2.8242 1.6446
OBS: 53705.220 i  9.6225 2.0403
OBS: 53709.200 i  8.1002 3.8378
OBS: 53888.600 i  1.5925 2.1275
OBS: 53577.600 r  -1.1933 2.8310
OBS: 53578.490 r  -0.0023 2.9839
OBS: 53579.510 r  4.2382 4.7621
OBS: 53582.490 r  -3.4559 2.0036
OBS: 53586.500 r  -0.4101 1.4735
OBS: 53591.470 r  7.6723 3.0406
OBS: 53592.410 r  18.5068 1.4224
OBS: 53594.440 r  29.7472 1.7265
OBS: 53609.400 r  114.4602 1.7653
OBS: 53613.400 r  104.8457 1.8733
OBS: 53617.400 r  92.0337 1.2543
OBS: 53622.390 r  68.4022 2.4151
OBS: 53624.360 r  59.8262 1.8029
OBS: 53639.350 r  19.5003 2.0301
OBS: 53642.270 r  18.6255 1.6192
OBS: 53648.260 r  12.9989 1.7183
OBS: 53651.280 r  12.0265 1.4703
OBS: 53654.270 r  13.0383 2.4784
OBS: 53666.320 r  5.8809 2.0403
OBS: 53670.250 r  5.9598 1.7242
OBS: 53674.270 r  4.5363 1.5633
OBS: 53678.240 r  6.1999 2.2243
OBS: 53681.250 r  4.7527 1.6742
OBS: 53699.250 r  5.2678 1.2969
OBS: 53705.260 r  4.5274 1.2887
OBS: 53709.230 r  2.4768 2.5379
OBS: 53889.600 r  -0.4801 1.6352
OBS: 53579.550 z  9.7055 5.2121
OBS: 53587.420 z  15.4459 3.7940
OBS: 53593.390 z  28.3029 3.4901
OBS: 53609.450 z  91.5911 4.1340
OBS: 53613.460 z  97.2142 4.9786
OBS: 53617.320 z  80.2323 3.8458
OBS: 53624.420 z  55.9458 3.9591
OBS: 53639.380 z  39.2009 5.0553
OBS: 53642.330 z  32.1372 3.7920
OBS: 53648.350 z  28.1157 4.6275
OBS: 53654.330 z  7.5541 5.4637
OBS: 53668.220 z  9.0902 6.3929
OBS: 53674.320 z  9.5097 4.5700
OBS: 53681.280 z  6.1959 12.5597
OBS: 53682.210 z  10.0643 5.4157
OBS: 53700.230 z  4.3009 2.8370
END_PHOTOMETRY:

# =============================================
