SURVEY: SNLS3_LC
SNID: 06D2ag
IAUC: UNKNOWN
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0188 MW E(B-V)
REDSHIFT_HELIO: 0.31 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53756.208

NOBS: 61
NVAR: 4
VARLIST:  MJD   FLT       FLUXCAL   FLUXCALERR

OBS: 53731.540 g  0.6858 0.6589
OBS: 53735.520 g  6.2062 0.9289
OBS: 53739.490 g  30.5676 1.0737
OBS: 53742.500 g  71.4016 0.8337
OBS: 53766.470 g  90.3521 0.9523
OBS: 53769.400 g  71.5267 1.0559
OBS: 53791.480 g  12.8712 3.7659
OBS: 53798.490 g  9.1717 2.2264
OBS: 53799.290 g  7.8130 1.5608
OBS: 53848.330 g  2.6902 0.8307
OBS: 53854.290 g  4.2534 0.6621
OBS: 53856.330 g  3.7165 0.8841
OBS: 53877.300 g  5.2847 1.2385
OBS: 53884.280 g  2.5997 1.0870
OBS: 53728.550 i  1.1425 1.2682
OBS: 53731.490 i  0.1976 1.1758
OBS: 53735.460 i  12.9485 1.4352
OBS: 53739.460 i  52.6539 2.0120
OBS: 53742.450 i  90.6222 1.2928
OBS: 53766.420 i  186.1894 1.5029
OBS: 53769.350 i  163.8181 2.9488
OBS: 53772.430 i  140.4264 1.6261
OBS: 53784.330 i  110.7410 1.5406
OBS: 53791.380 i  103.9707 7.0727
OBS: 53798.440 i  74.5843 1.5871
OBS: 53801.280 i  65.2689 1.3917
OBS: 53848.270 i  22.8060 1.0172
OBS: 53853.300 i  18.8879 1.1695
OBS: 53856.260 i  16.8859 0.9958
OBS: 53858.260 i  17.9455 1.3619
OBS: 53878.280 i  11.6910 1.3439
OBS: 53884.260 i  7.1245 1.5225
OBS: 53728.600 r  1.3641 1.3751
OBS: 53731.520 r  0.7499 0.8484
OBS: 53735.500 r  13.7413 1.0814
OBS: 53739.500 r  53.3801 2.1911
OBS: 53740.460 r  64.5075 0.9781
OBS: 53742.480 r  89.9974 0.9793
OBS: 53766.460 r  158.0165 1.2613
OBS: 53769.380 r  135.8979 1.5262
OBS: 53784.380 r  51.9458 2.4728
OBS: 53791.450 r  37.8318 2.9495
OBS: 53798.470 r  24.9368 1.7400
OBS: 53801.320 r  21.6341 1.4303
OBS: 53848.310 r  13.5539 1.2044
OBS: 53853.370 r  10.7539 5.4168
OBS: 53854.270 r  12.1596 0.9071
OBS: 53856.300 r  12.3517 0.9975
OBS: 53858.300 r  12.7049 1.7856
OBS: 53876.270 r  22.1242 6.8087
OBS: 53877.270 r  11.0987 1.3334
OBS: 53885.260 r  9.0846 3.7686
OBS: 53886.260 r  14.5567 1.8163
OBS: 53728.630 z  1.9145 1.9366
OBS: 53735.560 z  21.4254 2.4702
OBS: 53742.530 z  97.5729 2.3097
OBS: 53784.400 z  102.5048 8.8425
OBS: 53799.330 z  74.7721 2.8832
OBS: 53848.370 z  11.9469 3.4209
OBS: 53856.350 z  10.2241 5.1588
OBS: 53858.330 z  18.3531 3.6026
END_PHOTOMETRY:

# =============================================
