SURVEY: SNLS3_LC
SNID: 06D2ff
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0194 MW E(B-V)
REDSHIFT_HELIO: 0.345 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53840.163
FILTERS: griz

NOBS: 54
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53791.480 g  NULL    3.0029 4.0865
OBS: 53798.490 g  NULL    -3.6048 2.0067
OBS: 53799.290 g  NULL    0.2372 1.5547
OBS: 53848.330 g  NULL    30.3481 1.1328
OBS: 53854.290 g  NULL    20.5117 0.7639
OBS: 53856.320 g  NULL    15.4486 1.1389
OBS: 53877.300 g  NULL    3.5128 1.4896
OBS: 53884.280 g  NULL    2.2235 1.0167
OBS: 54061.600 g  NULL    -0.3896 1.5817
OBS: 54066.560 g  NULL    0.7214 1.2980
OBS: 54086.570 g  NULL    0.2301 1.1919
OBS: 54089.540 g  NULL    1.3289 0.6980
OBS: 54092.660 g  NULL    -0.2115 2.0663
OBS: 54095.530 g  NULL    0.6584 0.8089
OBS: 53791.380 i  NULL    14.0699 7.7665
OBS: 53798.440 i  NULL    3.4478 1.6187
OBS: 53801.280 i  NULL    1.5186 1.6794
OBS: 53853.300 i  NULL    77.3599 1.4684
OBS: 53858.260 i  NULL    62.5151 1.6458
OBS: 53878.280 i  NULL    37.5319 1.8446
OBS: 53884.260 i  NULL    25.7760 1.7743
OBS: 54060.610 i  NULL    -2.4434 1.4286
OBS: 54066.540 i  NULL    1.5846 2.2968
OBS: 54082.530 i  NULL    -0.0525 1.7289
OBS: 54086.560 i  NULL    2.3760 2.0671
OBS: 54092.520 i  NULL    3.1330 2.3211
OBS: 54095.470 i  NULL    0.9660 1.4369
OBS: 53791.450 r  NULL    -6.2554 3.2203
OBS: 53798.470 r  NULL    0.1855 1.8948
OBS: 53801.320 r  NULL    1.3960 1.6372
OBS: 53848.310 r  NULL    63.7021 1.4007
OBS: 53853.360 r  NULL    49.4549 6.4154
OBS: 53854.270 r  NULL    52.8185 1.0357
OBS: 53856.300 r  NULL    43.6076 1.1508
OBS: 53858.300 r  NULL    36.1033 2.1465
OBS: 53876.270 r  NULL    24.3695 7.6675
OBS: 53877.270 r  NULL    9.6995 1.7144
OBS: 53885.260 r  NULL    2.7139 4.0555
OBS: 53886.260 r  NULL    9.2572 1.8464
OBS: 54061.580 r  NULL    0.8218 1.4539
OBS: 54066.580 r  NULL    1.6022 1.5256
OBS: 54082.560 r  NULL    3.1376 2.2248
OBS: 54085.610 r  NULL    -2.1239 1.6499
OBS: 54089.610 r  NULL    1.4525 1.3070
OBS: 54092.550 r  NULL    -2.6426 5.1330
OBS: 54093.470 r  NULL    2.2205 2.0720
OBS: 54095.510 r  NULL    0.1898 1.2098
OBS: 53799.330 z  NULL    -1.4816 3.6249
OBS: 53848.370 z  NULL    80.2675 4.2179
OBS: 53856.350 z  NULL    51.6550 6.7829
OBS: 53858.340 z  NULL    50.7091 4.6090
OBS: 54082.600 z  NULL    0.4512 3.5325
OBS: 54089.570 z  NULL    0.3185 2.6446
OBS: 54095.560 z  NULL    0.5287 3.6053
END_PHOTOMETRY:

# =============================================
