SURVEY: SNLS3_LC
SNID: 06D3em
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0105 MW E(B-V)
REDSHIFT_HELIO: 0.69 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53881.869
FILTERS: griz

NOBS: 57
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53847.570 g  NULL    1.0689 1.6448
OBS: 53851.420 g  NULL    0.0374 0.8816
OBS: 53853.430 g  NULL    -0.0703 0.7934
OBS: 53855.410 g  NULL    0.2334 0.6871
OBS: 53859.360 g  NULL    0.2237 0.8769
OBS: 53875.360 g  NULL    3.4423 0.7106
OBS: 53879.310 g  NULL    2.8399 0.8363
OBS: 53883.390 g  NULL    2.4636 0.7862
OBS: 53888.400 g  NULL    2.1492 0.7902
OBS: 53892.370 g  NULL    1.4816 1.2363
OBS: 53906.370 g  NULL    0.1607 1.0944
OBS: 53911.330 g  NULL    -0.7829 1.0005
OBS: 53916.320 g  NULL    -0.1818 1.1172
OBS: 53936.300 g  NULL    0.7332 0.8098
OBS: 53939.300 g  NULL    0.6138 0.7007
OBS: 53943.300 g  NULL    0.7209 0.7870
OBS: 53847.450 i  NULL    -2.5870 1.7881
OBS: 53851.320 i  NULL    0.1962 1.9455
OBS: 53855.360 i  NULL    2.5986 1.7190
OBS: 53859.310 i  NULL    5.8266 1.9916
OBS: 53875.470 i  NULL    26.1274 2.0997
OBS: 53879.260 i  NULL    34.7985 2.0930
OBS: 53883.330 i  NULL    32.9671 1.5000
OBS: 53888.360 i  NULL    27.9319 2.4009
OBS: 53892.320 i  NULL    22.2765 2.0884
OBS: 53906.310 i  NULL    11.8219 1.6376
OBS: 53910.350 i  NULL    11.6047 1.5640
OBS: 53915.320 i  NULL    9.6475 2.2614
OBS: 53919.340 i  NULL    6.0543 1.7265
OBS: 53935.310 i  NULL    1.5920 2.1370
OBS: 53939.260 i  NULL    0.3867 1.8929
OBS: 53943.270 i  NULL    1.8265 1.7789
OBS: 53848.440 r  NULL    1.2381 1.4745
OBS: 53851.400 r  NULL    1.4015 0.9735
OBS: 53855.390 r  NULL    1.6983 0.9433
OBS: 53859.340 r  NULL    2.6313 1.0655
OBS: 53875.500 r  NULL    22.5044 2.1421
OBS: 53879.290 r  NULL    21.1408 1.0705
OBS: 53883.370 r  NULL    21.0806 1.2012
OBS: 53888.380 r  NULL    15.6442 1.2169
OBS: 53892.350 r  NULL    13.7278 1.3434
OBS: 53906.350 r  NULL    5.9026 1.1911
OBS: 53911.280 r  NULL    4.3958 1.0476
OBS: 53916.340 r  NULL    3.6685 1.2961
OBS: 53919.310 r  NULL    5.0731 1.4998
OBS: 53935.340 r  NULL    2.9245 1.8609
OBS: 53939.280 r  NULL    1.2263 1.0695
OBS: 53943.320 r  NULL    0.7039 1.3912
OBS: 53848.470 z  NULL    -17.0936 5.3219
OBS: 53855.450 z  NULL    5.3311 3.2172
OBS: 53859.400 z  NULL    2.5673 2.8406
OBS: 53875.410 z  NULL    37.5486 4.1761
OBS: 53883.420 z  NULL    33.3504 4.3369
OBS: 53892.410 z  NULL    29.4650 2.2411
OBS: 53906.400 z  NULL    28.9634 6.3353
OBS: 53915.380 z  NULL    8.3518 6.0033
OBS: 53919.270 z  NULL    16.4055 3.1282
END_PHOTOMETRY:

# =============================================
