SURVEY: SDSS
SNID: 14024.0
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SDSS
MWEBV: 0.1152 MW E(B-V)
REDSHIFT_HELIO: 0.146 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 54011.254
FILTERS: tvywxABCfhjklugriz

NOBS: 111
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53975.188 g  NULL    -11.9000 15.5420
OBS: 53996.195 g  NULL    11.4600 13.5760
OBS: 53998.164 g  NULL    61.9300 13.2480
OBS: 54005.199 g  NULL    414.7602 17.6610
OBS: 54008.152 g  NULL    510.3502 23.2250
OBS: 54010.148 g  NULL    505.6602 26.4550
OBS: 54012.141 g  NULL    490.9702 52.5500
OBS: 54020.145 g  NULL    287.3301 15.3480
OBS: 54028.137 g  NULL    95.9000 17.7960
OBS: 54030.137 g  NULL    91.1600 13.5540
OBS: 54032.129 g  NULL    80.4400 19.7640
OBS: 54037.117 g  NULL    88.0500 20.0960
OBS: 54040.133 g  NULL    31.1600 41.2620
OBS: 54047.125 g  NULL    114.8600 61.7960
OBS: 54050.117 g  NULL    37.0500 16.1350
OBS: 54053.121 g  NULL    33.6500 16.3310
OBS: 54056.125 g  NULL    31.6300 23.1510
OBS: 54057.094 g  NULL    27.2500 14.7600
OBS: 54059.117 g  NULL    26.8000 14.6340
OBS: 54061.129 g  NULL    28.3100 17.9290
OBS: 54062.121 g  NULL    -1.3200 21.0620
OBS: 54068.113 g  NULL    68.3400 55.6420
OBS: 53975.188 r  NULL    -2.2100 24.8870
OBS: 53996.195 r  NULL    50.6600 21.5830
OBS: 53998.164 r  NULL    93.9900 20.8790
OBS: 54005.199 r  NULL    454.2499 23.9130
OBS: 54008.152 r  NULL    547.7599 28.0970
OBS: 54010.148 r  NULL    615.7899 32.2640
OBS: 54012.141 r  NULL    567.8099 49.2940
OBS: 54020.145 r  NULL    512.5799 25.9520
OBS: 54028.137 r  NULL    354.0799 29.1730
OBS: 54030.137 r  NULL    291.9199 22.9550
OBS: 54032.129 r  NULL    202.7200 34.9970
OBS: 54037.117 r  NULL    226.7700 27.4680
OBS: 54040.133 r  NULL    119.3600 47.2240
OBS: 54047.125 r  NULL    41.4400 87.2440
OBS: 54050.117 r  NULL    103.2400 30.0290
OBS: 54053.121 r  NULL    54.1600 29.2560
OBS: 54056.125 r  NULL    139.1900 42.3110
OBS: 54057.094 r  NULL    88.8600 27.9310
OBS: 54059.117 r  NULL    100.9200 39.3850
OBS: 54061.129 r  NULL    87.4300 33.0920
OBS: 54062.121 r  NULL    64.6500 34.5000
OBS: 54068.113 r  NULL    1.3100 62.2380
OBS: 53975.188 i  NULL    35.6700 43.9390
OBS: 53996.195 i  NULL    48.9500 35.3000
OBS: 53998.164 i  NULL    101.4200 33.9480
OBS: 54005.199 i  NULL    491.8398 36.1840
OBS: 54008.152 i  NULL    603.6898 41.0960
OBS: 54010.148 i  NULL    570.6498 41.7310
OBS: 54012.141 i  NULL    552.5098 60.0020
OBS: 54020.145 i  NULL    366.9099 39.1920
OBS: 54022.195 i  NULL    300.0899 45.9820
OBS: 54028.137 i  NULL    302.0399 45.9540
OBS: 54030.137 i  NULL    303.7299 36.7630
OBS: 54037.117 i  NULL    268.1999 42.0620
OBS: 54040.133 i  NULL    191.5199 57.4080
OBS: 54047.125 i  NULL    158.3799 109.3510
OBS: 54050.117 i  NULL    136.7299 47.6930
OBS: 54053.121 i  NULL    52.9100 47.6100
