SURVEY: Hicken2009_LC
SNID: sn2003u
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.03 MW E(B-V)
REDSHIFT_HELIO: 0.026302 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 52677.474
FILTERS: UBVRIfhjklabcde

NOBS: 41
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 52670.525 b  NULL    13893.1234 294.2980
OBS: 52673.531 b  NULL    20606.2940 284.6760
OBS: 52686.534 b  NULL    12234.8850 371.8549
OBS: 52745.464 b  NULL    1089.4314 94.3164
OBS: 52750.365 b  NULL    645.0597 92.6796
OBS: 52750.379 b  NULL    767.7147 100.4033
OBS: 52762.447 b  NULL    585.5984 88.9905
OBS: 52670.531 e  NULL    16795.7723 340.3159
OBS: 52672.501 e  NULL    20549.4389 1211.2661
OBS: 52673.537 e  NULL    20625.2853 493.8931
OBS: 52680.429 e  NULL    18655.2019 463.8989
OBS: 52686.539 e  NULL    10834.2776 329.2862
OBS: 52705.522 e  NULL    9817.4786 280.2988
OBS: 52745.472 e  NULL    1452.1115 175.1987
OBS: 52750.373 e  NULL    1009.2528 185.9044
OBS: 52750.386 e  NULL    1357.6879 176.3107
OBS: 52761.452 e  NULL    664.9668 140.8599
OBS: 52670.529 d  NULL    16734.0020 277.4163
OBS: 52673.535 d  NULL    23313.0888 300.5990
OBS: 52680.427 d  NULL    25656.6418 330.8167
OBS: 52686.538 d  NULL    16595.8615 443.2589
OBS: 52705.521 d  NULL    8009.3968 162.2864
OBS: 52745.463 d  NULL    2077.7812 262.1682
OBS: 52745.470 d  NULL    2081.6121 78.6038
OBS: 52750.371 d  NULL    1365.2111 110.6476
OBS: 52750.384 d  NULL    1429.5515 121.1288
OBS: 52761.450 d  NULL    1067.5785 71.7765
OBS: 52762.452 d  NULL    840.2331 92.0887
OBS: 52670.522 a  NULL    18264.1725 1026.1374
OBS: 52672.492 a  NULL    22304.8856 1027.1779
OBS: 52673.528 a  NULL    26399.7613 680.8222
OBS: 52686.530 a  NULL    8480.0810 562.3519
OBS: 52705.511 a  NULL    900.3264 151.7493
OBS: 52673.534 c  NULL    20323.5785 243.3342
OBS: 52680.425 c  NULL    22719.5731 481.2687
OBS: 52686.536 c  NULL    17490.4169 338.2822
OBS: 52745.467 c  NULL    1140.7755 88.2550
OBS: 52750.368 c  NULL    1056.8179 164.4926
OBS: 52750.382 c  NULL    1196.7410 104.7089
OBS: 52761.448 c  NULL    1006.4685 84.3531
OBS: 52762.450 c  NULL    797.9950 112.4479
END_PHOTOMETRY:

# =============================================
