SURVEY: Hicken2009_LC
SNID: sn2006le
IAUC: UNKNOWN
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.408 MW E(B-V)
REDSHIFT_HELIO: 0.017432 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 54048.514

NOBS: 228
NVAR: 4
VARLIST:  MJD   FLT       FLUXCAL   FLUXCALERR

OBS: 54036.487 h  8953.6448 288.6207
OBS: 54037.216 h  11230.5199 196.5229
OBS: 54039.449 h  16873.2937 326.3464
OBS: 54040.328 h  18949.5919 279.2412
OBS: 54040.349 h  18741.3063 293.4326
OBS: 54041.378 h  20989.3919 347.9621
OBS: 54043.406 h  24501.9056 1060.6140
OBS: 54044.339 h  25351.2781 1120.7293
OBS: 54045.335 h  25374.6383 1004.9118
OBS: 54046.385 h  27039.5749 996.1380
OBS: 54050.480 h  25846.3879 333.2633
OBS: 54051.473 h  24980.4274 276.0837
OBS: 54052.396 h  22490.5391 414.2757
OBS: 54053.430 h  23463.8821 302.5433
OBS: 54055.324 h  20720.4821 229.0028
OBS: 54056.391 h  19462.5557 233.0252
OBS: 54062.234 h  12462.3475 160.6895
OBS: 54066.304 h  8669.6161 127.7555
OBS: 54069.292 h  6767.0574 193.2063
OBS: 54070.294 h  6344.5360 216.2028
OBS: 54077.402 h  3594.1804 301.2318
OBS: 54078.336 h  3081.7674 147.5920
OBS: 54080.365 h  2849.7047 133.8535
OBS: 54084.342 h  2126.1792 78.3284
OBS: 54086.247 h  2083.5305 84.4330
OBS: 54089.410 h  2017.4365 79.8965
OBS: 54095.287 h  1685.7760 77.6300
OBS: 54114.338 h  1279.9702 87.2351
OBS: 54117.255 h  1223.4884 292.9765
OBS: 54126.350 h  980.8438 263.7803
OBS: 54128.156 h  1183.5861 301.9529
OBS: 54037.219 f  10685.6267 580.6677
OBS: 54037.223 f  10195.2998 478.9011
OBS: 54039.452 f  18230.5596 973.8760
OBS: 54039.455 f  20155.7981 1058.1580
OBS: 54040.331 f  21577.4441 914.1838
OBS: 54040.335 f  22449.1551 951.1161
OBS: 54040.353 f  22908.6765 843.9868
OBS: 54040.356 f  22573.5571 956.3867
OBS: 54041.381 f  25118.8643 971.6838
OBS: 54041.385 f  26472.8074 1121.5884
OBS: 54043.409 f  29268.4686 1105.2475
OBS: 54043.413 f  28002.7060 1186.4065
OBS: 54044.343 f  29187.7085 1774.2696
OBS: 54044.347 f  32210.6879 1483.3570
OBS: 54046.389 f  30422.8573 1541.1268
OBS: 54050.483 f  25444.8562 984.2943
OBS: 54050.487 f  25894.0511 1073.2186
OBS: 54051.477 f  24232.5992 1138.2715
OBS: 54051.481 f  25118.8643 1364.9844
OBS: 54052.400 f  21008.7397 1180.3356
OBS: 54052.403 f  23944.1817 1234.9908
