SURVEY: Hicken2009_LC
SNID: sn2006s
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.017 MW E(B-V)
REDSHIFT_HELIO: 0.032102 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53770.116
FILTERS: UBVRIfhjklabcde

NOBS: 143
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53764.469 h  NULL    15121.6735 292.4683
OBS: 53765.415 h  NULL    15966.1377 264.6866
OBS: 53766.417 h  NULL    16795.7679 324.8469
OBS: 53767.525 h  NULL    17426.0865 288.8897
OBS: 53768.494 h  NULL    17619.7549 275.8725
OBS: 53771.407 h  NULL    17410.0439 288.6237
OBS: 53778.491 h  NULL    9880.9765 364.0152
OBS: 53786.493 h  NULL    6570.5218 145.2348
OBS: 53796.499 h  NULL    2383.4161 318.2933
OBS: 53797.502 h  NULL    2452.4483 313.9600
OBS: 53798.433 h  NULL    2191.7947 135.2491
OBS: 53799.490 h  NULL    2064.4286 91.2643
OBS: 53800.489 h  NULL    1879.3162 77.8883
OBS: 53803.497 h  NULL    1468.2495 75.7264
OBS: 53818.392 h  NULL    935.8363 70.6762
OBS: 53832.391 h  NULL    428.5484 110.5141
OBS: 53841.276 h  NULL    430.5265 118.9545
OBS: 53858.327 h  NULL    539.5105 126.2098
OBS: 53859.336 h  NULL    421.1142 99.2886
OBS: 53764.472 f  NULL    20455.0243 753.5909
OBS: 53764.476 f  NULL    20342.2974 768.1739
OBS: 53765.418 f  NULL    21958.3650 808.9761
OBS: 53765.421 f  NULL    21897.7756 847.0811
OBS: 53766.420 f  NULL    22908.6765 907.2858
OBS: 53766.424 f  NULL    23313.0986 815.9420
OBS: 53768.497 f  NULL    23637.4161 870.8346
OBS: 53768.501 f  NULL    23768.4029 941.3348
OBS: 53771.410 f  NULL    15995.5803 677.6938
OBS: 53786.486 f  NULL    2716.4393 225.1740
OBS: 53788.523 f  NULL    2805.4336 232.5510
OBS: 53796.492 f  NULL    970.0631 167.0772
OBS: 53796.495 f  NULL    968.2779 164.9861
OBS: 53797.478 f  NULL    834.8338 166.8535
OBS: 53797.498 f  NULL    945.3660 160.2114
OBS: 53798.437 f  NULL    977.2372 162.0124
OBS: 53798.440 f  NULL    1090.4355 161.6968
OBS: 53799.486 f  NULL    782.7084 165.0863
OBS: 53803.504 f  NULL    708.5981 174.2557
OBS: 53818.395 f  NULL    601.4507 151.2301
OBS: 53818.399 f  NULL    565.9786 147.0025
OBS: 53859.329 f  NULL    334.8112 135.9923
OBS: 53859.332 f  NULL    343.8745 142.2073
