SURVEY: Hicken2009_LC
SNID: sn2007ci
IAUC: UNKNOWN
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.026 MW E(B-V)
REDSHIFT_HELIO: 0.018126 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 54246.697

NOBS: 72
NVAR: 4
VARLIST:  MJD   FLT       FLUXCAL   FLUXCALERR

OBS: 54238.161 h  15317.9220 268.0483
OBS: 54239.285 h  21399.3145 335.0491
OBS: 54240.151 h  24569.7002 452.5739
OBS: 54241.147 h  29867.5678 467.6365
OBS: 54243.147 h  36745.1361 541.4763
OBS: 54244.172 h  37187.7467 650.7484
OBS: 54254.150 h  23099.3557 340.3921
OBS: 54255.157 h  19444.6378 304.4447
OBS: 54256.218 h  15545.3270 329.2967
OBS: 54258.164 h  11923.3932 208.6475
OBS: 54263.158 h  6165.9481 147.6498
OBS: 54266.228 h  4153.3628 149.1846
OBS: 54267.216 h  3113.1487 160.5638
OBS: 54271.202 h  2718.9415 130.2155
OBS: 54238.157 j  16338.0368 255.8046
OBS: 54239.281 j  21203.1244 292.9212
OBS: 54240.148 j  24819.8903 365.7459
OBS: 54241.143 j  28157.8735 440.8678
OBS: 54243.143 j  35809.6322 461.7294
OBS: 54244.168 j  37531.8399 518.5024
OBS: 54247.165 j  41380.8929 876.5715
OBS: 54248.141 j  41001.5103 830.7726
OBS: 54249.145 j  42697.2454 589.8624
OBS: 54250.151 j  42072.6486 542.4847
OBS: 54252.222 j  39774.0533 696.0062
OBS: 54253.180 j  37153.5110 581.7125
OBS: 54254.147 j  36475.3831 503.9074
OBS: 54255.154 j  34197.9325 409.4518
OBS: 54256.215 j  30394.8394 531.8793
OBS: 54258.161 j  26278.4564 338.8344
OBS: 54263.155 j  18569.4847 273.6399
OBS: 54266.225 j  14112.3669 233.9548
OBS: 54267.213 j  10804.3807 288.5742
OBS: 54271.199 j  9204.4927 279.7521
OBS: 54291.171 j  3770.5079 236.1394
OBS: 54238.151 l  15559.6568 272.2784
OBS: 54239.275 l  19319.6841 266.9014
OBS: 54240.142 l  21837.3543 341.9075
OBS: 54241.137 l  23988.3304 375.5853
OBS: 54243.137 l  26890.5713 421.0257
OBS: 54244.162 l  26644.0372 466.2440
OBS: 54247.158 l  26326.9186 412.2006
OBS: 54248.137 l  26644.0372 417.1657
OBS: 54249.141 l  26742.3781 394.0757
OBS: 54250.146 l  26472.8092 390.1033
OBS: 54252.217 l  25072.6374 392.5623
OBS: 54253.176 l  24842.7706 343.2029
OBS: 54254.143 l  23270.1946 385.7733
OBS: 54255.149 l  23099.3638 361.6667
OBS: 54258.156 l  23463.8901 432.2049
OBS: 54263.150 l  23099.3638 361.6667
OBS: 54266.221 l  21757.0509 360.6884
OBS: 54271.194 l  14791.0847 258.8292
OBS: 54291.166 l  4988.8451 238.9258
OBS: 54238.154 k  17587.3346 291.5628
OBS: 54239.278 k  22449.1563 330.8108
OBS: 54240.145 k  26693.1624 393.3504
OBS: 54241.140 k  30535.1484 449.9659
OBS: 54247.163 k  38583.3587 710.7055
OBS: 54248.139 k  42461.9595 664.8269
OBS: 54249.143 k  42422.8688 664.2148
OBS: 54250.149 k  42150.2384 582.3055
OBS: 54252.220 k  40105.1392 554.0525
OBS: 54253.178 k  38124.1378 561.7973
OBS: 54254.145 k  35743.7434 460.8798
OBS: 54255.151 k  33946.8928 468.9763
OBS: 54256.213 k  29160.8403 778.8569
OBS: 54258.159 k  29812.6119 439.3187
OBS: 54263.152 k  24569.7104 339.4305
OBS: 54266.223 k  20304.8614 355.3148
OBS: 54271.197 k  13576.8819 237.5819
OBS: 54291.169 k  5654.5758 213.5224
END_PHOTOMETRY:

# =============================================
