SURVEY: Hicken2009_LC
SNID: sn2007co
IAUC: UNKNOWN
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.113 MW E(B-V)
REDSHIFT_HELIO: 0.026962 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 54265.182

NOBS: 122
NVAR: 4
VARLIST:  MJD   FLT       FLUXCAL   FLUXCALERR

OBS: 54259.384 h  14321.8741 224.2376
OBS: 54260.383 h  15545.3270 286.3449
OBS: 54261.410 h  16734.0040 262.0043
OBS: 54264.175 h  17426.0865 320.9885
OBS: 54265.372 h  17652.2419 243.8657
OBS: 54266.307 h  17171.1688 284.6636
OBS: 54267.343 h  16550.0711 243.8818
OBS: 54267.407 h  16611.1560 260.0809
OBS: 54269.467 h  15559.6514 458.5740
OBS: 54270.198 h  14454.3930 226.3124
OBS: 54272.352 h  12382.2581 182.4650
OBS: 54273.337 h  11868.6104 196.7578
OBS: 54276.335 h  8871.5573 187.9262
OBS: 54277.347 h  7530.0851 235.7971
OBS: 54277.424 h  7741.0499 185.3672
OBS: 54278.319 h  7698.3888 241.0674
OBS: 54279.353 h  6619.1140 237.7520
OBS: 54280.294 h  5633.7797 228.3033
OBS: 54284.250 h  4199.5220 375.1727
OBS: 54288.404 h  2495.7430 158.6020
OBS: 54290.194 h  2316.3270 149.3336
OBS: 54292.314 h  2013.7236 96.4413
OBS: 54292.381 h  1919.5519 123.7535
OBS: 54260.387 f  12870.6358 533.4432
OBS: 54260.390 f  12531.4117 565.5510
OBS: 54261.414 f  13182.5674 509.9469
OBS: 54261.417 f  13243.4154 463.5102
OBS: 54264.179 f  13526.9536 560.6453
OBS: 54265.376 f  13255.6186 476.1462
OBS: 54266.311 f  11879.5503 448.6003
OBS: 54267.347 f  11967.4053 462.9403
OBS: 54267.411 f  11534.5326 467.4427
OBS: 54270.202 f  9871.8830 509.1711
OBS: 54272.356 f  7177.9429 330.5565
OBS: 54273.341 f  7092.5107 411.5440
OBS: 54276.339 f  4975.0792 416.9818
OBS: 54277.350 f  4062.5620 471.4615
OBS: 54277.428 f  4325.1383 485.9992
OBS: 54279.357 f  4145.7203 721.6681
OBS: 54282.293 f  3232.9575 568.7338
OBS: 54288.407 f  1269.4044 310.9978
OBS: 54292.318 f  1057.7913 227.0030
OBS: 54259.381 j  16054.6133 236.5808
OBS: 54260.379 j  17266.3224 254.4365
OBS: 54261.406 j  18080.0597 233.1243
OBS: 54264.172 j  20007.8240 294.8353
OBS: 54265.369 j  20739.5747 248.3149
OBS: 54266.304 j  20304.8535 280.5116
OBS: 54267.340 j  20701.4062 266.9239
OBS: 54267.404 j  20796.9601 268.1560
OBS: 54268.468 j  20248.8267 391.6326
OBS: 54269.452 j  20137.2357 296.7423
OBS: 54269.464 j  19842.6582 328.9516
OBS: 54270.195 j  19355.2978 267.3934
OBS: 54272.349 j  18013.5724 215.6765
OBS: 54273.334 j  16489.2102 197.4253
OBS: 54276.332 j  14709.5659 203.2127
OBS: 54277.344 j  13905.9237 243.3398
OBS: 54277.421 j  13905.9237 217.7251
OBS: 54278.316 j  13194.7099 267.3512
OBS: 54279.350 j  12246.1578 248.1317
OBS: 54280.291 j  10705.3252 266.2093
OBS: 54282.286 j  9514.8042 254.1309
OBS: 54284.247 j  9272.5643 367.2214
OBS: 54288.401 j  7755.3224 192.8516
OBS: 54290.191 j  7008.0930 193.6336
OBS: 54292.311 j  5953.8769 148.0551
OBS: 54292.378 j  6115.0478 180.2227
OBS: 54295.227 j  5016.4889 207.9084
OBS: 54295.259 j  5536.0481 372.2051
OBS: 54259.378 l  13170.4321 194.0795
OBS: 54260.374 l  13427.6507 210.2367
OBS: 54261.402 l  13601.9137 225.4925
OBS: 54264.170 l  12764.3886 235.1200
OBS: 54265.364 l  12531.4121 207.7458
OBS: 54266.300 l  12280.0466 180.9588
OBS: 54267.336 l  11630.5444 407.0458
OBS: 54267.400 l  11523.9140 403.3140
OBS: 54270.191 l  10814.3406 189.2401
OBS: 54272.344 l  9315.3682 188.7480
OBS: 54273.329 l  8709.6364 160.4315
OBS: 54276.327 l  6867.5215 151.7997
OBS: 54277.339 l  6668.0681 196.5213
OBS: 54277.416 l  6686.5181 166.2736
OBS: 54278.311 l  6582.6388 151.5653
OBS: 54279.345 l  6655.7963 147.1197
OBS: 54280.287 l  6126.3249 174.9127
OBS: 54282.282 l  6748.3877 267.2564
OBS: 54284.242 l  6899.2205 254.1673
OBS: 54284.329 l  6988.7584 186.6627
OBS: 54288.396 l  7899.5077 203.7125
OBS: 54290.187 l  8188.4184 218.7045
OBS: 54292.306 l  8241.3816 166.9869
OBS: 54292.373 l  8241.3816 212.5288
OBS: 54295.219 l  7331.6213 155.3057
OBS: 54259.380 k  16904.4107 249.1034
OBS: 54260.377 k  18314.7094 253.0177
OBS: 54261.404 k  19266.3760 266.1650
OBS: 54265.366 k  21301.0021 255.0369
OBS: 54266.302 k  21419.0417 236.7232
OBS: 54267.338 k  21537.7354 357.0526
OBS: 54267.402 k  21817.2514 261.2179
OBS: 54268.466 k  21517.9073 376.5419
OBS: 54269.450 k  20873.7285 346.0447
OBS: 54269.461 k  21164.1114 409.3351
OBS: 54270.193 k  20230.1933 242.2161
OBS: 54272.346 k  18331.5856 219.4841
OBS: 54273.331 k  17250.4342 190.6518
OBS: 54276.330 k  14454.3991 199.6875
OBS: 54277.341 k  13316.8049 183.9717
OBS: 54277.419 k  13526.9542 224.2499
OBS: 54278.314 k  13194.7156 230.8943
OBS: 54279.348 k  11781.4851 227.8657
OBS: 54280.289 k  11759.8030 238.2771
OBS: 54282.284 k  11598.4522 320.4652
OBS: 54284.244 k  11449.8562 295.2689
OBS: 54284.331 k  11513.3055 254.4901
OBS: 54288.398 k  10375.2852 191.1127
OBS: 54290.189 k  10261.2445 207.9133
OBS: 54292.309 k  9506.0486 157.5913
OBS: 54292.376 k  9611.6959 177.0474
OBS: 54295.223 k  7994.6606 154.6247
END_PHOTOMETRY:

# =============================================
