SURVEY: Hicken2009_LC(Hicken2009_LC)   
SNID:   71   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_Hicken09_NOSPEC 
SNTYPE:  1 
FILTERS: UBVRIfhjklabcde 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.025371 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.024140 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54093.707 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  40  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.02537  
SIM_REDSHIFT_CMB:    0.02414  
SIM_REDSHIFT_HOST:   0.02537  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      35.1142  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0235   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.056  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000  (UBVRIfhjklabcde F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  -9.00  17.98  17.51  17.09  16.86  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  (UBVRIfhjklabcde obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
        1.0    1.0    1.0    1.0    1.0  (UBVRIfhjklabcde obs)
SIM_PEAKMJD:   54092.761719  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   2.3920e-03   
SIM_SALT2x1:   -1.4204   
SIM_SALT2c:     0.4000   
SIM_SALT2mB:   17.1881   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 48 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54090.085  j NULL   1.3277e+04   3.014e+02    0  25.553   0.85  17.1780 
OBS:  54090.088  h NULL   9.2915e+03   2.965e+02    0  25.147   0.85  17.5580 
OBS:  54090.102  j NULL   1.3468e+04   2.863e+02    0  25.683   0.85  17.1771 
OBS:  54090.105  h NULL   8.9334e+03   2.923e+02    0  25.139   0.85  17.5572 
OBS:  54094.065  k NULL   1.7988e+04   4.140e+02    0  25.194   0.85  16.8547 
OBS:  54094.067  j NULL   1.4535e+04   3.090e+02    0  25.596   0.85  17.0869 
OBS:  54094.070  h NULL   9.0360e+03   2.959e+02    0  25.125   0.85  17.5396 
OBS:  54094.074  f NULL   5.6468e+03   6.024e+02    0  23.105   0.85  18.0607 
OBS:  54094.078  f NULL   5.4592e+03   5.785e+02    0  23.155   0.85  18.0610 
OBS:  54095.114  k NULL   1.7213e+04   4.436e+02    0  24.995   0.85  16.8622 
OBS:  54095.117  j NULL   1.4556e+04   3.422e+02    0  25.365   0.85  17.0952 
OBS:  54095.120  h NULL   9.6339e+03   3.204e+02    0  25.012   0.85  17.5786 
OBS:  54095.124  f NULL   5.4905e+03   5.661e+02    0  23.207   0.85  18.1496 
OBS:  54095.127  f NULL   5.9314e+03   5.764e+02    0  23.240   0.85  18.1498 
OBS:  54099.136  k NULL   1.5796e+04   5.462e+02    0  24.443   0.85  17.0055 
OBS:  54099.139  j NULL   1.2297e+04   4.617e+02    0  24.528   0.85  17.2239 
OBS:  54099.142  h NULL   7.7135e+03   4.265e+02    0  24.165   0.85  17.8554 
OBS:  54100.101  k NULL   1.4811e+04   3.892e+02    0  25.126   0.85  17.0736 
OBS:  54100.103  j NULL   1.2497e+04   3.356e+02    0  25.246   0.85  17.2768 
OBS:  54100.106  h NULL   6.5061e+03   2.983e+02    0  24.765   0.85  17.9471 
OBS:  54101.080  k NULL   1.3280e+04   3.648e+02    0  25.159   0.85  17.1575 
OBS:  54101.082  j NULL   1.1380e+04   3.024e+02    0  25.382   0.85  17.3397 
OBS:  54101.085  h NULL   6.4241e+03   2.423e+02    0  25.203   0.85  18.0526 
OBS:  54102.092  k NULL   1.3109e+04   3.302e+02    0  25.363   0.85  17.2441 
OBS:  54102.094  j NULL   1.0535e+04   2.830e+02    0  25.449   0.85  17.4077 
OBS:  54102.097  h NULL   5.8292e+03   2.575e+02    0  24.971   0.85  18.1686 
OBS:  54103.079  k NULL   1.2401e+04   3.274e+02    0  25.324   0.85  17.3178 
OBS:  54103.081  j NULL   1.0297e+04   2.835e+02    0  25.419   0.85  17.4732 
OBS:  54103.084  h NULL   4.6324e+03   2.676e+02    0  24.665   0.85  18.2849 
OBS:  54104.063  k NULL   1.1040e+04   3.132e+02    0  25.311   0.85  17.3796 
OBS:  54104.065  j NULL   9.7804e+03   2.535e+02    0  25.614   0.85  17.5382 
OBS:  54104.068  h NULL   4.5003e+03   2.165e+02    0  25.093   0.85  18.4052 
OBS:  54117.114  k NULL   7.6783e+03   2.109e+02    0  25.832   0.85  17.8050 
OBS:  54117.117  j NULL   4.3302e+03   1.280e+02    0  26.341   0.85  18.4204 
OBS:  54117.120  h NULL   1.0984e+03   8.188e+01    0  25.962   0.85  19.9173 
OBS:  54117.123  h NULL   1.1864e+03   9.882e+01    0  25.615   0.85  19.9176 
OBS:  54128.095  k NULL   3.3224e+03   1.689e+02    0  25.611   0.85  18.6549 
