SURVEY: Hicken2009_LC(Hicken2009_LC)   
SNID:   83   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_Hicken09_NOSPEC 
SNTYPE:  1 
FILTERS: UBVRIfhjklabcde 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.016129 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.014910 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53646.246 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  20  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.01613  
SIM_REDSHIFT_CMB:    0.01491  
SIM_REDSHIFT_HOST:   0.01613  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      34.0531  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0297   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.070  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000  (UBVRIfhjklabcde F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  -9.00  16.60  16.26  15.90  15.73  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  (UBVRIfhjklabcde obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
        1.0    1.0    1.0    1.0    1.0  (UBVRIfhjklabcde obs)
SIM_PEAKMJD:   53646.621094  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   8.2391e-03   
SIM_SALT2x1:    0.5911   
SIM_SALT2c:     0.4000   
SIM_SALT2mB:   15.8453   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 166 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53640.441  j NULL   3.4255e+04   8.915e+02    0  24.162   0.85  16.1589 
OBS:  53640.442  j NULL   3.4221e+04   5.073e+02    0  25.458   0.85  16.1588 
OBS:  53640.444  k NULL   4.0464e+04   6.464e+02    0  25.104   0.85  15.9759 
OBS:  53640.447  h NULL   2.5961e+04   3.822e+02    0  25.757   0.85  16.4642 
OBS:  53640.450  f NULL   2.2025e+04   7.699e+02    0  23.963   0.85  16.6649 
OBS:  53641.460  j NULL   3.6797e+04   4.717e+02    0  25.733   0.85  16.0763 
OBS:  53641.461  j NULL   3.7439e+04   4.772e+02    0  25.722   0.85  16.0762 
OBS:  53641.463  k NULL   4.3999e+04   5.261e+02    0  25.714   0.85  15.8980 
OBS:  53641.466  h NULL   2.8244e+04   3.948e+02    0  25.787   0.85  16.3831 
OBS:  53641.470  f NULL   2.2273e+04   7.986e+02    0  23.897   0.85  16.5902 
OBS:  53645.504  j NULL   4.3677e+04   6.300e+02    0  25.247   0.85  15.9142 
OBS:  53645.506  j NULL   4.3154e+04   6.281e+02    0  25.241   0.85  15.9142 
OBS:  53645.508  k NULL   4.9559e+04   8.810e+02    0  24.627   0.85  15.7505 
OBS:  53645.511  h NULL   3.1453e+04   4.733e+02    0  25.494   0.85  16.2524 
OBS:  53650.426  j NULL   4.1221e+04   6.572e+02    0  25.082   0.85  15.9277 
OBS:  53650.427  j NULL   4.1601e+04   7.093e+02    0  24.911   0.85  15.9278 
OBS:  53650.429  k NULL   5.0204e+04   6.126e+02    0  25.518   0.85  15.7445 
OBS:  53650.432  h NULL   2.8590e+04   4.298e+02    0  25.599   0.85  16.3675 
OBS:  53650.435  f NULL   1.7289e+04   6.581e+02    0  24.044   0.85  16.8460 
OBS:  53656.411  j NULL   3.3518e+04   5.439e+02    0  25.269   0.85  16.1664 
OBS:  53656.411  j NULL   3.5141e+04   4.010e+02    0  26.065   0.85  16.1664 
OBS:  53656.413  k NULL   3.8221e+04   4.287e+02    0  26.036   0.85  16.0534 
OBS:  53656.417  h NULL   1.9798e+04   2.897e+02    0  26.075   0.85  16.7453 
OBS:  53656.420  f NULL   1.1351e+04   4.695e+02    0  24.324   0.85  17.3907 
OBS:  53656.427  j NULL   3.4908e+04   1.178e+03    0  23.567   0.85  16.1672 
OBS:  53663.390  k NULL   2.8091e+04   3.506e+02    0  26.108   0.85  16.4076 
OBS:  53663.393  j NULL   2.3140e+04   3.131e+02    0  26.119   0.85  16.5904 
OBS:  53663.395  f NULL   4.7331e+03   2.710e+02    0  24.595   0.85  18.2893 
OBS:  53663.399  f NULL   5.2789e+03   2.792e+02    0  24.642   0.85  18.2898 
OBS:  53663.415  k NULL   2.7638e+04   3.745e+02    0  25.929   0.85  16.4079 
OBS:  53663.418  j NULL   2.3004e+04   3.161e+02    0  26.089   0.85  16.5915 
OBS:  53663.420  f NULL   5.0220e+03   2.842e+02    0  24.554   0.85  18.2923 
OBS:  53663.424  f NULL   4.8630e+03   2.940e+02    0  24.450   0.85  18.2928 
OBS:  53665.403  k NULL   2.6912e+04   4.235e+02    0  25.601   0.85  16.4332 
OBS:  53665.407  j NULL   2.1302e+04   3.108e+02    0  26.029   0.85  16.6852 
OBS:  53665.409  f NULL   3.9304e+03   2.800e+02    0  24.343   0.85  18.5341 
OBS:  53665.413  f NULL   3.6650e+03   2.588e+02    0  24.441   0.85  18.5346 
