SURVEY: Hicken2009_LC(Hicken2009_LC)   
SNID:   54   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_Hicken09 
SNTYPE:  1 
FILTERS: UBVRIfhjklabcde 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.025078 +- 0.000001  (Helio, z_best) 
REDSHIFT_FINAL:   0.023847 +- 0.000001  (CMB) 

VPEC:       165.83  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   52337.113 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  4  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.02508  
SIM_REDSHIFT_CMB:    0.02440  
SIM_REDSHIFT_HOST:   0.02508  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -165.8 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      35.1367  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0226   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.054  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000  (UBVRIfhjklabcde F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   16.72  16.62  16.36  16.17  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  (UBVRIfhjklabcde obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
        1.0    1.0    1.0    1.0    1.0  (UBVRIfhjklabcde obs)
SIM_PEAKMJD:   52338.339844  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   5.5294e-03   
SIM_SALT2x1:   -0.0223   
SIM_SALT2c:     0.1624   
SIM_SALT2mB:   16.2783   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 41 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  52327.180  R NULL   1.5705e+04   6.517e+03    0  19.637   0.85  17.2625 
OBS:  52329.150  R NULL   1.9239e+04   2.663e+03    0  21.319   0.85  16.8516 
OBS:  52333.300  R NULL   3.4943e+04   3.288e+03    0  21.407   0.85  16.3306 
OBS:  52342.200  R NULL   3.6951e+04   4.227e+03    0  20.945   0.85  16.2041 
OBS:  52342.200  B NULL   2.3635e+04   2.761e+03    0  21.364   0.85  16.7436 
OBS:  52342.200  V NULL   2.3951e+04   3.368e+03    0  21.013   0.85  16.3853 
OBS:  52342.316  U NULL   1.3748e+04   1.033e+03    0  22.844   0.85  17.0237 
OBS:  52345.200  R NULL   2.8130e+04   9.763e+02    0  23.779   0.85  16.3332 
OBS:  52345.200  B NULL   1.7655e+04   8.519e+02    0  23.526   0.85  16.9294 
OBS:  52345.200  V NULL   2.2391e+04   1.483e+03    0  22.618   0.85  16.4850 
OBS:  52348.180  B NULL   1.3641e+04   6.250e+02    0  23.927   0.85  17.1784 
OBS:  52348.180  V NULL   2.0405e+04   3.014e+03    0  21.096   0.85  16.6390 
OBS:  52348.180  R NULL   2.5038e+04   9.080e+02    0  23.815   0.85  16.5529 
OBS:  52352.170  R NULL   1.8757e+04   8.162e+02    0  23.761   0.85  16.7924 
OBS:  52352.170  B NULL   9.4376e+03   5.871e+02    0  23.689   0.85  17.5979 
OBS:  52352.170  V NULL   1.6671e+04   8.004e+02    0  23.644   0.85  16.8888 
OBS:  52352.222  U NULL   5.2346e+03   4.432e+02    0  23.660   0.85  18.1729 
OBS:  52358.150  R NULL   1.6953e+04   8.173e+02    0  23.657   0.85  16.9338 
OBS:  52358.150  B NULL   4.4918e+03   5.091e+02    0  23.308   0.85  18.2713 
OBS:  52358.150  V NULL   1.3365e+04   6.608e+02    0  23.834   0.85  17.2348 
OBS:  52362.240  R NULL   1.4326e+04   3.843e+03    0  20.442   0.85  17.0076 
OBS:  52362.240  B NULL   4.4061e+02   4.096e+03    0  19.706   0.85  18.6761 
OBS:  52362.240  V NULL   1.4110e+04   2.840e+03    0  20.936   0.85  17.4566 
OBS:  52365.090  B NULL   2.5351e+03   1.917e+02    0  24.837   0.85  18.9170 
OBS:  52365.090  V NULL   8.6299e+03   6.004e+02    0  23.625   0.85  17.6123 
OBS:  52365.090  R NULL   1.5915e+04   1.343e+03    0  22.544   0.85  17.0852 
OBS:  52368.200  B NULL   1.9664e+03   1.386e+02    0  25.313   0.85  19.1480 
OBS:  52368.200  V NULL   8.1046e+03   4.795e+02    0  24.049   0.85  17.7908 
OBS:  52368.200  R NULL   1.2823e+04   5.778e+02    0  24.143   0.85  17.2221 
OBS:  52371.140  V NULL   6.3281e+03   5.067e+02    0  23.712   0.85  17.9724 
OBS:  52371.140  R NULL   9.9315e+03   6.779e+02    0  23.568   0.85  17.4034 
OBS:  52371.140  B NULL   1.6697e+03   1.693e+02    0  24.756   0.85  19.3420 
OBS:  52377.110  V NULL   3.9727e+03   1.036e+03    0  21.977   0.85  18.2892 
OBS:  52377.110  B NULL   1.4427e+03   1.698e+02    0  24.643   0.85  19.5932 
OBS:  52377.110  R NULL   1.1967e+04   2.734e+03    0  20.935   0.85  17.7403 
OBS:  52386.110  V NULL   3.1295e+03   4.051e+02    0  23.624   0.85  18.5929 
OBS:  52386.110  B NULL   1.2422e+03   1.427e+02    0  24.896   0.85  19.8119 
