SURVEY: Hicken2009_LC(Hicken2009_LC)   
SNID:   64   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_Hicken09 
SNTYPE:  1 
FILTERS: UBVRIfhjklabcde 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.018624 +- 0.000001  (Helio, z_best) 
REDSHIFT_FINAL:   0.017401 +- 0.000001  (CMB) 

VPEC:        -3.34  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   52981.711 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  14  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.01862  
SIM_REDSHIFT_CMB:    0.01739  
SIM_REDSHIFT_HOST:   0.01862  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  3.3 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      34.3912  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0324   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.054  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000  (UBVRIfhjklabcde F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      14.74  15.01  15.11  15.03  -9.00  (UBVRIfhjklabcde obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
        1.0    1.0    1.0    1.0    1.0  (UBVRIfhjklabcde obs)
SIM_PEAKMJD:   52981.367188  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   2.2573e-02   
SIM_SALT2x1:    0.5353   
SIM_SALT2c:    -0.0646   
SIM_SALT2mB:   14.7510   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 75 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  52977.253  c NULL   7.6829e+04   2.294e+03    0  22.965   0.85  15.2228 
OBS:  52977.254  d NULL   8.7974e+04   2.315e+03    0  23.103   0.85  15.1266 
OBS:  52977.257  b NULL   9.2951e+04   2.159e+03    0  23.303   0.85  15.0774 
OBS:  52977.258  a NULL   1.3289e+05   7.835e+03    0  20.879   0.85  14.6886 
OBS:  52983.411  c NULL   9.1332e+04   1.896e+03    0  23.583   0.85  15.1102 
OBS:  52983.413  d NULL   9.6387e+04   2.079e+03    0  23.448   0.85  15.0331 
OBS:  52983.415  b NULL   9.3734e+04   2.076e+03    0  23.402   0.85  15.0617 
OBS:  52986.347  c NULL   8.5461e+04   1.762e+03    0  23.673   0.85  15.1712 
OBS:  52986.349  d NULL   8.8870e+04   1.202e+03    0  24.641   0.85  15.0925 
OBS:  52986.351  b NULL   8.1310e+04   1.743e+03    0  23.634   0.85  15.1891 
OBS:  52986.352  a NULL   9.0692e+04   3.899e+03    0  21.972   0.85  15.0647 
OBS:  52988.353  c NULL   8.1165e+04   1.557e+03    0  23.893   0.85  15.2434 
OBS:  52988.355  d NULL   8.5355e+04   1.012e+03    0  25.001   0.85  15.1867 
OBS:  52988.357  b NULL   7.7553e+04   1.618e+03    0  23.740   0.85  15.3089 
OBS:  52988.359  a NULL   7.8262e+04   3.169e+03    0  22.262   0.85  15.2339 
OBS:  52989.261  c NULL   7.7753e+04   1.414e+03    0  24.063   0.85  15.2841 
OBS:  52989.263  d NULL   8.0061e+04   1.078e+03    0  24.757   0.85  15.2465 
OBS:  52989.265  b NULL   7.0217e+04   1.518e+03    0  23.772   0.85  15.3729 
OBS:  52989.267  a NULL   7.3738e+04   3.148e+03    0  22.212   0.85  15.3179 
OBS:  52989.270  c NULL   7.6639e+04   1.524e+03    0  23.876   0.85  15.2845 
OBS:  52989.272  d NULL   7.9048e+04   1.077e+03    0  24.745   0.85  15.2471 
OBS:  52989.274  b NULL   7.1118e+04   1.543e+03    0  23.749   0.85  15.3735 
OBS:  52989.275  a NULL   7.4206e+04   3.336e+03    0  22.093   0.85  15.3187 
OBS:  52989.279  c NULL   7.7061e+04   1.415e+03    0  24.053   0.85  15.2850 
OBS:  52989.280  d NULL   7.9395e+04   1.075e+03    0  24.755   0.85  15.2477 
OBS:  52989.283  b NULL   7.0028e+04   1.517e+03    0  23.771   0.85  15.3742 
OBS:  52989.284  a NULL   7.6097e+04   3.357e+03    0  22.106   0.85  15.3195 
OBS:  52989.421  c NULL   7.7076e+04   1.513e+03    0  23.898   0.85  15.2917 
OBS:  52989.423  d NULL   8.1083e+04   1.205e+03    0  24.499   0.85  15.2575 
OBS:  52989.425  b NULL   7.1659e+04   1.624e+03    0  23.641   0.85  15.3846 
OBS:  52991.353  c NULL   6.8656e+04   1.863e+03    0  23.298   0.85  15.3904 
OBS:  52991.354  d NULL   6.6972e+04   1.513e+03    0  23.752   0.85  15.3941 
OBS:  52991.356  b NULL   6.1918e+04   1.594e+03    0  23.515   0.85  15.5377 
OBS:  52991.358  a NULL   6.6043e+04   2.393e+03    0  22.686   0.85  15.5280 
OBS:  52993.388  c NULL   6.2880e+04   1.674e+03    0  23.436   0.85  15.5101 
OBS:  52993.389  d NULL   6.3017e+04   1.355e+03    0  23.925   0.85  15.5295 
OBS:  52993.391  b NULL   5.2821e+04   1.450e+03    0  23.546   0.85  15.7245 
