SURVEY: Hicken2009_LC(Hicken2009_LC)   
SNID:   71   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_Hicken09 
SNTYPE:  1 
FILTERS: UBVRIfhjklabcde 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.030369 +- 0.000001  (Helio, z_best) 
REDSHIFT_FINAL:   0.029132 +- 0.000001  (CMB) 

VPEC:       -45.38  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53653.297 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  21  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.03037  
SIM_REDSHIFT_CMB:    0.02898  
SIM_REDSHIFT_HOST:   0.03037  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  45.4 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      35.5191  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0247   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.098  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000  (UBVRIfhjklabcde F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  -9.00  16.04  16.15  16.12  16.19  16.80
      -9.00  -9.00  -9.00  -9.00  -9.00  (UBVRIfhjklabcde obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
        1.0    1.0    1.0    1.0    1.0  (UBVRIfhjklabcde obs)
SIM_PEAKMJD:   53654.769531  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   7.7605e-03   
SIM_SALT2x1:    1.3052   
SIM_SALT2c:    -0.0197   
SIM_SALT2mB:   15.9103   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 127 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53648.364  j NULL   2.8262e+04   5.408e+02    0  25.079   0.85  16.3311 
OBS:  53648.365  j NULL   2.8395e+04   3.458e+02    0  26.162   0.85  16.3310 
OBS:  53648.368  k NULL   2.7455e+04   3.462e+02    0  26.111   0.85  16.4245 
OBS:  53648.369  l NULL   1.9772e+04   2.944e+02    0  26.224   0.85  16.7812 
OBS:  53648.371  h NULL   3.0392e+04   4.089e+02    0  25.798   0.85  16.3085 
OBS:  53648.374  f NULL   3.7087e+04   1.590e+03    0  22.951   0.85  16.0416 
OBS:  53650.407  j NULL   3.3214e+04   7.409e+02    0  24.542   0.85  16.2114 
OBS:  53650.407  j NULL   3.2399e+04   3.689e+02    0  26.178   0.85  16.2114 
OBS:  53650.410  k NULL   3.0290e+04   3.649e+02    0  26.118   0.85  16.3016 
OBS:  53650.411  l NULL   2.0197e+04   2.888e+02    0  26.300   0.85  16.7322 
OBS:  53650.413  h NULL   3.3650e+04   4.081e+02    0  25.945   0.85  16.1924 
OBS:  53650.416  f NULL   4.1615e+04   1.592e+03    0  23.073   0.85  15.9446 
OBS:  53650.419  f NULL   4.2752e+04   1.657e+03    0  23.014   0.85  15.9445 
OBS:  53656.364  j NULL   3.5262e+04   8.145e+02    0  24.398   0.85  16.1211 
OBS:  53656.364  j NULL   3.5618e+04   4.248e+02    0  25.948   0.85  16.1211 
OBS:  53656.367  k NULL   3.3360e+04   4.033e+02    0  26.005   0.85  16.1806 
OBS:  53656.368  l NULL   1.8278e+04   2.488e+02    0  26.548   0.85  16.8449 
OBS:  53656.370  h NULL   3.4093e+04   4.125e+02    0  25.935   0.85  16.1843 
OBS:  53656.373  f NULL   3.3695e+04   1.379e+03    0  23.157   0.85  16.1416 
OBS:  53656.377  f NULL   3.4908e+04   1.410e+03    0  23.145   0.85  16.1419 
OBS:  53663.360  k NULL   2.9329e+04   4.473e+02    0  25.569   0.85  16.3784 
OBS:  53663.362  l NULL   1.4305e+04   3.328e+02    0  25.620   0.85  17.1402 
OBS:  53663.363  j NULL   2.9677e+04   5.682e+02    0  25.018   0.85  16.3143 
OBS:  53663.366  f NULL   1.9727e+04   8.851e+02    0  23.543   0.85  16.7215 
OBS:  53664.457  k NULL   2.5964e+04   5.718e+02    0  24.869   0.85  16.4418 
OBS:  53664.460  j NULL   2.8422e+04   6.055e+02    0  24.823   0.85  16.3642 
OBS:  53665.375  k NULL   2.5226e+04   4.894e+02    0  25.188   0.85  16.4956 
OBS:  53665.377  l NULL   1.2231e+04   2.708e+02    0  25.945   0.85  17.2977 
OBS:  53665.378  j NULL   2.7186e+04   3.841e+02    0  25.832   0.85  16.4102 
OBS:  53665.384  f NULL   1.7222e+04   1.243e+03    0  22.679   0.85  16.9303 
OBS:  53665.388  h NULL   2.1980e+04   3.149e+02    0  26.008   0.85  16.6418 
OBS:  53666.444  k NULL   2.2889e+04   3.304e+02    0  26.004   0.85  16.5605 
OBS:  53666.446  l NULL   1.1261e+04   2.215e+02    0  26.331   0.85  17.3748 
OBS:  53666.447  j NULL   2.5551e+04   4.017e+02    0  25.648   0.85  16.4697 
OBS:  53666.453  f NULL   1.6949e+04   1.190e+03    0  22.755   0.85  17.0521 
OBS:  53666.457  h NULL   2.0568e+04   3.377e+02    0  25.754   0.85  16.7295 
OBS:  53667.361  k NULL   2.2646e+04   3.386e+02    0  25.921   0.85  16.6184 
