SURVEY: Hicken2009_LC(Hicken2009_LC)   
SNID:   84   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_Hicken09 
SNTYPE:  1 
FILTERS: UBVRIfhjklabcde 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.035207 +- 0.000001  (Helio, z_best) 
REDSHIFT_FINAL:   0.033965 +- 0.000001  (CMB) 

VPEC:       191.34  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54013.426 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  34  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.03520  
SIM_REDSHIFT_CMB:    0.03460  
SIM_REDSHIFT_HOST:   0.03520  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -191.3 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      35.9112  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0317   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.079  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000  (UBVRIfhjklabcde F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  -9.00  16.98  17.07  16.98  16.95  17.47
      -9.00  -9.00  -9.00  -9.00  -9.00  (UBVRIfhjklabcde obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
        1.0    1.0    1.0    1.0    1.0  (UBVRIfhjklabcde obs)
SIM_PEAKMJD:   54013.339844  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   3.9911e-03   
SIM_SALT2x1:    0.9196   
SIM_SALT2c:     0.0693   
SIM_SALT2mB:   16.6323   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 110 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54002.325  l NULL   6.5736e+03   1.567e+02    0  26.679   0.85  17.9755 
OBS:  54002.327  k NULL   6.7776e+03   1.333e+02    0  26.754   0.85  17.8507 
OBS:  54002.329  j NULL   7.1739e+03   1.289e+02    0  26.825   0.85  17.8575 
OBS:  54002.333  h NULL   6.8130e+03   1.518e+02    0  26.302   0.85  17.9171 
OBS:  54002.336  f NULL   8.2213e+03   3.595e+02    0  24.558   0.85  17.8020 
OBS:  54002.340  f NULL   7.6100e+03   3.208e+02    0  24.725   0.85  17.8010 
OBS:  54006.374  l NULL   1.0037e+04   1.722e+02    0  26.811   0.85  17.4817 
OBS:  54006.377  k NULL   1.2511e+04   1.913e+02    0  26.570   0.85  17.2527 
OBS:  54006.379  j NULL   1.2163e+04   1.851e+02    0  26.583   0.85  17.2659 
OBS:  54006.382  h NULL   1.1447e+04   1.836e+02    0  26.476   0.85  17.3044 
OBS:  54006.386  f NULL   1.4343e+04   5.918e+02    0  24.073   0.85  17.0535 
OBS:  54006.390  f NULL   1.5785e+04   6.259e+02    0  24.052   0.85  17.0531 
OBS:  54007.138  l NULL   1.0598e+04   2.674e+02    0  25.852   0.85  17.4384 
OBS:  54007.140  k NULL   1.3381e+04   2.249e+02    0  26.265   0.85  17.1836 
OBS:  54007.143  j NULL   1.3080e+04   1.977e+02    0  26.512   0.85  17.1977 
OBS:  54007.146  h NULL   1.2618e+04   2.724e+02    0  25.673   0.85  17.2360 
OBS:  54007.149  f NULL   1.6414e+04   7.292e+02    0  23.764   0.85  16.9812 
OBS:  54009.234  l NULL   1.1070e+04   1.980e+02    0  26.573   0.85  17.3970 
OBS:  54009.236  k NULL   1.4920e+04   2.420e+02    0  26.220   0.85  17.0568 
OBS:  54009.238  j NULL   1.4749e+04   1.911e+02    0  26.746   0.85  17.0729 
OBS:  54009.241  h NULL   1.4056e+04   2.338e+02    0  26.153   0.85  17.1148 
OBS:  54009.245  f NULL   1.7703e+04   5.600e+02    0  24.421   0.85  16.8832 
OBS:  54009.249  f NULL   1.7379e+04   6.035e+02    0  24.238   0.85  16.8831 
OBS:  54011.141  l NULL   1.1011e+04   2.156e+02    0  26.369   0.85  17.4232 
OBS:  54011.144  k NULL   1.5790e+04   2.309e+02    0  26.400   0.85  16.9939 
OBS:  54011.146  j NULL   1.5464e+04   2.773e+02    0  25.914   0.85  17.0138 
OBS:  54011.149  h NULL   1.4169e+04   2.375e+02    0  26.133   0.85  17.0691 
OBS:  54011.156  f NULL   1.7826e+04   1.015e+03    0  23.141   0.85  16.8896 
OBS:  54012.147  l NULL   1.0648e+04   1.881e+02    0  26.657   0.85  17.4408 
OBS:  54012.149  k NULL   1.6506e+04   2.656e+02    0  26.115   0.85  16.9697 
OBS:  54012.152  j NULL   1.5996e+04   3.235e+02    0  25.597   0.85  16.9938 
OBS:  54012.159  f NULL   1.8126e+04   1.080e+03    0  23.028   0.85  16.9175 
OBS:  54012.162  f NULL   1.7516e+04   9.625e+02    0  23.237   0.85  16.9176 
OBS:  54016.211  l NULL   9.6733e+03   2.031e+02    0  26.398   0.85  17.5276 
OBS:  54016.213  k NULL   1.6304e+04   2.832e+02    0  25.956   0.85  16.9456 
OBS:  54016.216  j NULL   1.5170e+04   3.047e+02    0  25.679   0.85  16.9975 
OBS:  54016.226  f NULL   1.3659e+04   1.268e+03    0  22.412   0.85  17.1779 
