SURVEY: Hicken2009_LC(Hicken2009_LC)   
SNID:   97   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_Hicken09 
SNTYPE:  1 
FILTERS: UBVRIfhjklabcde 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.028342 +- 0.000001  (Helio, z_best) 
REDSHIFT_FINAL:   0.027108 +- 0.000001  (CMB) 

VPEC:       -44.45  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54265.617 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  47  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.02834  
SIM_REDSHIFT_CMB:    0.02696  
SIM_REDSHIFT_HOST:   0.02834  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  44.5 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      35.3590  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0204   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.040  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000  (UBVRIfhjklabcde F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  -9.00  16.48  16.58  16.52  16.49  16.99
      -9.00  -9.00  -9.00  -9.00  -9.00  (UBVRIfhjklabcde obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
        1.0    1.0    1.0    1.0    1.0  (UBVRIfhjklabcde obs)
SIM_PEAKMJD:   54265.183594  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   5.7474e-03   
SIM_SALT2x1:    0.1133   
SIM_SALT2c:     0.0833   
SIM_SALT2mB:   16.2363   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 122 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54259.378  l NULL   1.5928e+04   2.214e+02    0  26.679   0.85  16.9859 
OBS:  54259.380  k NULL   2.0774e+04   2.898e+02    0  26.186   0.85  16.7217 
OBS:  54259.381  j NULL   1.9354e+04   2.741e+02    0  26.219   0.85  16.7562 
OBS:  54259.384  h NULL   1.9623e+04   2.766e+02    0  26.172   0.85  16.7699 
OBS:  54260.374  l NULL   1.6192e+04   2.385e+02    0  26.521   0.85  16.9474 
OBS:  54260.377  k NULL   2.2405e+04   2.957e+02    0  26.232   0.85  16.6475 
OBS:  54260.379  j NULL   2.1165e+04   2.969e+02    0  26.135   0.85  16.6789 
OBS:  54260.383  h NULL   2.0563e+04   3.425e+02    0  25.727   0.85  16.6928 
OBS:  54260.387  f NULL   2.7689e+04   7.920e+02    0  24.152   0.85  16.4438 
OBS:  54260.390  f NULL   2.6365e+04   8.299e+02    0  23.997   0.85  16.4436 
OBS:  54261.402  l NULL   1.6871e+04   2.570e+02    0  26.379   0.85  16.9364 
OBS:  54261.404  k NULL   2.3075e+04   3.083e+02    0  26.173   0.85  16.5929 
OBS:  54261.406  j NULL   2.2214e+04   2.771e+02    0  26.372   0.85  16.6205 
OBS:  54261.410  h NULL   2.1816e+04   3.153e+02    0  25.998   0.85  16.6365 
OBS:  54261.414  f NULL   2.7762e+04   7.508e+02    0  24.275   0.85  16.4058 
OBS:  54261.417  f NULL   2.6784e+04   6.708e+02    0  24.488   0.85  16.4057 
OBS:  54264.170  l NULL   1.6587e+04   2.707e+02    0  26.238   0.85  16.9651 
OBS:  54264.172  j NULL   2.4028e+04   3.409e+02    0  25.966   0.85  16.5288 
OBS:  54264.175  h NULL   2.4031e+04   3.912e+02    0  25.600   0.85  16.5722 
OBS:  54264.179  f NULL   2.5615e+04   7.822e+02    0  24.098   0.85  16.4251 
OBS:  54265.364  l NULL   1.5663e+04   2.378e+02    0  26.492   0.85  16.9905 
OBS:  54265.366  k NULL   2.5477e+04   3.012e+02    0  26.366   0.85  16.4832 
OBS:  54265.369  j NULL   2.4368e+04   2.915e+02    0  26.375   0.85  16.5137 
OBS:  54265.372  h NULL   2.3323e+04   2.994e+02    0  26.210   0.85  16.5812 
OBS:  54265.376  f NULL   2.6214e+04   6.796e+02    0  24.431   0.85  16.4874 
OBS:  54266.300  l NULL   1.5311e+04   2.094e+02    0  26.776   0.85  17.0137 
OBS:  54266.302  k NULL   2.5318e+04   2.819e+02    0  26.534   0.85  16.4765 
OBS:  54266.304  j NULL   2.4333e+04   3.266e+02    0  26.088   0.85  16.5117 
OBS:  54266.307  h NULL   2.2434e+04   3.413e+02    0  25.845   0.85  16.6006 
OBS:  54266.311  f NULL   2.3003e+04   6.338e+02    0  24.443   0.85  16.5517 
OBS:  54267.336  l NULL   1.5394e+04   4.584e+02    0  24.971   0.85  17.0404 
OBS:  54267.338  k NULL   2.5315e+04   4.030e+02    0  25.647   0.85  16.4786 
OBS:  54267.340  j NULL   2.4200e+04   3.092e+02    0  26.217   0.85  16.5188 
OBS:  54267.343  h NULL   2.1993e+04   2.984e+02    0  26.142   0.85  16.6317 
OBS:  54267.347  f NULL   2.2708e+04   6.460e+02    0  24.382   0.85  16.6314 
OBS:  54267.400  l NULL   1.4738e+04   4.485e+02    0  24.984   0.85  17.0421 
OBS:  54267.402  k NULL   2.5985e+04   3.071e+02    0  26.338   0.85  16.4790 
