SURVEY: Jha2006_LC(Jha2006_LC)   
SNID:   164   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_Jha06 
SNTYPE:  1 
FILTERS: UBVRIfhjkl 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.022503 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.021280 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   51892.613 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  14  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.02250  
SIM_REDSHIFT_CMB:    0.02128  
SIM_REDSHIFT_HOST:   0.02250  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      34.8358  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0324   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
      (UBVRIfhjkl F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   15.86  15.91  15.76  15.70  16.05  -9.00  -9.00  -9.00  -9.00  -9.00
      (UBVRIfhjkl obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
      (UBVRIfhjkl obs)
SIM_PEAKMJD:   51892.730469  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   1.1089e-02   
SIM_SALT2x1:    0.5743   
SIM_SALT2c:     0.0427   
SIM_SALT2mB:   15.5228   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -11.07   days 
SIM_TRESTMAX:    59.17   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 39 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  51881.410  R NULL   2.0080e+04   2.917e+02    0  26.158   0.85  16.7090 
OBS:  51881.410  V NULL   1.8644e+04   1.891e+02    0  27.113   0.85  16.8178 
OBS:  51881.410  U NULL   1.7531e+04   6.375e+02    0  24.127   0.85  16.8876 
OBS:  51881.410  I NULL   1.9023e+04   3.232e+02    0  26.062   0.85  16.8010 
OBS:  51881.410  B NULL   1.7005e+04   3.066e+02    0  25.750   0.85  16.9340 
OBS:  51898.330  V NULL   4.6267e+04   3.379e+02    0  27.098   0.85  15.8336 
OBS:  51898.330  I NULL   3.1817e+04   4.247e+02    0  25.962   0.85  16.2377 
OBS:  51898.330  B NULL   3.5947e+04   4.055e+02    0  26.062   0.85  16.1112 
OBS:  51898.330  U NULL   2.8332e+04   9.620e+02    0  23.755   0.85  16.2904 
OBS:  51898.330  R NULL   4.7838e+04   4.603e+02    0  26.221   0.85  15.7811 
OBS:  51901.330  I NULL   2.6378e+04   4.246e+02    0  25.755   0.85  16.4299 
OBS:  51901.330  U NULL   2.3842e+04   7.857e+02    0  24.005   0.85  16.5841 
OBS:  51901.330  V NULL   4.1950e+04   3.296e+02    0  26.940   0.85  15.9547 
OBS:  51901.330  R NULL   4.2142e+04   4.296e+02    0  26.184   0.85  15.9573 
OBS:  51901.330  B NULL   2.9638e+04   3.888e+02    0  25.896   0.85  16.3084 
OBS:  51906.320  I NULL   2.1719e+04   3.927e+02    0  25.736   0.85  16.6688 
OBS:  51906.320  B NULL   1.9755e+04   3.139e+02    0  25.879   0.85  16.7666 
OBS:  51906.320  R NULL   3.0340e+04   3.306e+02    0  26.393   0.85  16.2885 
OBS:  51906.320  U NULL   1.3216e+04   5.143e+02    0  24.289   0.85  17.1855 
OBS:  51906.320  V NULL   3.1678e+04   2.920e+02    0  26.777   0.85  16.2456 
OBS:  51907.240  R NULL   2.9001e+04   2.757e+02    0  26.818   0.85  16.3376 
OBS:  51907.240  V NULL   3.0085e+04   2.187e+02    0  27.591   0.85  16.3058 
OBS:  51907.240  U NULL   1.1821e+04   5.874e+02    0  23.884   0.85  17.3126 
OBS:  51907.240  I NULL   2.1201e+04   3.194e+02    0  26.198   0.85  16.6858 
OBS:  51907.240  B NULL   1.7841e+04   2.640e+02    0  26.164   0.85  16.8684 
OBS:  51929.330  R NULL   1.5333e+04   2.518e+02    0  26.181   0.85  17.0259 
OBS:  51929.330  B NULL   3.3034e+03   2.336e+02    0  24.648   0.85  18.7391 
OBS:  51929.330  U NULL   1.9512e+03   2.738e+02    0  23.762   0.85  19.3340 
OBS:  51929.330  I NULL   1.9592e+04   4.024e+02    0  25.579   0.85  16.8089 
OBS:  51929.330  V NULL   1.0210e+04   1.220e+02    0  27.379   0.85  17.4911 
OBS:  51933.330  R NULL   1.2499e+04   2.245e+02    0  26.221   0.85  17.2454 
OBS:  51933.330  B NULL   2.5681e+03   1.908e+02    0  24.856   0.85  18.8492 
OBS:  51933.330  V NULL   8.4227e+03   1.192e+02    0  27.195   0.85  17.6968 
OBS:  51933.330  U NULL   2.3036e+03   3.471e+02    0  23.435   0.85  19.4185 
OBS:  51933.330  I NULL   1.4795e+04   3.074e+02    0  25.948   0.85  17.0799 
OBS:  51953.230  R NULL   6.9742e+03   1.688e+02    0  26.282   0.85  17.9226 
