SURVEY: OTHER_LOWZ_LC(OTHER_LOWZ_LC)   
SNID:   264   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_OTHER_LOWZ 
SNTYPE:  1 
FILTERS: UBVRIfhjkl 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.039247 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.038000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   51254.254 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  14  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.03925  
SIM_REDSHIFT_CMB:    0.03800  
SIM_REDSHIFT_HOST:   0.03925  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      36.1214  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0324   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.054  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
      (UBVRIfhjkl F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  16.48  16.52  16.48  16.77  -9.00  -9.00  -9.00  -9.00  -9.00
      (UBVRIfhjkl obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
      (UBVRIfhjkl obs)
SIM_PEAKMJD:   51254.363281  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   6.1630e-03   
SIM_SALT2x1:    2.2790   
SIM_SALT2c:    -0.0893   
SIM_SALT2mB:   16.1605   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 93 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  51244.900  R NULL   1.6126e+04   4.994e+02    0  24.687   0.85  16.9157 
OBS:  51249.260  R NULL   2.3055e+04   5.490e+02    0  24.845   0.85  16.5817 
OBS:  51249.260  V NULL   2.2856e+04   4.142e+02    0  25.442   0.85  16.6010 
OBS:  51249.260  I NULL   2.1084e+04   3.930e+02    0  25.707   0.85  16.6892 
OBS:  51249.260  B NULL   2.5165e+04   4.212e+02    0  25.487   0.85  16.5078 
OBS:  51254.160  R NULL   2.5393e+04   5.359e+02    0  25.004   0.85  16.4815 
OBS:  51254.160  B NULL   2.5569e+04   5.386e+02    0  24.942   0.85  16.4726 
OBS:  51254.160  I NULL   1.9800e+04   2.207e+02    0  27.040   0.85  16.7587 
OBS:  51254.160  V NULL   2.3616e+04   4.720e+02    0  25.185   0.85  16.5182 
OBS:  51255.380  V NULL   2.3767e+04   6.544e+02    0  24.453   0.85  16.5156 
OBS:  51255.380  R NULL   2.5129e+04   6.524e+02    0  24.552   0.85  16.4738 
OBS:  51255.380  B NULL   2.5732e+04   5.422e+02    0  24.932   0.85  16.4921 
OBS:  51257.300  V NULL   2.4825e+04   4.096e+02    0  25.563   0.85  16.5317 
OBS:  51257.300  B NULL   2.4765e+04   3.197e+02    0  26.125   0.85  16.5378 
OBS:  51258.160  R NULL   2.4922e+04   5.465e+02    0  24.941   0.85  16.4903 
OBS:  51258.160  I NULL   1.7765e+04   2.048e+02    0  27.099   0.85  16.8838 
OBS:  51258.160  V NULL   2.4198e+04   3.991e+02    0  25.595   0.85  16.5465 
OBS:  51258.160  B NULL   2.3528e+04   3.015e+02    0  26.208   0.85  16.5638 
OBS:  51258.170  R NULL   2.5187e+04   5.253e+02    0  25.041   0.85  16.4904 
OBS:  51258.170  I NULL   1.7594e+04   1.620e+02    0  27.728   0.85  16.8841 
OBS:  51258.170  V NULL   2.3854e+04   3.923e+02    0  25.620   0.85  16.5467 
OBS:  51259.300  B NULL   2.2972e+04   7.433e+02    0  24.102   0.85  16.6020 
OBS:  51259.300  V NULL   2.3463e+04   6.589e+02    0  24.421   0.85  16.5707 
OBS:  51259.300  R NULL   2.4932e+04   7.008e+02    0  24.382   0.85  16.5111 
OBS:  51265.070  I NULL   1.2902e+04   2.234e+02    0  26.565   0.85  17.2200 
OBS:  51265.070  R NULL   1.9579e+04   5.363e+02    0  24.724   0.85  16.7549 
OBS:  51265.070  B NULL   1.8088e+04   3.094e+02    0  25.803   0.85  16.8662 
OBS:  51265.070  V NULL   1.9926e+04   4.185e+02    0  25.258   0.85  16.7610 
OBS:  51266.180  B NULL   1.7264e+04   3.318e+02    0  25.583   0.85  16.9440 
OBS:  51266.180  I NULL   1.2338e+04   2.368e+02    0  26.390   0.85  17.2917 
OBS:  51266.180  R NULL   1.8200e+04   5.685e+02    0  24.521   0.85  16.8294 
OBS:  51266.180  V NULL   1.7982e+04   4.481e+02    0  24.995   0.85  16.8180 
OBS:  51272.220  I NULL   9.4261e+03   2.806e+02    0  25.806   0.85  17.5839 
OBS:  51272.220  R NULL   1.4533e+04   5.502e+02    0  24.367   0.85  17.1753 
OBS:  51272.220  V NULL   1.4050e+04   6.928e+02    0  23.782   0.85  17.1423 
OBS:  51272.220  B NULL   1.0142e+04   2.978e+02    0  25.232   0.85  17.5221 
