SURVEY: OTHER_LOWZ_LC(OTHER_LOWZ_LC)   
SNID:   272   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_OTHER_LOWZ 
SNTYPE:  1 
FILTERS: UBVRIfhjkl 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.016600 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.015380 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   52103.699 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  22  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.01660  
SIM_REDSHIFT_CMB:    0.01538  
SIM_REDSHIFT_HOST:   0.01660  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      34.1212  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0341   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.191  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
      (UBVRIfhjkl F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   15.36  15.49  15.36  15.27  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      (UBVRIfhjkl obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
      (UBVRIfhjkl obs)
SIM_PEAKMJD:   52103.824219  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   1.9792e-02   
SIM_SALT2x1:    0.2286   
SIM_SALT2c:     0.0547   
SIM_SALT2mB:   14.8938   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 41 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  52097.000  R NULL   6.1612e+04   2.340e+03    0  22.690   0.85  15.5666 
OBS:  52097.000  U NULL   6.2867e+04   2.907e+03    0  22.212   0.85  15.5072 
OBS:  52097.000  B NULL   5.0369e+04   1.743e+03    0  23.089   0.85  15.7819 
OBS:  52097.000  V NULL   5.0394e+04   1.668e+03    0  23.203   0.85  15.7127 
OBS:  52101.030  B NULL   6.1970e+04   7.595e+02    0  25.255   0.85  15.5114 
OBS:  52101.030  V NULL   6.7194e+04   5.558e+02    0  26.271   0.85  15.4235 
OBS:  52101.030  R NULL   7.5121e+04   1.145e+03    0  24.526   0.85  15.3205 
OBS:  52103.970  V NULL   7.2616e+04   8.143e+02    0  25.314   0.85  15.3550 
OBS:  52103.970  B NULL   6.2535e+04   9.986e+02    0  24.602   0.85  15.4879 
OBS:  52103.970  R NULL   7.7804e+04   1.423e+03    0  24.062   0.85  15.2663 
OBS:  52105.970  R NULL   7.6774e+04   1.111e+03    0  24.633   0.85  15.2695 
OBS:  52105.970  B NULL   6.0653e+04   6.420e+02    0  25.660   0.85  15.5340 
OBS:  52105.970  V NULL   7.2851e+04   5.864e+02    0  26.249   0.85  15.3565 
OBS:  52112.030  R NULL   6.3289e+04   1.697e+03    0  23.425   0.85  15.5181 
OBS:  52112.030  V NULL   6.0643e+04   8.445e+02    0  24.972   0.85  15.5415 
OBS:  52112.030  B NULL   4.4195e+04   9.382e+02    0  24.321   0.85  15.8849 
OBS:  52113.980  R NULL   5.4776e+04   1.244e+03    0  23.960   0.85  15.6604 
OBS:  52113.980  B NULL   3.7535e+04   6.781e+02    0  24.872   0.85  16.0492 
OBS:  52113.980  V NULL   5.6089e+04   7.366e+02    0  25.197   0.85  15.6454 
OBS:  52116.980  B NULL   2.8712e+04   4.136e+02    0  25.700   0.85  16.3529 
OBS:  52116.980  V NULL   4.6243e+04   4.185e+02    0  26.409   0.85  15.8321 
OBS:  52116.980  R NULL   4.5910e+04   8.358e+02    0  24.664   0.85  15.8470 
OBS:  52122.970  B NULL   1.6028e+04   3.256e+02    0  25.541   0.85  17.0155 
OBS:  52122.970  V NULL   3.3591e+04   4.098e+02    0  25.960   0.85  16.1756 
OBS:  52122.970  R NULL   3.9225e+04   8.793e+02    0  24.368   0.85  16.0137 
OBS:  52127.980  V NULL   2.6545e+04   5.659e+02    0  24.900   0.85  16.4324 
OBS:  52127.980  R NULL   3.5418e+04   1.200e+03    0  23.566   0.85  16.0956 
OBS:  52127.980  B NULL   1.0200e+04   6.673e+02    0  23.495   0.85  17.5183 
OBS:  52129.990  V NULL   2.3628e+04   6.169e+02    0  24.577   0.85  16.5345 
OBS:  52129.990  B NULL   8.0964e+03   3.080e+02    0  24.924   0.85  17.6862 
OBS:  52129.990  R NULL   3.4959e+04   1.357e+03    0  23.283   0.85  16.1373 
OBS:  52136.990  V NULL   1.6786e+04   3.192e+02    0  25.684   0.85  16.9401 
OBS:  52136.990  B NULL   5.8238e+03   4.403e+02    0  23.835   0.85  18.1873 
OBS:  52143.980  V NULL   1.1984e+04   2.629e+02    0  25.752   0.85  17.3046 
OBS:  52143.980  B NULL   4.4329e+03   1.637e+02    0  25.690   0.85  18.4508 
OBS:  52143.980  R NULL   1.8310e+04   5.863e+02    0  24.458   0.85  16.8575 
