SURVEY: Riess1999_LC(Riess1999_LC)   
SNID:   353   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_Riess99 
SNTYPE:  1 
FILTERS: UBVRIfhjkl 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.051157 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.049900 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   49993.133 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  3  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.05116  
SIM_REDSHIFT_CMB:    0.04990  
SIM_REDSHIFT_HOST:   0.05116  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      36.7315  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0258   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
      (UBVRIfhjkl F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  17.71  17.64  17.49  17.73  -9.00  -9.00  -9.00  -9.00  -9.00
      (UBVRIfhjkl obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
      (UBVRIfhjkl obs)
SIM_PEAKMJD:   49993.023438  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   2.1916e-03   
SIM_SALT2x1:    0.5690   
SIM_SALT2c:    -0.0012   
SIM_SALT2mB:   17.2831   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 86 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  49987.100  V NULL   6.9217e+03   2.298e+02    0  25.496   0.85  17.8520 
OBS:  49987.100  B NULL   6.8648e+03   2.390e+02    0  25.307   0.85  17.8527 
OBS:  49987.140  R NULL   8.6194e+03   4.910e+02    0  24.131   0.85  17.6887 
OBS:  49987.140  I NULL   8.5775e+03   2.902e+02    0  25.669   0.85  17.7112 
OBS:  49988.270  R NULL   8.8027e+03   4.247e+02    0  24.466   0.85  17.6190 
OBS:  49988.270  I NULL   8.2932e+03   2.912e+02    0  25.642   0.85  17.6736 
OBS:  49988.300  V NULL   8.0700e+03   2.508e+02    0  25.449   0.85  17.7733 
OBS:  49988.300  B NULL   8.0171e+03   3.344e+02    0  24.733   0.85  17.7786 
OBS:  49989.250  R NULL   9.5866e+03   5.254e+02    0  24.081   0.85  17.5775 
OBS:  49989.250  I NULL   8.5675e+03   2.015e+02    0  26.480   0.85  17.6641 
OBS:  49989.300  B NULL   7.8539e+03   3.043e+02    0  24.919   0.85  17.7389 
OBS:  49989.300  V NULL   8.1931e+03   3.673e+02    0  24.631   0.85  17.7273 
OBS:  49992.200  V NULL   8.8097e+03   2.965e+02    0  25.167   0.85  17.6509 
OBS:  49992.200  B NULL   8.4328e+03   3.027e+02    0  25.001   0.85  17.6997 
OBS:  49992.210  I NULL   9.0942e+03   3.042e+02    0  25.599   0.85  17.7046 
OBS:  49992.210  R NULL   9.5772e+03   5.338e+02    0  24.047   0.85  17.5040 
OBS:  49994.100  B NULL   8.2343e+03   3.926e+02    0  24.413   0.85  17.7288 
OBS:  49994.100  V NULL   8.1303e+03   3.134e+02    0  24.970   0.85  17.6400 
OBS:  49994.130  I NULL   8.3155e+03   3.946e+02    0  24.976   0.85  17.7683 
OBS:  49998.150  R NULL   9.9894e+03   5.417e+02    0  24.051   0.85  17.5455 
OBS:  49998.150  I NULL   6.6911e+03   4.402e+02    0  24.615   0.85  17.8971 
OBS:  49998.200  B NULL   6.4250e+03   3.228e+02    0  24.588   0.85  17.8933 
OBS:  49998.200  V NULL   8.3362e+03   2.609e+02    0  25.395   0.85  17.7154 
OBS:  50000.100  I NULL   6.2861e+03   1.630e+02    0  26.758   0.85  17.9987 
OBS:  50000.100  B NULL   6.5133e+03   1.665e+02    0  26.048   0.85  18.0051 
OBS:  50000.100  V NULL   8.1073e+03   2.486e+02    0  25.472   0.85  17.7826 
OBS:  50000.100  R NULL   9.6024e+03   4.423e+02    0  24.451   0.85  17.6273 
OBS:  50001.100  B NULL   5.9981e+03   1.920e+02    0  25.647   0.85  18.0733 
OBS:  50001.100  I NULL   5.6320e+03   2.377e+02    0  25.862   0.85  18.0692 
OBS:  50001.100  R NULL   8.3129e+03   4.902e+02    0  24.108   0.85  17.6858 
OBS:  50001.100  V NULL   7.5795e+03   2.225e+02    0  25.653   0.85  17.8253 
OBS:  50002.200  I NULL   5.5146e+03   1.517e+02    0  26.842   0.85  18.1515 
OBS:  50002.200  V NULL   7.6585e+03   2.781e+02    0  25.169   0.85  17.8768 
OBS:  50002.200  R NULL   8.5063e+03   4.882e+02    0  24.131   0.85  17.7567 
OBS:  50002.200  B NULL   5.0973e+03   2.554e+02    0  24.864   0.85  18.1550 
OBS:  50004.200  I NULL   4.9239e+03   2.091e+02    0  26.076   0.85  18.2812 
