SURVEY: Riess1999_LC(Riess1999_LC)   
SNID:   356   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_Riess99 
SNTYPE:  1 
FILTERS: UBVRIfhjkl 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.017781 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.016560 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   49769.645 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  6  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.01778  
SIM_REDSHIFT_CMB:    0.01656  
SIM_REDSHIFT_HOST:   0.01778  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      34.2836  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0163   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
      (UBVRIfhjkl F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  15.00  14.98  14.95  15.25  -9.00  -9.00  -9.00  -9.00  -9.00
      (UBVRIfhjkl obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
      (UBVRIfhjkl obs)
SIM_PEAKMJD:   49768.281250  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   2.4984e-02   
SIM_SALT2x1:    1.0144   
SIM_SALT2c:    -0.0438   
SIM_SALT2mB:   14.6409   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 206 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  49759.600  I NULL   6.0720e+04   2.406e+03    0  22.692   0.85  15.5069 
OBS:  49759.600  R NULL   6.4924e+04   3.643e+03    0  21.791   0.85  15.4266 
OBS:  49759.600  V NULL   6.1876e+04   5.946e+03    0  20.709   0.85  15.4973 
OBS:  49761.580  V NULL   8.0686e+04   7.713e+03    0  20.428   0.85  15.2554 
OBS:  49761.600  R NULL   9.9945e+04   2.347e+04    0  18.500   0.85  15.1943 
OBS:  49761.600  I NULL   1.1750e+05   4.415e+04    0  17.578   0.85  15.3040 
OBS:  49761.600  V NULL   9.8476e+04   1.590e+04    0  19.182   0.85  15.2535 
OBS:  49762.500  V NULL   8.6985e+04   8.267e+03    0  20.358   0.85  15.1767 
OBS:  49762.500  I NULL   8.4433e+04   3.001e+04    0  18.031   0.85  15.2500 
OBS:  49762.500  R NULL   7.8252e+04   9.529e+03    0  19.984   0.85  15.1229 
OBS:  49765.240  I NULL   8.1501e+04   8.077e+03    0  20.406   0.85  15.2066 
OBS:  49765.240  R NULL   1.1086e+05   9.968e+03    0  20.209   0.85  15.0035 
OBS:  49765.240  V NULL   8.8192e+04   9.004e+03    0  20.197   0.85  15.0386 
OBS:  49765.240  B NULL   1.0564e+05   9.661e+03    0  20.215   0.85  15.0246 
OBS:  49765.370  B NULL   1.0883e+05   7.791e+03    0  20.690   0.85  15.0216 
OBS:  49765.370  V NULL   9.3925e+04   1.118e+04    0  19.822   0.85  15.0345 
OBS:  49765.370  I NULL   6.8265e+04   9.122e+03    0  20.009   0.85  15.2073 
OBS:  49765.370  R NULL   9.8165e+04   9.716e+03    0  20.149   0.85  15.0001 
OBS:  49765.500  V NULL   9.5850e+04   3.665e+03    0  22.177   0.85  15.0304 
OBS:  49765.500  I NULL   8.5717e+04   1.671e+03    0  23.860   0.85  15.2081 
OBS:  49765.500  R NULL   9.8708e+04   1.875e+03    0  23.714   0.85  14.9968 
OBS:  49766.290  R NULL   1.0559e+05   5.987e+03    0  21.228   0.85  14.9786 
OBS:  49766.290  I NULL   8.0440e+04   6.415e+03    0  20.870   0.85  15.2150 
OBS:  49766.290  V NULL   1.0305e+05   5.739e+03    0  21.286   0.85  15.0087 
OBS:  49766.290  B NULL   9.3607e+04   7.427e+03    0  20.640   0.85  15.0057 
OBS:  49767.170  B NULL   8.7807e+04   9.142e+03    0  20.155   0.85  14.9994 
OBS:  49767.170  I NULL   7.9769e+04   8.003e+03    0  20.406   0.85  15.2273 
OBS:  49767.170  R NULL   1.0530e+05   9.982e+03    0  20.159   0.85  14.9628 
OBS:  49767.170  V NULL   9.7860e+04   9.632e+03    0  20.157   0.85  14.9905 
OBS:  49767.500  V NULL   1.0066e+05   2.007e+03    0  23.571   0.85  14.9854 
OBS:  49767.500  I NULL   7.8924e+04   6.412e+03    0  20.849   0.85  15.2331 
OBS:  49767.500  R NULL   1.0753e+05   1.988e+03    0  23.674   0.85  14.9581 
OBS:  49768.500  V NULL   1.0900e+05   2.507e+04    0  18.436   0.85  14.9752 
OBS:  49768.500  I NULL   8.3673e+04   6.578e+03    0  20.849   0.85  15.2551 
OBS:  49768.500  R NULL   1.0313e+05   3.845e+03    0  22.159   0.85  14.9482 
OBS:  49769.290  B NULL   9.9860e+04   9.940e+03    0  20.105   0.85  15.0202 
