SURVEY: SDSS(SDSS)   
SNID:   410   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.148548 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.147170 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53980.316 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  10  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.14855  
SIM_REDSHIFT_CMB:    0.14717  
SIM_REDSHIFT_HOST:   0.14855  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.2198  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0249   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.014  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  21.27  20.77  20.71  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53979.808594  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   7.0976e-05   
SIM_SALT2x1:    0.6257   
SIM_SALT2c:     0.4000   
SIM_SALT2mB:   21.0072   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 45 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53974.168  g NULL   2.7046e+02   1.646e+01    0  29.013   0.85  21.3748 
OBS:  53974.168  i NULL   4.6137e+02   3.593e+01    0  28.810   0.85  20.7989 
OBS:  53974.168  r NULL   4.5614e+02   2.774e+01    0  28.546   0.85  20.9511 
OBS:  53989.156  r NULL   4.3271e+02   2.575e+01    0  28.695   0.85  20.9629 
OBS:  53989.156  i NULL   4.0195e+02   3.296e+01    0  28.982   0.85  20.9387 
OBS:  53989.156  g NULL   2.3288e+02   2.044e+01    0  28.501   0.85  21.6613 
OBS:  53995.164  i NULL   3.1376e+02   3.252e+01    0  28.987   0.85  21.2818 
OBS:  53995.164  g NULL   1.5828e+02   1.582e+01    0  28.974   0.85  22.1649 
OBS:  53995.164  r NULL   2.8910e+02   2.363e+01    0  28.798   0.85  21.2863 
OBS:  53997.141  g NULL   7.7549e+01   1.811e+01    0  28.587   0.85  22.3682 
OBS:  53997.141  i NULL   2.4511e+02   3.945e+01    0  28.549   0.85  21.3464 
OBS:  53997.141  r NULL   2.6339e+02   2.722e+01    0  28.474   0.85  21.3978 
OBS:  54005.113  i NULL   2.5064e+02   2.923e+01    0  29.202   0.85  21.4168 
OBS:  54005.113  g NULL   6.0494e+01   1.353e+01    0  29.199   0.85  23.1486 
OBS:  54005.113  r NULL   2.2608e+02   2.081e+01    0  29.035   0.85  21.7016 
OBS:  54007.125  r NULL   1.7930e+02   2.267e+01    0  28.820   0.85  21.7730 
OBS:  54007.125  i NULL   2.4792e+02   3.319e+01    0  28.925   0.85  21.4384 
OBS:  54007.125  g NULL   5.5326e+01   1.688e+01    0  28.713   0.85  23.3211 
OBS:  54009.121  r NULL   1.7946e+02   2.394e+01    0  28.700   0.85  21.8449 
OBS:  54009.121  i NULL   2.6101e+02   3.276e+01    0  28.957   0.85  21.4530 
OBS:  54009.121  g NULL   5.8290e+01   2.003e+01    0  28.344   0.85  23.4765 
OBS:  54011.188  g NULL  -2.1284e+01   3.200e+01    0  27.265   0.85  23.6249 
OBS:  54011.188  r NULL   1.7345e+02   3.052e+01    0  28.171   0.85  21.9264 
OBS:  54019.137  i NULL   1.0297e+02   3.999e+01    0  28.480   0.85  21.8614 
OBS:  54025.184  r NULL   9.8824e+01   2.307e+01    0  28.728   0.85  22.6075 
OBS:  54025.184  i NULL   1.3262e+02   3.786e+01    0  28.607   0.85  22.1813 
OBS:  54025.184  g NULL   1.2515e+01   1.453e+01    0  28.983   0.85  24.2817 
OBS:  54029.113  r NULL   7.7996e+01   2.289e+01    0  28.732   0.85  22.7561 
OBS:  54029.113  i NULL   1.3219e+02   3.194e+01    0  28.976   0.85  22.3668 
OBS:  54029.113  g NULL   2.8161e+01   1.364e+01    0  29.140   0.85  24.3646 
OBS:  54031.102  r NULL   1.2049e+02   2.080e+01    0  28.968   0.85  22.8148 
OBS:  54031.102  i NULL   1.2333e+02   2.909e+01    0  29.176   0.85  22.4483 
OBS:  54031.102  g NULL   5.3798e+00   1.298e+01    0  29.216   0.85  24.4080 
