SURVEY: SDSS(SDSS)   
SNID:   412   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.105327 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.104000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53986.543 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  12  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.10533  
SIM_REDSHIFT_CMB:    0.10400  
SIM_REDSHIFT_HOST:   0.10533  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.4063  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0295   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.016  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   19.97  18.95  18.95  19.35  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53988.617188  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   5.4676e-04   
SIM_SALT2x1:    1.3814   
SIM_SALT2c:    -0.0185   
SIM_SALT2mB:   18.7905   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 68 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53975.270  g NULL   9.8967e+02   2.300e+01    0  28.876   0.85  20.0176 
OBS:  53975.270  u NULL   3.3952e+02   6.632e+01    0  25.292   0.85  21.0615 
OBS:  53975.270  r NULL   9.1737e+02   2.758e+01    0  28.802   0.85  20.1200 
OBS:  53975.270  i NULL   8.5974e+02   4.003e+01    0  28.678   0.85  20.2235 
OBS:  53993.340  u NULL   6.4758e+02   7.077e+01    0  25.600   0.85  20.4079 
OBS:  53993.340  i NULL   1.9046e+03   5.139e+01    0  28.373   0.85  19.3502 
OBS:  53993.340  r NULL   2.5584e+03   4.095e+01    0  28.567   0.85  18.9754 
OBS:  53996.277  g NULL   2.0908e+03   3.722e+01    0  28.380   0.85  19.1977 
OBS:  53996.277  r NULL   2.4291e+03   3.836e+01    0  28.675   0.85  19.0450 
OBS:  53996.277  u NULL   4.9064e+02   5.967e+01    0  25.739   0.85  20.7470 
OBS:  53996.277  i NULL   1.7151e+03   4.293e+01    0  28.733   0.85  19.4457 
OBS:  53998.246  i NULL   1.4833e+03   3.578e+01    0  29.088   0.85  19.5657 
OBS:  53998.246  u NULL   4.0627e+02   4.886e+01    0  26.014   0.85  20.9582 
OBS:  53998.246  g NULL   1.9317e+03   2.456e+01    0  29.291   0.85  19.3073 
OBS:  53998.246  r NULL   2.2742e+03   2.841e+01    0  29.344   0.85  19.1174 
OBS:  54005.277  u NULL   2.3916e+02   4.843e+01    0  25.719   0.85  21.7631 
OBS:  54005.277  g NULL   1.0764e+03   2.215e+01    0  29.025   0.85  19.8777 
OBS:  54005.277  r NULL   1.6519e+03   2.728e+01    0  29.163   0.85  19.5067 
OBS:  54005.277  i NULL   1.0554e+03   3.505e+01    0  29.019   0.85  19.9995 
OBS:  54008.238  r NULL   1.3262e+03   2.802e+01    0  28.969   0.85  19.6302 
OBS:  54008.238  i NULL   1.0314e+03   3.737e+01    0  28.873   0.85  19.9801 
OBS:  54008.238  u NULL   1.3810e+02   6.058e+01    0  25.067   0.85  22.1011 
OBS:  54008.238  g NULL   8.5325e+02   2.320e+01    0  28.760   0.85  20.1519 
OBS:  54010.230  r NULL   1.3094e+03   3.213e+01    0  28.646   0.85  19.6983 
OBS:  54010.230  u NULL   1.4132e+02   6.487e+01    0  24.962   0.85  22.3652 
OBS:  54010.230  g NULL   7.4759e+02   2.513e+01    0  28.505   0.85  20.3444 
OBS:  54010.230  i NULL   9.7468e+02   3.604e+01    0  28.941   0.85  19.9681 
OBS:  54012.223  r NULL   1.2660e+03   4.240e+01    0  28.008   0.85  19.7606 
OBS:  54012.223  g NULL   6.5475e+02   4.286e+01    0  27.268   0.85  20.5407 
OBS:  54012.223  u NULL   5.9630e+00   9.955e+01    0  24.005   0.85  22.6908 
OBS:  54012.223  i NULL   9.0571e+02   4.650e+01    0  28.365   0.85  19.9913 
OBS:  54020.230  g NULL   3.5104e+02   2.207e+01    0  28.455   0.85  21.1704 
OBS:  54020.230  r NULL   1.0167e+03   3.212e+01    0  28.511   0.85  20.0118 
OBS:  54020.230  i NULL   1.0380e+03   4.627e+01    0  28.407   0.85  19.9347 
OBS:  54020.230  u NULL   2.3159e+00   4.722e+01    0  25.131   0.85  23.4408 
OBS:  54022.277  i NULL   9.8137e+02   3.630e+01    0  28.925   0.85  20.0082 
OBS:  54022.277  g NULL   3.3306e+02   1.768e+01    0  28.919   0.85  21.3218 
OBS:  54028.219  r NULL   6.0287e+02   2.903e+01    0  28.531   0.85  20.4119 
OBS:  54028.219  i NULL   7.2723e+02   4.393e+01    0  28.442   0.85  20.3259 
OBS:  54028.219  u NULL  -1.4173e+01   3.960e+01    0  25.416   0.85  23.9148 
OBS:  54028.219  g NULL   2.4587e+02   1.595e+01    0  29.053   0.85  21.6818 
OBS:  54030.223  r NULL   6.4204e+02   2.314e+01    0  29.047   0.85  20.5205 
OBS:  54030.223  i NULL   6.4182e+02   3.319e+01    0  29.032   0.85  20.4382 
OBS:  54030.223  u NULL   6.5018e+01   3.338e+01    0  25.955   0.85  23.6647 
OBS:  54030.223  g NULL   2.1975e+02   1.403e+01    0  29.306   0.85  21.7477 
OBS:  54035.297  r NULL   4.2768e+02   3.759e+01    0  27.871   0.85  20.7697 
OBS:  54035.297  i NULL   5.0644e+02   5.304e+01    0  27.975   0.85  20.7160 
OBS:  54035.297  g NULL   2.1243e+02   2.282e+01    0  28.240   0.85  21.8498 
OBS:  54035.297  u NULL   2.0303e+01   7.976e+01    0  24.351   0.85  23.3383 
OBS:  54037.203  i NULL   4.2176e+02   4.553e+01    0  28.284   0.85  20.8085 
OBS:  54037.203  g NULL   2.1929e+02   2.217e+01    0  28.311   0.85  21.8896 
OBS:  54037.203  u NULL   2.7286e+01   4.015e+01    0  25.487   0.85  23.4376 
OBS:  54037.203  r NULL   4.8199e+02   3.352e+01    0  28.148   0.85  20.8366 
OBS:  54040.219  i NULL   3.1955e+02   5.596e+01    0  27.809   0.85  20.9381 
OBS:  54040.219  g NULL   1.9099e+02   4.440e+01    0  26.784   0.85  21.9531 
OBS:  54040.219  u NULL   1.9996e+02   1.340e+02    0  23.856   0.85  23.8256 
OBS:  54040.219  r NULL   4.2514e+02   4.834e+01    0  27.324   0.85  20.9119 
OBS:  54049.242  g NULL   1.0186e+02   3.859e+01    0  26.984   0.85  22.1376 
OBS:  54049.242  i NULL   3.3513e+02   5.500e+01    0  27.852   0.85  21.2576 
OBS:  54049.242  r NULL   3.5176e+02   4.328e+01    0  27.522   0.85  21.0301 
