SURVEY: SDSS(SDSS)   
SNID:   415   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.105993 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.104670 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54002.105 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  15  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.10599  
SIM_REDSHIFT_CMB:    0.10467  
SIM_REDSHIFT_HOST:   0.10599  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.4212  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0331   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.50  19.28  19.33  19.54  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54003.664062  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   4.1087e-04   
SIM_SALT2x1:   -1.3879   
SIM_SALT2c:    -0.0483   
SIM_SALT2mB:   19.1007   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 157 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53989.324  g NULL   1.6787e+02   3.790e+01    0  27.097   0.85  22.0273 
OBS:  53989.324  r NULL   1.8678e+02   3.733e+01    0  27.742   0.85  21.8003 
OBS:  53989.324  u NULL   2.6948e+02   1.197e+02    0  24.122   0.85  24.4891 
OBS:  53989.324  i NULL   1.7309e+02   4.190e+01    0  28.398   0.85  21.6043 
OBS:  53990.328  i NULL   3.5170e+02   3.968e+01    0  28.565   0.85  21.1792 
OBS:  53990.328  u NULL   2.7986e+01   6.089e+01    0  24.798   0.85  23.0015 
OBS:  53990.328  g NULL   2.7129e+02   3.034e+01    0  27.685   0.85  21.4934 
OBS:  53990.328  r NULL   3.0404e+02   3.000e+01    0  28.289   0.85  21.3885 
OBS:  53994.340  u NULL   5.2266e+02   5.296e+01    0  26.035   0.85  20.9286 
OBS:  53994.340  r NULL   8.5074e+02   2.310e+01    0  29.162   0.85  20.2159 
OBS:  53994.340  g NULL   8.8237e+02   1.912e+01    0  29.215   0.85  20.1466 
OBS:  53994.340  i NULL   9.1822e+02   3.415e+01    0  29.042   0.85  20.1249 
OBS:  53996.324  g NULL   1.2341e+03   2.478e+01    0  28.870   0.85  19.7476 
OBS:  53996.324  r NULL   1.1905e+03   4.431e+01    0  27.879   0.85  19.8420 
OBS:  53996.324  u NULL   6.0698e+02   6.415e+01    0  25.747   0.85  20.4737 
OBS:  53996.324  i NULL   1.1067e+03   4.707e+01    0  28.387   0.85  19.8111 
OBS:  53997.422  r NULL   1.2920e+03   3.398e+01    0  28.514   0.85  19.6977 
OBS:  53997.422  u NULL   6.8591e+02   7.274e+01    0  25.590   0.85  20.3426 
OBS:  53997.422  g NULL   1.5421e+03   3.453e+01    0  28.281   0.85  19.5979 
OBS:  53997.422  i NULL   1.4092e+03   4.034e+01    0  28.797   0.85  19.7008 
OBS:  53998.293  i NULL   1.3536e+03   4.023e+01    0  28.793   0.85  19.6382 
OBS:  53998.293  u NULL   6.9478e+02   4.841e+01    0  26.450   0.85  20.2818 
OBS:  53998.293  g NULL   1.6421e+03   2.738e+01    0  28.867   0.85  19.5040 
OBS:  53998.293  r NULL   1.4034e+03   2.696e+01    0  29.089   0.85  19.6055 
OBS:  54000.301  i NULL   1.5126e+03   4.286e+01    0  28.690   0.85  19.5629 
OBS:  54000.301  g NULL   1.7631e+03   3.623e+01    0  28.293   0.85  19.3543 
OBS:  54000.301  r NULL   1.6483e+03   3.137e+01    0  28.846   0.85  19.4519 
OBS:  54000.301  u NULL   7.3754e+02   6.102e+01    0  26.008   0.85  20.2654 
OBS:  54005.320  g NULL   1.9000e+03   2.641e+01    0  29.097   0.85  19.3193 
OBS:  54005.320  r NULL   1.8207e+03   5.751e+01    0  27.547   0.85  19.3167 
OBS:  54005.320  i NULL   1.5228e+03   5.951e+01    0  27.966   0.85  19.5594 
OBS:  54005.320  u NULL   5.2622e+02   4.499e+01    0  26.377   0.85  20.7182 
OBS:  54006.250  g NULL   1.8736e+03   4.407e+01    0  27.894   0.85  19.3536 
OBS:  54007.352  g NULL   1.6946e+03   3.265e+01    0  28.497   0.85  19.4081 
OBS:  54007.352  r NULL   1.8377e+03   3.001e+01    0  29.028   0.85  19.3382 
OBS:  54007.352  u NULL   4.0955e+02   5.764e+01    0  25.684   0.85  20.9896 
OBS:  54007.352  i NULL   1.4382e+03   4.207e+01    0  28.713   0.85  19.6027 
OBS:  54008.281  r NULL   1.8259e+03   3.108e+01    0  28.939   0.85  19.3601 
OBS:  54008.281  i NULL   1.4428e+03   3.739e+01    0  28.976   0.85  19.6300 
OBS:  54008.281  u NULL   2.9860e+02   4.858e+01    0  25.835   0.85  21.1128 
OBS:  54008.281  g NULL   1.6251e+03   2.355e+01    0  29.225   0.85  19.4651 
OBS:  54009.277  i NULL   1.2638e+03   3.865e+01    0  28.863   0.85  19.6714 
OBS:  54009.277  r NULL   1.6943e+03   3.249e+01    0  28.788   0.85  19.3924 
OBS:  54009.277  g NULL   1.5093e+03   2.586e+01    0  28.937   0.85  19.5334 
OBS:  54009.277  u NULL   2.5745e+02   5.767e+01    0  25.416   0.85  21.2478 
OBS:  54010.277  g NULL   1.4518e+03   2.671e+01    0  28.823   0.85  19.6093 
