SURVEY: SDSS(SDSS)   
SNID:   429   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.217862 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.216400 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54010.621 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  29  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.21786  
SIM_REDSHIFT_CMB:    0.21640  
SIM_REDSHIFT_HOST:   0.21786  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      40.1454  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0328   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.039  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.08  21.03  20.91  20.89  21.36  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54012.226562  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   8.7254e-05   
SIM_SALT2x1:   -0.3442   
SIM_SALT2c:    -0.0147   
SIM_SALT2mB:   20.7830   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 107 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53996.191  r NULL   4.4026e+01   2.033e+01    0  28.965   0.85  22.9013 
OBS:  53996.191  z NULL  -4.2631e+01   7.163e+01    0  28.547   0.85  22.9895 
OBS:  53996.191  i NULL   1.0540e+02   2.877e+01    0  29.195   0.85  22.8676 
OBS:  53996.191  u NULL   2.3969e+01   3.613e+01    0  25.666   0.85  25.3087 
OBS:  53996.191  g NULL   5.6028e+01   1.412e+01    0  29.099   0.85  23.1980 
OBS:  53998.160  g NULL   8.5590e+01   1.449e+01    0  29.081   0.85  22.4829 
OBS:  53998.160  i NULL   1.1405e+02   3.052e+01    0  29.070   0.85  22.2971 
OBS:  53998.160  z NULL   2.8954e+01   6.914e+01    0  28.626   0.85  22.3670 
OBS:  53998.160  u NULL  -4.1527e+01   3.369e+01    0  25.685   0.85  24.6915 
OBS:  53998.160  r NULL   1.1884e+02   2.065e+01    0  28.982   0.85  22.3282 
OBS:  54005.195  u NULL   1.2946e+02   6.074e+01    0  25.049   0.85  22.9085 
OBS:  54005.195  r NULL   3.7301e+02   2.153e+01    0  29.049   0.85  21.1875 
OBS:  54005.195  z NULL   2.9733e+02   1.067e+02    0  27.706   0.85  21.3821 
OBS:  54005.195  g NULL   3.1559e+02   1.610e+01    0  29.108   0.85  21.2102 
OBS:  54005.195  i NULL   3.7804e+02   3.049e+01    0  29.144   0.85  21.1594 
OBS:  54008.148  i NULL   3.7866e+02   3.357e+01    0  28.936   0.85  20.9914 
OBS:  54008.148  u NULL   3.8152e+01   4.412e+01    0  25.357   0.85  22.8557 
OBS:  54008.148  g NULL   3.8141e+02   2.099e+01    0  28.592   0.85  21.0507 
OBS:  54008.148  r NULL   4.4978e+02   2.651e+01    0  28.641   0.85  21.0042 
OBS:  54008.148  z NULL   2.5698e+02   7.552e+01    0  28.453   0.85  21.3246 
OBS:  54010.145  i NULL   3.8369e+02   3.287e+01    0  28.984   0.85  20.9275 
OBS:  54010.145  g NULL   3.8602e+02   2.850e+01    0  27.932   0.85  21.0156 
OBS:  54010.145  z NULL   3.8734e+02   9.903e+01    0  27.874   0.85  21.3370 
OBS:  54010.145  r NULL   3.9452e+02   2.717e+01    0  28.557   0.85  20.9380 
OBS:  54010.145  u NULL   4.9243e+01   5.642e+01    0  24.975   0.85  22.9329 
OBS:  54012.137  r NULL   4.0900e+02   4.323e+01    0  27.556   0.85  20.9087 
OBS:  54012.137  u NULL  -1.1131e+01   8.597e+01    0  24.210   0.85  23.0688 
OBS:  54012.137  i NULL   4.4218e+02   4.293e+01    0  28.418   0.85  20.8878 
OBS:  54020.141  r NULL   3.6873e+02   2.495e+01    0  28.728   0.85  21.0479 
OBS:  54020.141  u NULL  -1.2250e+01   3.397e+01    0  25.676   0.85  24.0460 
OBS:  54020.141  g NULL   2.6316e+02   1.499e+01    0  29.209   0.85  21.4476 
OBS:  54020.141  z NULL   3.5349e+02   1.119e+02    0  27.606   0.85  21.5943 
OBS:  54020.141  i NULL   3.6655e+02   3.316e+01    0  28.960   0.85  21.0274 
OBS:  54022.191  r NULL   3.2917e+02   2.421e+01    0  28.770   0.85  21.1246 
OBS:  54022.191  i NULL   4.0110e+02   4.958e+01    0  28.094   0.85  21.1470 
OBS:  54028.133  g NULL   1.3821e+02   1.605e+01    0  28.921   0.85  22.2160 
OBS:  54028.133  z NULL   1.5427e+02   1.245e+02    0  27.359   0.85  22.0320 
OBS:  54028.133  i NULL   2.2947e+02   3.761e+01    0  28.648   0.85  21.4516 
OBS:  54028.133  u NULL  -3.8872e+01   4.683e+01    0  25.135   0.85  25.0990 
OBS:  54028.133  r NULL   2.3290e+02   2.840e+01    0  28.364   0.85  21.4172 
OBS:  54030.133  z NULL   1.7454e+02   6.935e+01    0  28.631   0.85  22.0574 
OBS:  54030.133  i NULL   2.3784e+02   2.964e+01    0  29.168   0.85  21.5208 
OBS:  54030.133  u NULL   1.6906e+01   3.243e+01    0  25.835   0.85  25.3625 
OBS:  54030.133  g NULL   1.0751e+02   1.413e+01    0  29.162   0.85  22.4549 
OBS:  54030.133  r NULL   2.0569e+02   2.120e+01    0  28.982   0.85  21.5363 
OBS:  54032.125  i NULL   2.3255e+02   3.707e+01    0  28.681   0.85  21.5758 
OBS:  54032.125  u NULL   6.8440e+01   4.978e+01    0  25.231   0.85  25.4081 
OBS:  54032.125  g NULL   1.0331e+02   1.949e+01    0  28.458   0.85  22.6862 
OBS:  54032.125  z NULL   5.6171e+02   1.554e+02    0  26.912   0.85  22.0539 
OBS:  54032.125  r NULL   1.8282e+02   3.810e+01    0  27.696   0.85  21.6564 
OBS:  54034.191  i NULL   2.4802e+02   5.010e+01    0  28.030   0.85  21.6183 
OBS:  54034.191  g NULL   5.1269e+01   1.967e+01    0  28.375   0.85  22.9014 
OBS:  54034.191  z NULL   1.3663e+01   1.341e+02    0  27.187   0.85  22.0252 
OBS:  54034.191  r NULL   1.9627e+02   3.743e+01    0  27.742   0.85  21.7816 
OBS:  54037.113  i NULL   2.2286e+02   3.184e+01    0  29.008   0.85  21.6769 
OBS:  54037.113  u NULL   5.1082e+01   4.415e+01    0  25.406   0.85  25.3621 
OBS:  54037.113  g NULL   5.7234e+01   1.918e+01    0  28.440   0.85  23.1898 
OBS:  54037.113  z NULL  -2.3850e+01   1.038e+02    0  27.741   0.85  21.9883 
OBS:  54037.113  r NULL   1.7128e+02   2.444e+01    0  28.651   0.85  21.9637 
OBS:  54040.129  i NULL   2.3653e+02   4.208e+01    0  28.407   0.85  21.7474 
OBS:  54040.129  u NULL  -1.2424e+01   9.051e+01    0  24.127   0.85  25.6549 
OBS:  54040.129  g NULL  -8.2387e-01   4.149e+01    0  26.713   0.85  23.4416 
OBS:  54040.129  z NULL   1.6720e+02   9.505e+01    0  27.946   0.85  21.9777 
OBS:  54040.129  r NULL   1.3431e+02   4.174e+01    0  27.470   0.85  22.1512 
OBS:  54047.117  i NULL   2.1153e+02   6.442e+01    0  27.476   0.85  22.0207 
OBS:  54047.117  g NULL   5.4628e+00   5.171e+01    0  26.246   0.85  23.9013 
OBS:  54047.117  u NULL  -4.0555e+01   1.597e+02    0  23.380   0.85  25.7487 
OBS:  54047.117  z NULL   3.9862e+02   2.084e+02    0  26.260   0.85  22.1290 
OBS:  54050.113  i NULL   1.8538e+01   3.580e+01    0  28.697   0.85  22.1886 
OBS:  54050.113  g NULL   2.3645e+01   1.249e+01    0  29.326   0.85  24.0422 
OBS:  54050.113  u NULL  -2.2542e+01   4.440e+01    0  25.218   0.85  26.0034 
OBS:  54050.113  z NULL  -7.7694e+01   1.087e+02    0  27.641   0.85  22.2535 
OBS:  54050.113  r NULL   7.9087e+01   2.702e+01    0  28.374   0.85  22.7224 
OBS:  54053.117  i NULL   9.2524e+01   2.861e+01    0  29.203   0.85  22.3580 
OBS:  54053.117  g NULL   3.0588e+01   1.241e+01    0  29.347   0.85  24.1554 
OBS:  54053.117  u NULL  -6.5558e+00   4.428e+01    0  25.221   0.85  26.2893 
OBS:  54053.117  z NULL   5.8319e+01   1.041e+02    0  27.741   0.85  22.3953 
OBS:  54053.117  r NULL   6.3440e+01   2.083e+01    0  28.926   0.85  22.8597 
OBS:  54056.121  i NULL   5.2678e+01   4.009e+01    0  28.460   0.85  22.4999 
OBS:  54056.121  u NULL   1.1802e+02   8.964e+01    0  24.359   0.85  26.4417 
OBS:  54056.121  z NULL  -1.2047e+02   1.467e+02    0  26.990   0.85  22.5420 
OBS:  54056.121  r NULL   7.2141e+01   3.160e+01    0  28.031   0.85  22.9846 
OBS:  54056.121  g NULL   2.9656e+01   1.961e+01    0  28.357   0.85  24.2441 
OBS:  54057.090  u NULL  -5.6539e+00   4.085e+01    0  25.358   0.85  26.4577 
OBS:  54057.090  z NULL   1.7334e+01   1.252e+02    0  27.337   0.85  22.5907 
OBS:  54057.090  r NULL   1.0197e+02   1.891e+01    0  29.162   0.85  23.0222 
OBS:  54057.090  g NULL   2.5131e+01   1.166e+01    0  29.475   0.85  24.2675 
OBS:  54057.090  i NULL   1.2477e+02   3.490e+01    0  28.781   0.85  22.5393 
OBS:  54059.113  z NULL   2.2262e+02   1.722e+02    0  26.662   0.85  22.6946 
OBS:  54059.113  r NULL   6.6074e+01   2.064e+01    0  28.948   0.85  23.0963 
OBS:  54059.113  g NULL   3.8896e+01   3.045e+01    0  27.417   0.85  24.3087 
OBS:  54059.113  i NULL   6.9041e+01   2.819e+01    0  29.229   0.85  22.6113 
OBS:  54061.125  u NULL   4.6562e+01   8.234e+01    0  24.356   0.85  26.4506 
OBS:  54061.125  z NULL   2.6653e+02   1.282e+02    0  27.304   0.85  22.7967 
OBS:  54061.125  r NULL   6.8669e+01   2.590e+01    0  28.457   0.85  23.1629 
OBS:  54061.125  g NULL  -2.4317e+01   1.489e+01    0  28.913   0.85  24.3475 
OBS:  54061.125  i NULL   6.9904e+01   3.253e+01    0  28.919   0.85  22.6745 
OBS:  54062.117  u NULL   2.2847e+01   6.584e+01    0  24.649   0.85  26.4943 
OBS:  54062.117  z NULL  -1.3457e+02   1.321e+02    0  27.219   0.85  22.8446 
OBS:  54062.117  r NULL   1.7247e+01   3.334e+01    0  27.877   0.85  23.1926 
OBS:  54062.117  g NULL   2.1971e+01   1.525e+01    0  28.890   0.85  24.3689 
OBS:  54062.117  i NULL   9.0477e+01   4.946e+01    0  28.014   0.85  22.7047 
OBS:  54068.109  u NULL  -2.5505e+01   1.451e+02    0  23.509   0.85  27.5283 
OBS:  54068.109  z NULL  -1.0425e+02   1.305e+02    0  27.245   0.85  23.0924 
OBS:  54068.109  r NULL   2.0441e+01   4.537e+01    0  27.213   0.85  23.3291 
OBS:  54068.109  g NULL   6.0342e+01   4.121e+01    0  26.798   0.85  24.5226 
OBS:  54068.109  i NULL   1.4996e+02   5.050e+01    0  27.987   0.85  22.8727 
END_PHOTOMETRY: 

# ============================================= 
NSPECTRA:  0 

NVAR_SPEC: 6 
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR   SIM_GENFLAM SIM_GENMAG  

