SURVEY: SDSS(SDSS)   
SNID:   440   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.108550 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.107220 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54022.680 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  40  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.10855  
SIM_REDSHIFT_CMB:    0.10722  
SIM_REDSHIFT_HOST:   0.10855  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.4771  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0240   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.031  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.77  19.45  19.44  19.63  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54021.324219  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   3.4788e-04   
SIM_SALT2x1:   -0.6252   
SIM_SALT2c:     0.0264   
SIM_SALT2mB:   19.2814   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 75 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54005.246  u NULL  -4.0048e+01   3.020e+01    0  25.892   0.85  27.0332 
OBS:  54005.246  i NULL   5.3057e+01   3.546e+01    0  28.727   0.85  22.2682 
OBS:  54005.246  r NULL   1.2620e+02   2.439e+01    0  28.626   0.85  22.3084 
OBS:  54005.246  g NULL   8.8932e+01   1.559e+01    0  28.926   0.85  22.6343 
OBS:  54008.207  u NULL  -2.7712e+00   5.311e+01    0  24.921   0.85  22.4963 
OBS:  54008.207  g NULL   3.4893e+02   2.250e+01    0  28.411   0.85  21.1174 
OBS:  54008.207  i NULL   3.7601e+02   4.491e+01    0  28.302   0.85  20.9581 
OBS:  54010.199  u NULL   1.6573e+02   7.973e+01    0  24.644   0.85  21.6795 
OBS:  54010.199  g NULL   5.9081e+02   2.781e+01    0  28.162   0.85  20.5535 
OBS:  54010.199  i NULL   6.3833e+02   4.100e+01    0  28.569   0.85  20.4755 
OBS:  54010.199  r NULL   5.1654e+02   2.792e+01    0  28.570   0.85  20.5848 
OBS:  54012.191  r NULL   7.9460e+02   4.130e+01    0  27.857   0.85  20.1670 
OBS:  54012.191  i NULL   8.9459e+02   5.033e+01    0  28.186   0.85  20.1019 
OBS:  54012.191  u NULL   5.5670e+02   1.054e+02    0  24.706   0.85  21.0803 
OBS:  54012.191  g NULL   9.3858e+02   4.386e+01    0  27.414   0.85  20.1112 
OBS:  54020.199  r NULL   1.6374e+03   4.737e+01    0  27.911   0.85  19.4616 
OBS:  54020.199  u NULL   5.5097e+02   5.372e+01    0  26.044   0.85  20.6682 
OBS:  54020.199  i NULL   1.4071e+03   4.621e+01    0  28.497   0.85  19.6307 
OBS:  54020.199  g NULL   1.6942e+03   4.175e+01    0  27.934   0.85  19.4421 
OBS:  54022.246  r NULL   1.6475e+03   5.416e+01    0  27.618   0.85  19.4361 
OBS:  54022.246  i NULL   1.3709e+03   3.942e+01    0  28.842   0.85  19.6360 
OBS:  54022.246  g NULL   1.6729e+03   4.337e+01    0  27.838   0.85  19.4623 
OBS:  54022.246  u NULL   4.0389e+02   4.594e+01    0  26.142   0.85  20.8751 
OBS:  54028.188  i NULL   1.2496e+03   4.597e+01    0  28.470   0.85  19.7969 
OBS:  54028.188  u NULL   2.8698e+02   5.408e+01    0  25.600   0.85  21.6187 
OBS:  54028.188  g NULL   1.2724e+03   2.245e+01    0  29.116   0.85  19.7533 
OBS:  54028.188  r NULL   1.4537e+03   5.170e+01    0  27.649   0.85  19.5489 
OBS:  54030.191  i NULL   1.0435e+03   3.852e+01    0  28.810   0.85  19.9449 
OBS:  54030.191  u NULL   1.2382e+02   4.380e+01    0  25.623   0.85  21.8880 
OBS:  54030.191  g NULL   1.1144e+03   2.211e+01    0  29.047   0.85  19.9126 
OBS:  54030.191  r NULL   1.3701e+03   3.234e+01    0  28.657   0.85  19.6511 
OBS:  54035.266  i NULL   7.6910e+02   6.209e+01    0  27.699   0.85  20.2359 
OBS:  54035.266  u NULL   1.4471e+02   8.158e+01    0  24.562   0.85  22.6390 
OBS:  54035.266  g NULL   6.9764e+02   3.085e+01    0  28.016   0.85  20.4114 
OBS:  54035.266  r NULL   9.5616e+02   5.240e+01    0  27.413   0.85  19.9498 
OBS:  54037.172  i NULL   8.0229e+02   4.213e+01    0  28.552   0.85  20.2734 
OBS:  54037.172  g NULL   5.3493e+02   2.077e+01    0  28.754   0.85  20.6315 
OBS:  54037.172  u NULL   4.2290e+01   5.308e+01    0  25.057   0.85  22.9232 
OBS:  54037.172  r NULL   9.7150e+02   3.582e+01    0  28.250   0.85  20.0591 
OBS:  54040.188  i NULL   6.2035e+02   6.563e+01    0  27.541   0.85  20.3151 
OBS:  54040.188  g NULL   4.6781e+02   5.982e+01    0  26.403   0.85  20.9738 
OBS:  54040.188  u NULL   5.2149e+01   9.267e+01    0  24.202   0.85  23.1497 
OBS:  54040.188  r NULL   8.3388e+02   5.731e+01    0  27.163   0.85  20.2028 
OBS:  54050.172  g NULL   1.9468e+02   2.595e+01    0  27.943   0.85  21.8855 
OBS:  54050.172  i NULL   8.4018e+02   6.341e+01    0  27.667   0.85  20.4614 
OBS:  54050.172  u NULL  -6.6153e+01   7.414e+01    0  24.425   0.85  24.2039 
OBS:  54050.172  r NULL   5.7776e+02   4.927e+01    0  27.362   0.85  20.6741 
OBS:  54053.176  i NULL   4.9222e+02   4.602e+01    0  28.280   0.85  20.6170 
OBS:  54053.176  u NULL   1.3185e+01   4.087e+01    0  25.412   0.85  24.2449 
OBS:  54053.176  r NULL   4.4948e+02   3.331e+01    0  28.146   0.85  20.8430 
OBS:  54053.176  g NULL   1.4525e+02   2.344e+01    0  28.111   0.85  22.0926 
OBS:  54056.176  i NULL   5.0936e+02   6.608e+01    0  27.498   0.85  20.8036 
OBS:  54056.176  u NULL   4.3998e+01   4.348e+01    0  25.409   0.85  24.2593 
OBS:  54056.176  r NULL   3.9208e+02   5.074e+01    0  27.202   0.85  21.0310 
OBS:  54056.176  g NULL   1.4303e+02   2.495e+01    0  27.971   0.85  22.2552 
OBS:  54057.145  i NULL   5.5113e+02   4.447e+01    0  28.369   0.85  20.8665 
OBS:  54057.145  u NULL   1.1212e+01   3.295e+01    0  25.782   0.85  24.2678 
OBS:  54057.145  r NULL   3.4280e+02   2.864e+01    0  28.413   0.85  21.0907 
OBS:  54057.145  g NULL   1.2255e+02   1.606e+01    0  28.902   0.85  22.2996 
OBS:  54059.172  u NULL   7.5009e+01   6.415e+01    0  24.821   0.85  24.3061 
OBS:  54059.172  r NULL   2.8841e+02   3.028e+01    0  28.260   0.85  21.2012 
OBS:  54059.172  g NULL   1.1807e+02   2.111e+01    0  28.304   0.85  22.3817 
OBS:  54059.172  i NULL   3.8742e+02   4.569e+01    0  28.268   0.85  20.9920 
OBS:  54061.184  u NULL   5.7981e-01   4.405e+01    0  25.228   0.85  24.3684 
OBS:  54061.184  r NULL   3.3417e+02   3.051e+01    0  28.268   0.85  21.2919 
OBS:  54061.184  g NULL   6.2922e+01   1.999e+01    0  28.357   0.85  22.4492 
OBS:  54061.184  i NULL   3.4676e+02   4.606e+01    0  28.239   0.85  21.1093 
OBS:  54062.176  u NULL   1.5286e+01   4.670e+01    0  25.196   0.85  24.4078 
OBS:  54062.176  r NULL   3.1709e+02   3.646e+01    0  27.872   0.85  21.3294 
OBS:  54062.176  g NULL   9.9280e+01   2.228e+01    0  28.165   0.85  22.4773 
OBS:  54062.176  i NULL   2.6804e+02   5.189e+01    0  27.959   0.85  21.1643 
OBS:  54068.164  u NULL   1.4297e+02   2.613e+02    0  22.863   0.85  24.8582 
OBS:  54068.164  r NULL   3.5531e+02   7.055e+01    0  26.472   0.85  21.4963 
OBS:  54068.164  g NULL   1.9133e+01   3.994e+01    0  26.814   0.85  22.6077 
OBS:  54068.164  i NULL   2.6380e+02   8.900e+01    0  26.791   0.85  21.4608 
END_PHOTOMETRY: 

# ============================================= 
NSPECTRA:  0 

NVAR_SPEC: 6 
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR   SIM_GENFLAM SIM_GENMAG  

