SURVEY: SDSS(SDSS)   
SNID:   441   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.226167 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.224700 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54025.211 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  41  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.22617  
SIM_REDSHIFT_CMB:    0.22470  
SIM_REDSHIFT_HOST:   0.22617  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      40.2372  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0345   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.03  20.85  20.73  20.78  21.43  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54024.976562  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   1.0031e-04   
SIM_SALT2x1:    0.6068   
SIM_SALT2c:    -0.0502   
SIM_SALT2mB:   20.6316   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 79 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54005.332  u NULL   8.2627e-01   2.648e+01    0  26.140   0.85  27.0031 
OBS:  54005.332  r NULL   2.8303e+01   1.834e+01    0  29.178   0.85  23.9789 
OBS:  54005.332  i NULL   5.2583e+01   2.737e+01    0  29.289   0.85  23.9610 
OBS:  54005.332  g NULL   3.7949e+00   8.339e+00    0  30.175   0.85  24.6360 
OBS:  54005.332  z NULL   1.0290e+02   8.538e+01    0  28.173   0.85  24.6721 
OBS:  54008.293  r NULL   1.0903e+02   2.068e+01    0  28.973   0.85  22.5354 
OBS:  54008.293  z NULL   5.8681e+01   9.910e+01    0  27.847   0.85  22.9335 
OBS:  54008.293  i NULL   9.3114e+01   3.138e+01    0  29.003   0.85  22.6324 
OBS:  54008.293  u NULL   1.5824e+01   3.337e+01    0  25.779   0.85  23.9064 
OBS:  54008.293  g NULL   8.0348e+01   1.366e+01    0  29.203   0.85  22.7746 
OBS:  54010.285  i NULL   1.6103e+02   3.050e+01    0  29.085   0.85  22.0898 
OBS:  54010.285  r NULL   1.3151e+02   2.170e+01    0  28.883   0.85  21.9654 
OBS:  54010.285  u NULL   7.2779e+01   4.656e+01    0  25.365   0.85  23.1339 
OBS:  54010.285  g NULL   1.5704e+02   1.750e+01    0  28.754   0.85  22.1188 
OBS:  54010.285  z NULL   5.0126e+01   6.046e+01    0  28.919   0.85  22.3113 
OBS:  54012.281  r NULL   2.0073e+02   3.351e+01    0  27.986   0.85  21.5849 
OBS:  54012.281  u NULL   3.5000e+01   6.846e+01    0  24.626   0.85  22.6376 
OBS:  54012.281  i NULL   1.8258e+02   3.780e+01    0  28.625   0.85  21.7115 
OBS:  54012.281  z NULL   2.4517e+02   1.086e+02    0  27.664   0.85  21.9430 
OBS:  54012.281  g NULL   1.9005e+02   3.269e+01    0  27.440   0.85  21.6900 
OBS:  54020.285  u NULL   2.4032e+02   8.036e+01    0  24.758   0.85  21.7871 
OBS:  54020.285  r NULL   4.5194e+02   2.817e+01    0  28.513   0.85  20.8066 
OBS:  54020.285  i NULL   4.7734e+02   3.994e+01    0  28.584   0.85  20.8957 
OBS:  54020.285  g NULL   4.5542e+02   2.413e+01    0  28.357   0.85  20.8558 
OBS:  54020.285  z NULL   2.5597e+02   1.319e+02    0  27.242   0.85  21.3697 
OBS:  54024.367  r NULL   4.8035e+02   3.013e+01    0  28.381   0.85  20.7275 
OBS:  54024.367  u NULL   1.2310e+02   9.196e+01    0  24.334   0.85  21.9756 
OBS:  54024.367  g NULL   4.5380e+02   2.617e+01    0  28.179   0.85  20.8381 
OBS:  54024.367  i NULL   4.7920e+02   4.699e+01    0  28.231   0.85  20.7863 
OBS:  54024.367  z NULL   2.5621e+02   1.391e+02    0  27.127   0.85  21.4196 
OBS:  54030.277  r NULL   4.8677e+02   2.193e+01    0  29.079   0.85  20.7824 
OBS:  54030.277  i NULL   5.2216e+02   3.092e+01    0  29.153   0.85  20.8102 
OBS:  54030.277  u NULL   8.0005e+01   4.722e+01    0  25.362   0.85  22.5741 
OBS:  54030.277  g NULL   3.5201e+02   1.415e+01    0  29.429   0.85  21.0572 
OBS:  54030.277  z NULL   2.3624e+02   9.560e+01    0  27.939   0.85  21.5073 
OBS:  54035.355  i NULL   3.9601e+02   4.376e+01    0  28.363   0.85  21.0226 
