SURVEY: SDSS(SDSS)   
SNID:   443   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.226172 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.224700 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54025.562 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  43  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.22617  
SIM_REDSHIFT_CMB:    0.22470  
SIM_REDSHIFT_HOST:   0.22617  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      40.2372  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0305   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.116  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   26.35  22.90  22.30  21.92  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54024.976562  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   2.0736e-05   
SIM_SALT2x1:   -1.6501   
SIM_SALT2c:     0.4000   
SIM_SALT2mB:   22.3432   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -16.02   days 
SIM_TRESTMAX:    35.28   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 63 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54005.332  u NULL  -1.2436e+01   2.642e+01    0  26.140   0.85  28.5751 
OBS:  54005.332  r NULL  -7.6068e+00   1.818e+01    0  29.178   0.85  99.0000 
OBS:  54005.332  i NULL  -1.1927e+01   2.719e+01    0  29.289   0.85  99.0000 
OBS:  54005.332  g NULL   5.3671e-01   8.322e+00    0  30.175   0.85  99.0000 
OBS:  54008.293  r NULL   1.4389e+00   1.999e+01    0  28.973   0.85  25.4581 
OBS:  54008.293  i NULL   7.8630e+00   3.104e+01    0  29.003   0.85  24.8809 
OBS:  54008.293  u NULL   5.3019e+01   3.599e+01    0  25.779   0.85  99.0000 
OBS:  54008.293  g NULL  -2.3140e+00   1.303e+01    0  29.203   0.85  27.3929 
OBS:  54010.285  i NULL   1.2948e+01   2.992e+01    0  29.085   0.85  23.9369 
OBS:  54010.285  r NULL   3.3757e+01   2.105e+01    0  28.883   0.85  24.5259 
OBS:  54010.285  u NULL  -5.0479e+01   4.059e+01    0  25.365   0.85  99.0000 
OBS:  54010.285  g NULL   1.4133e+01   1.615e+01    0  28.754   0.85  25.3095 
OBS:  54012.281  r NULL   4.5675e+01   3.198e+01    0  27.986   0.85  23.8580 
OBS:  54012.281  u NULL   5.9417e+01   7.093e+01    0  24.626   0.85  99.0000 
OBS:  54012.281  i NULL   1.4467e+01   3.699e+01    0  28.625   0.85  23.3075 
OBS:  54012.281  g NULL  -1.5174e+01   2.945e+01    0  27.440   0.85  24.4340 
OBS:  54020.285  u NULL   1.2060e+00   5.890e+01    0  24.758   0.85  26.1007 
OBS:  54020.285  r NULL   9.2318e+01   2.545e+01    0  28.513   0.85  22.4783 
OBS:  54020.285  i NULL   1.6573e+02   3.843e+01    0  28.584   0.85  22.0687 
OBS:  54020.285  g NULL   4.7176e+01   1.981e+01    0  28.357   0.85  22.9866 
OBS:  54024.367  r NULL   1.4055e+02   2.742e+01    0  28.381   0.85  22.3029 
OBS:  54024.367  u NULL   7.6913e+01   8.720e+01    0  24.334   0.85  26.3015 
OBS:  54024.367  g NULL   1.0902e+02   2.228e+01    0  28.179   0.85  22.8908 
OBS:  54024.367  i NULL   2.3878e+02   4.561e+01    0  28.231   0.85  21.9290 
OBS:  54030.277  r NULL   1.3430e+02   1.985e+01    0  29.079   0.85  22.3650 
OBS:  54030.277  i NULL   1.0544e+02   2.935e+01    0  29.153   0.85  21.9701 
OBS:  54030.277  u NULL   5.1106e+01   4.497e+01    0  25.362   0.85  27.0843 
OBS:  54030.277  g NULL   4.2379e+01   1.203e+01    0  29.429   0.85  23.1575 
OBS:  54035.355  i NULL   1.6085e+02   4.250e+01    0  28.363   0.85  22.2633 
OBS:  54035.355  g NULL   1.0490e+01   1.742e+01    0  28.586   0.85  23.6617 
OBS:  54035.355  u NULL  -1.1876e+01   5.495e+01    0  24.884   0.85  27.7144 
OBS:  54035.355  r NULL   9.3594e+01   3.148e+01    0  28.052   0.85  22.5599 
OBS:  54037.258  i NULL   8.7809e+01   3.133e+01    0  29.004   0.85  22.3928 
OBS:  54037.258  g NULL   4.7705e+01   1.347e+01    0  29.190   0.85  23.8942 
