SURVEY: SDSS(SDSS)   
SNID:   461   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.183330 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.181910 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54040.637 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  61  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.18333  
SIM_REDSHIFT_CMB:    0.18191  
SIM_REDSHIFT_HOST:   0.18333  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.7254  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0324   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.158  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.16  20.25  20.33  20.49  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54041.328125  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   1.8638e-04   
SIM_SALT2x1:    1.6139   
SIM_SALT2c:    -0.0566   
SIM_SALT2mB:   19.9590   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 69 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54020.434  u NULL   3.2552e+01   7.274e+01    0  24.527   0.85  99.0000 
OBS:  54020.434  i NULL   3.6059e+01   4.244e+01    0  28.333   0.85  24.3643 
OBS:  54020.434  g NULL  -2.7360e+01   1.952e+01    0  28.327   0.85  24.5986 
OBS:  54020.434  r NULL  -1.5772e+01   3.088e+01    0  28.028   0.85  24.2668 
OBS:  54024.484  u NULL   4.6789e+01   6.377e+01    0  24.754   0.85  23.5036 
OBS:  54024.484  i NULL   1.9334e+02   4.731e+01    0  28.139   0.85  22.2094 
OBS:  54024.484  g NULL   1.2786e+02   2.315e+01    0  28.115   0.85  22.1243 
OBS:  54024.484  r NULL   1.1893e+02   3.597e+01    0  27.779   0.85  22.0956 
OBS:  54028.473  g NULL   4.2648e+02   1.850e+01    0  28.909   0.85  20.9959 
OBS:  54028.473  i NULL   3.6682e+02   4.225e+01    0  28.432   0.85  21.2429 
OBS:  54028.473  u NULL   2.6353e+02   7.479e+01    0  24.929   0.85  21.6659 
OBS:  54028.473  r NULL   3.8378e+02   2.566e+01    0  28.675   0.85  21.1162 
OBS:  54030.426  i NULL   4.1585e+02   3.825e+01    0  28.661   0.85  20.9833 
OBS:  54030.426  g NULL   5.3055e+02   1.901e+01    0  28.944   0.85  20.7051 
OBS:  54030.426  u NULL   3.8968e+02   5.813e+01    0  25.632   0.85  21.3649 
OBS:  54030.426  r NULL   4.4920e+02   2.525e+01    0  28.750   0.85  20.8503 
OBS:  54035.473  i NULL   5.3118e+02   4.078e+01    0  28.553   0.85  20.5927 
OBS:  54035.473  u NULL   3.8243e+02   7.432e+01    0  25.142   0.85  21.0028 
OBS:  54035.473  g NULL   7.6634e+02   2.125e+01    0  28.891   0.85  20.2783 
OBS:  54035.473  r NULL   6.3456e+02   3.082e+01    0  28.415   0.85  20.4402 
OBS:  54037.375  u NULL   4.0135e+02   5.456e+01    0  25.785   0.85  20.9783 
OBS:  54037.375  g NULL   7.8514e+02   1.775e+01    0  29.312   0.85  20.2365 
OBS:  54037.375  r NULL   7.1466e+02   2.403e+01    0  29.003   0.85  20.3839 
OBS:  54037.375  i NULL   6.0169e+02   3.312e+01    0  29.026   0.85  20.5465 
OBS:  54040.391  g NULL   8.0194e+02   2.080e+01    0  28.966   0.85  20.2371 
OBS:  54040.391  u NULL   3.7716e+02   5.293e+01    0  25.801   0.85  21.0803 
OBS:  54040.391  r NULL   7.6365e+02   2.454e+01    0  28.982   0.85  20.3367 
OBS:  54040.391  i NULL   6.2305e+02   3.714e+01    0  28.781   0.85  20.4996 
OBS:  54041.426  g NULL   8.5081e+02   2.050e+01    0  29.030   0.85  20.2540 
OBS:  54041.426  u NULL   4.1534e+02   6.706e+01    0  25.399   0.85  21.1658 
OBS:  54041.426  r NULL   7.0068e+02   2.574e+01    0  28.847   0.85  20.3293 
OBS:  54041.426  i NULL   7.1924e+02   3.617e+01    0  28.863   0.85  20.4863 
OBS:  54047.422  u NULL  -4.1920e+01   1.664e+02    0  23.335   0.85  21.7082 
OBS:  54047.422  r NULL   6.1509e+02   5.154e+01    0  27.287   0.85  20.3996 
OBS:  54047.422  i NULL   6.0104e+02   5.560e+01    0  27.897   0.85  20.5079 
OBS:  54047.422  g NULL   6.6260e+02   5.640e+01    0  26.683   0.85  20.4552 
OBS:  54049.418  u NULL  -3.3121e+01   1.156e+02    0  23.808   0.85  21.9310 
OBS:  54049.418  r NULL   6.3884e+02   3.734e+01    0  27.999   0.85  20.4539 
OBS:  54049.418  g NULL   6.1405e+02   3.335e+01    0  27.784   0.85  20.5514 
OBS:  54049.418  i NULL   5.7566e+02   4.524e+01    0  28.338   0.85  20.5746 
