SURVEY: SDSS(SDSS)   
SNID:   471   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.179415 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.178000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54040.656 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  71  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.17942  
SIM_REDSHIFT_CMB:    0.17800  
SIM_REDSHIFT_HOST:   0.17942  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.6732  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0190   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.123  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   24.71  21.78  21.26  21.00  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54041.027344  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   4.2236e-05   
SIM_SALT2x1:   -0.1611   
SIM_SALT2c:     0.4000   
SIM_SALT2mB:   21.5708   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -17.52   days 
SIM_TRESTMAX:    23.15   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 57 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54020.367  r NULL   8.2811e+00   2.368e+01    0  28.611   0.85  26.1462 
OBS:  54024.449  i NULL   1.0244e+02   3.906e+01    0  28.530   0.85  23.2436 
OBS:  54024.449  u NULL   1.2545e+01   3.461e+01    0  25.687   0.85  27.3788 
OBS:  54024.449  r NULL   1.3261e+01   2.633e+01    0  28.385   0.85  23.5717 
OBS:  54024.449  g NULL   4.0289e+01   1.729e+01    0  28.641   0.85  24.2781 
OBS:  54028.438  i NULL   1.3668e+02   4.641e+01    0  28.166   0.85  22.0499 
OBS:  54028.438  u NULL  -4.1664e+00   5.485e+01    0  24.886   0.85  25.8298 
OBS:  54028.438  g NULL   1.0817e+02   1.801e+01    0  28.635   0.85  22.9000 
OBS:  54030.395  i NULL   1.7745e+02   3.879e+01    0  28.566   0.85  21.6918 
OBS:  54030.395  u NULL   6.6519e+01   3.627e+01    0  25.800   0.85  25.2819 
OBS:  54030.395  g NULL   8.8646e+01   1.358e+01    0  29.225   0.85  22.5031 
OBS:  54030.395  r NULL   1.8574e+02   2.620e+01    0  28.509   0.85  22.0289 
OBS:  54035.438  i NULL   4.1617e+02   4.976e+01    0  28.090   0.85  21.1438 
OBS:  54035.438  u NULL   1.9771e+00   7.396e+01    0  24.431   0.85  24.5495 
OBS:  54035.438  g NULL   1.7255e+02   1.829e+01    0  28.679   0.85  21.8955 
OBS:  54035.438  r NULL   1.9543e+02   3.042e+01    0  28.191   0.85  21.4435 
OBS:  54037.344  i NULL   3.4433e+02   3.650e+01    0  28.745   0.85  21.0747 
OBS:  54037.344  g NULL   1.7684e+02   1.437e+01    0  29.208   0.85  21.8120 
OBS:  54037.344  u NULL   6.2968e+00   3.232e+01    0  25.791   0.85  24.5282 
OBS:  54037.344  r NULL   2.8531e+02   2.201e+01    0  28.951   0.85  21.3468 
OBS:  54040.359  i NULL   4.1379e+02   4.643e+01    0  28.239   0.85  21.0082 
OBS:  54040.359  g NULL   2.0014e+02   1.989e+01    0  28.527   0.85  21.7765 
OBS:  54040.359  u NULL  -4.4997e+01   5.030e+01    0  25.006   0.85  24.6498 
OBS:  54040.359  r NULL   3.3351e+02   3.082e+01    0  28.248   0.85  21.2670 
OBS:  54047.387  i NULL   2.3511e+02   9.465e+01    0  26.649   0.85  21.0819 
OBS:  54047.387  g NULL   1.2041e+02   7.042e+01    0  25.737   0.85  22.0538 
OBS:  54047.387  r NULL   2.8175e+02   7.185e+01    0  26.391   0.85  21.3423 
OBS:  54049.383  g NULL   1.1750e+02   2.805e+01    0  27.692   0.85  22.1959 
OBS:  54049.383  i NULL   3.4109e+02   4.887e+01    0  28.110   0.85  21.1786 
OBS:  54049.383  u NULL  -2.0383e+02   7.455e+01    0  24.419   0.85  25.6591 
OBS:  54049.383  r NULL   1.7985e+02   3.290e+01    0  28.013   0.85  21.4187 
OBS:  54053.363  u NULL   1.7244e+01   4.150e+01    0  25.404   0.85  26.1588 
OBS:  54053.363  r NULL   1.6291e+02   2.575e+01    0  28.534   0.85  21.6230 
OBS:  54053.363  g NULL   1.1674e+02   1.865e+01    0  28.571   0.85  22.5508 
OBS:  54056.352  i NULL   2.2666e+02   4.276e+01    0  28.369   0.85  21.5575 
OBS:  54056.352  u NULL   1.7527e+01   4.225e+01    0  25.361   0.85  26.4912 
OBS:  54056.352  r NULL   2.0971e+02   2.721e+01    0  28.444   0.85  21.7939 
OBS:  54056.352  g NULL   7.3296e+01   1.516e+01    0  28.967   0.85  22.8701 
OBS:  54059.344  i NULL   2.4700e+02   4.445e+01    0  28.290   0.85  21.6501 
OBS:  54059.344  u NULL  -9.1022e+00   4.131e+01    0  25.346   0.85  26.7054 
OBS:  54059.344  r NULL   1.3758e+02   2.858e+01    0  28.290   0.85  21.9583 
OBS:  54059.344  g NULL   6.3074e+01   1.502e+01    0  28.974   0.85  23.2201 
OBS:  54061.355  i NULL   3.1830e+02   5.433e+01    0  27.872   0.85  21.6888 
OBS:  54061.355  u NULL   8.4635e+01   1.055e+02    0  24.068   0.85  26.7270 
OBS:  54061.355  r NULL   1.1779e+02   3.690e+01    0  27.725   0.85  22.0488 
OBS:  54061.355  g NULL   2.6548e+01   1.936e+01    0  28.380   0.85  23.4405 
OBS:  54062.348  u NULL  -1.2024e+01   5.219e+01    0  24.966   0.85  26.7412 
OBS:  54062.348  r NULL   1.4020e+02   2.510e+01    0  28.572   0.85  22.0903 
OBS:  54062.348  g NULL   2.9313e+01   1.436e+01    0  29.030   0.85  23.5436 
OBS:  54062.348  i NULL   2.2711e+02   3.960e+01    0  28.534   0.85  21.7043 
OBS:  54064.344  u NULL   3.6319e+01   4.100e+01    0  25.483   0.85  26.8902 
OBS:  54064.344  r NULL   1.6538e+02   2.560e+01    0  28.546   0.85  22.1778 
OBS:  54064.344  g NULL   3.7615e+01   1.519e+01    0  28.919   0.85  23.7464 
OBS:  54064.344  i NULL   1.8676e+02   3.836e+01    0  28.594   0.85  21.7379 
OBS:  54068.328  u NULL  -1.9734e+02   8.076e+01    0  24.305   0.85  27.5850 
OBS:  54068.328  g NULL   8.2014e+01   2.304e+01    0  28.071   0.85  24.0888 
OBS:  54068.328  i NULL   2.7547e+02   7.657e+01    0  27.118   0.85  21.8192 
END_PHOTOMETRY: 

# ============================================= 
NSPECTRA:  0 

NVAR_SPEC: 6 
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR   SIM_GENFLAM SIM_GENMAG  

