SURVEY: SDSS(SDSS)   
SNID:   475   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.125351 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.124000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54048.113 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  75  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.12535  
SIM_REDSHIFT_CMB:    0.12400  
SIM_REDSHIFT_HOST:   0.12535  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.8163  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0289   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.060  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.75  19.47  19.51  19.75  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54049.140625  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   3.2013e-04   
SIM_SALT2x1:   -0.3017   
SIM_SALT2c:    -0.0393   
SIM_SALT2mB:   19.3717   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 49 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54028.371  i NULL   2.6238e+00   2.771e+01    0  29.249   0.85  25.7750 
OBS:  54028.371  u NULL   3.3397e+01   5.036e+01    0  25.124   0.85  99.0000 
OBS:  54028.371  g NULL   1.0849e+01   1.333e+01    0  29.167   0.85  27.1414 
OBS:  54028.371  r NULL   2.8026e+00   1.853e+01    0  29.139   0.85  25.6002 
OBS:  54030.297  i NULL   1.6431e+01   2.173e+01    0  29.779   0.85  24.0442 
OBS:  54030.297  u NULL  -4.4032e+01   2.954e+01    0  25.937   0.85  99.0000 
OBS:  54030.297  g NULL   1.4324e+01   1.308e+01    0  29.214   0.85  25.2052 
OBS:  54030.297  r NULL   5.2608e+01   1.487e+01    0  29.649   0.85  23.8864 
OBS:  54035.371  i NULL   3.3898e+02   4.397e+01    0  28.338   0.85  21.1293 
OBS:  54035.371  u NULL   5.5204e+01   5.100e+01    0  25.153   0.85  22.5285 
OBS:  54035.371  g NULL   3.5741e+02   2.155e+01    0  28.513   0.85  21.1547 
OBS:  54035.371  r NULL   3.2959e+02   3.351e+01    0  28.064   0.85  21.1657 
OBS:  54037.277  i NULL   5.4906e+02   3.604e+01    0  28.827   0.85  20.6663 
OBS:  54037.277  g NULL   6.0912e+02   1.886e+01    0  29.026   0.85  20.6199 
OBS:  54037.277  u NULL   1.3709e+02   4.792e+01    0  25.492   0.85  21.7926 
OBS:  54037.277  r NULL   5.0612e+02   2.683e+01    0  28.650   0.85  20.6833 
OBS:  54040.293  i NULL   8.1464e+02   5.612e+01    0  27.931   0.85  20.1444 
OBS:  54040.293  g NULL   1.0684e+03   4.203e+01    0  27.586   0.85  20.0098 
OBS:  54040.293  r NULL   9.4157e+02   4.278e+01    0  27.848   0.85  20.1081 
OBS:  54047.320  i NULL   1.1844e+03   8.701e+01    0  27.061   0.85  19.7650 
OBS:  54047.320  g NULL   1.5872e+03   7.771e+01    0  26.516   0.85  19.4710 
OBS:  54047.320  u NULL   8.4412e+02   3.135e+02    0  23.015   0.85  20.6099 
OBS:  54047.320  r NULL   1.5754e+03   1.069e+02    0  26.109   0.85  19.5405 
OBS:  54049.316  g NULL   1.6541e+03   3.895e+01    0  28.070   0.85  19.4743 
OBS:  54049.316  i NULL   1.3051e+03   4.803e+01    0  28.387   0.85  19.7481 
OBS:  54049.316  u NULL   3.2648e+02   1.125e+02    0  24.308   0.85  20.7697 
OBS:  54049.316  r NULL   1.5546e+03   4.129e+01    0  28.185   0.85  19.5062 
OBS:  54053.281  i NULL   1.2493e+03   3.933e+01    0  28.815   0.85  19.7864 
OBS:  54053.281  u NULL   3.1305e+02   5.528e+01    0  25.605   0.85  21.2343 
OBS:  54053.281  r NULL   1.5611e+03   2.990e+01    0  28.917   0.85  19.5315 
OBS:  54053.281  g NULL   1.4513e+03   2.450e+01    0  29.024   0.85  19.6068 
OBS:  54056.281  i NULL   1.0893e+03   5.920e+01    0  27.879   0.85  19.9065 
OBS:  54056.281  r NULL   1.4566e+03   5.611e+01    0  27.466   0.85  19.6210 
OBS:  54056.281  g NULL   1.1494e+03   4.136e+01    0  27.673   0.85  19.7845 
OBS:  54059.277  i NULL   9.2549e+02   5.698e+01    0  27.923   0.85  20.1219 
OBS:  54059.277  u NULL   1.5957e+02   8.779e+01    0  24.466   0.85  22.0124 
OBS:  54059.277  r NULL   1.2757e+03   4.110e+01    0  28.082   0.85  19.7726 
OBS:  54059.277  g NULL   9.7797e+02   2.735e+01    0  28.479   0.85  20.0217 
OBS:  54061.289  r NULL   1.1620e+03   3.828e+01    0  28.189   0.85  19.8855 
OBS:  54061.289  g NULL   8.3959e+02   2.477e+01    0  28.604   0.85  20.2043 
OBS:  54061.289  i NULL   7.8679e+02   4.576e+01    0  28.367   0.85  20.2484 
OBS:  54062.281  u NULL   8.5631e+00   5.501e+01    0  24.900   0.85  22.4250 
OBS:  54062.281  r NULL   1.0393e+03   3.134e+01    0  28.580   0.85  19.9432 
OBS:  54062.281  g NULL   7.4125e+02   2.114e+01    0  28.884   0.85  20.3028 
