SURVEY: SDSS(SDSS)   
SNID:   489   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.140654 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.139290 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54351.418 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  89  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.14065  
SIM_REDSHIFT_CMB:    0.13929  
SIM_REDSHIFT_HOST:   0.14065  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.0897  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0324   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.87  19.51  19.56  19.88  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54351.527344  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   3.2682e-04   
SIM_SALT2x1:    0.6205   
SIM_SALT2c:    -0.0931   
SIM_SALT2mB:   19.3492   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 67 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54346.172  u NULL   5.6100e+02   9.401e+01    0  24.923   0.85  20.7144 
OBS:  54346.172  g NULL   1.5274e+03   3.926e+01    0  27.988   0.85  19.5904 
OBS:  54346.172  r NULL   1.3087e+03   3.200e+01    0  28.652   0.85  19.7276 
OBS:  54346.172  i NULL   9.9754e+02   4.716e+01    0  28.355   0.85  19.9547 
OBS:  54356.211  g NULL   1.3481e+03   2.955e+01    0  28.536   0.85  19.6493 
OBS:  54356.211  i NULL   1.0557e+03   3.754e+01    0  28.872   0.85  19.8951 
OBS:  54356.211  r NULL   1.3965e+03   3.016e+01    0  28.830   0.85  19.5979 
OBS:  54356.211  u NULL   2.7764e+02   4.794e+01    0  25.823   0.85  21.3490 
OBS:  54358.156  g NULL   1.2921e+03   4.490e+01    0  27.568   0.85  19.7441 
OBS:  54358.156  i NULL   1.0849e+03   4.264e+01    0  28.595   0.85  19.9576 
OBS:  54358.156  r NULL   1.3904e+03   3.469e+01    0  28.508   0.85  19.6492 
OBS:  54358.156  u NULL   2.8662e+02   6.856e+01    0  25.139   0.85  21.5800 
OBS:  54366.148  g NULL   7.0966e+02   5.922e+01    0  26.613   0.85  20.3516 
OBS:  54366.148  i NULL   7.6628e+02   6.141e+01    0  27.722   0.85  20.4236 
OBS:  54366.148  u NULL   2.9943e+02   1.605e+02    0  23.692   0.85  22.5306 
OBS:  54366.148  r NULL   9.3388e+02   5.731e+01    0  27.206   0.85  20.0304 
OBS:  54373.188  i NULL   5.8047e+02   4.204e+01    0  28.500   0.85  20.5363 
OBS:  54373.188  u NULL   3.4524e+01   7.637e+01    0  24.449   0.85  23.3059 
OBS:  54373.188  r NULL   6.9049e+02   3.055e+01    0  28.463   0.85  20.3683 
OBS:  54373.188  g NULL   3.3892e+02   3.104e+01    0  27.704   0.85  21.0704 
OBS:  54381.199  r NULL   5.7324e+02   3.306e+01    0  28.227   0.85  20.6665 
OBS:  54381.199  g NULL   1.8025e+02   1.951e+01    0  28.548   0.85  21.7707 
OBS:  54381.199  u NULL   1.2499e+02   6.945e+01    0  24.805   0.85  24.1814 
OBS:  54381.199  i NULL   5.5567e+02   5.038e+01    0  28.099   0.85  20.6134 
OBS:  54382.199  i NULL   4.7208e+02   4.857e+01    0  28.158   0.85  20.6313 
OBS:  54382.199  r NULL   5.3946e+02   4.506e+01    0  27.538   0.85  20.7069 
OBS:  54382.199  u NULL   1.2234e+02   7.900e+01    0  24.570   0.85  24.1723 
OBS:  54382.199  g NULL   2.1172e+02   3.604e+01    0  27.254   0.85  21.8433 
OBS:  54383.203  r NULL   4.8980e+02   2.491e+01    0  28.802   0.85  20.7501 
OBS:  54383.203  u NULL   1.1067e+02   4.387e+01    0  25.595   0.85  24.2133 
OBS:  54383.203  i NULL   6.0465e+02   3.712e+01    0  28.777   0.85  20.6571 
OBS:  54383.203  g NULL   1.9027e+02   1.614e+01    0  28.968   0.85  21.9138 
OBS:  54386.199  r NULL   4.3110e+02   2.428e+01    0  28.824   0.85  20.8951 
OBS:  54386.199  i NULL   5.2532e+02   3.294e+01    0  29.016   0.85  20.7772 
OBS:  54386.199  g NULL   1.3415e+02   1.422e+01    0  29.182   0.85  22.1101 
OBS:  54388.203  r NULL   3.8848e+02   2.708e+01    0  28.561   0.85  21.0028 
OBS:  54388.203  u NULL  -8.5537e+00   4.240e+01    0  25.293   0.85  25.2836 
OBS:  54388.203  g NULL   9.5882e+01   1.690e+01    0  28.760   0.85  22.2282 
OBS:  54388.203  i NULL   4.0497e+02   3.824e+01    0  28.660   0.85  20.8858 
OBS:  54393.191  r NULL   3.0247e+02   2.512e+01    0  28.674   0.85  21.2547 
OBS:  54393.191  i NULL   3.2304e+02   3.461e+01    0  28.855   0.85  21.1542 
OBS:  54393.191  u NULL  -4.1408e+01   4.540e+01    0  25.194   0.85  25.0873 
OBS:  54393.191  g NULL   6.3211e+01   2.332e+01    0  28.024   0.85  22.4452 
OBS:  54396.121  i NULL   1.6416e+02   5.552e+01    0  27.785   0.85  21.3095 
OBS:  54396.121  u NULL   6.3059e+01   1.266e+02    0  23.755   0.85  24.3624 
OBS:  54396.121  g NULL   8.2449e+01   4.434e+01    0  26.668   0.85  22.5197 
OBS:  54396.121  r NULL   3.5889e+02   5.496e+01    0  27.007   0.85  21.3905 
OBS:  54403.117  i NULL   2.1766e+02   3.255e+01    0  28.958   0.85  21.6256 
OBS:  54403.117  g NULL   8.9623e+01   1.354e+01    0  29.234   0.85  22.6725 
OBS:  54403.117  u NULL   2.7418e+00   2.942e+01    0  25.949   0.85  24.3706 
OBS:  54403.117  r NULL   2.2359e+02   2.172e+01    0  28.940   0.85  21.6302 
OBS:  54406.109  i NULL   1.9823e+02   3.764e+01    0  28.638   0.85  21.7275 
OBS:  54406.109  g NULL   8.3664e+01   1.415e+01    0  29.130   0.85  22.7359 
OBS:  54406.109  u NULL  -5.6408e+01   3.750e+01    0  25.499   0.85  25.0363 
OBS:  54406.109  r NULL   1.9146e+02   2.438e+01    0  28.670   0.85  21.6921 
OBS:  54412.113  g NULL   6.2183e+01   1.558e+01    0  28.895   0.85  22.8572 
OBS:  54412.113  i NULL   1.7351e+02   3.578e+01    0  28.740   0.85  21.9015 
OBS:  54412.113  u NULL  -1.5208e+01   3.515e+01    0  25.616   0.85  34.8176 
OBS:  54412.113  r NULL   1.9308e+02   2.294e+01    0  28.802   0.85  21.7833 
OBS:  54415.148  g NULL   8.2352e+01   1.466e+01    0  29.052   0.85  22.9197 
OBS:  54415.148  i NULL   1.7026e+02   3.432e+01    0  28.830   0.85  21.9926 
OBS:  54415.148  u NULL   2.2901e+01   5.985e+01    0  24.808   0.85  41.4977 
OBS:  54415.148  r NULL   1.8246e+02   2.283e+01    0  28.806   0.85  21.8312 
OBS:  54416.109  i NULL   1.4956e+02   4.329e+01    0  28.320   0.85  22.0215 
OBS:  54416.109  u NULL   6.2784e+01   5.982e+01    0  24.907   0.85  43.6129 
OBS:  54416.109  r NULL   1.7680e+02   3.367e+01    0  27.960   0.85  21.8464 
OBS:  54416.109  g NULL   8.3198e+01   1.671e+01    0  28.767   0.85  22.9395 
END_PHOTOMETRY: 

# ============================================= 
NSPECTRA:  0 

NVAR_SPEC: 6 
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR   SIM_GENFLAM SIM_GENMAG  

