SURVEY: SDSS(SDSS)   
SNID:   507   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.214457 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.213000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54380.715 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  107  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.21446  
SIM_REDSHIFT_CMB:    0.21300  
SIM_REDSHIFT_HOST:   0.21446  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      40.1069  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0274   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.015  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.08  21.09  20.96  20.91  21.42  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54381.425781  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   8.4162e-05   
SIM_SALT2x1:   -0.1818   
SIM_SALT2c:     0.0177   
SIM_SALT2mB:   20.8222   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 166 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54357.414  r NULL  -1.8777e+01   1.382e+01    0  29.772   0.85  31.6219 
OBS:  54357.414  u NULL  -2.1298e+01   2.911e+01    0  25.953   0.85  33.5158 
OBS:  54357.414  z NULL   9.4871e+01   6.330e+01    0  28.823   0.85  32.7240 
OBS:  54357.414  i NULL   2.4245e+01   2.232e+01    0  29.724   0.85  31.5088 
OBS:  54357.414  g NULL  -3.1478e+00   9.513e+00    0  29.883   0.85  99.0000 
OBS:  54358.414  g NULL   6.6569e+00   9.975e+00    0  29.789   0.85  99.0000 
OBS:  54358.414  r NULL  -3.6456e+00   1.498e+01    0  29.598   0.85  27.8752 
OBS:  54358.414  z NULL  -3.2652e+01   7.249e+01    0  28.521   0.85  28.9774 
OBS:  54358.414  u NULL  -4.4167e+01   3.114e+01    0  25.837   0.85  29.7691 
OBS:  54358.414  i NULL  -3.7482e+01   2.381e+01    0  29.577   0.85  27.7621 
OBS:  54362.465  r NULL   1.6427e+01   1.419e+01    0  29.727   0.85  24.3600 
OBS:  54362.465  z NULL  -1.5398e+02   6.241e+01    0  28.846   0.85  24.8810 
OBS:  54362.465  i NULL  -9.0908e+00   2.303e+01    0  29.649   0.85  24.2716 
OBS:  54362.465  u NULL  -2.5220e+01   2.879e+01    0  25.986   0.85  26.4290 
OBS:  54362.465  g NULL  -7.9078e+00   8.539e+00    0  30.118   0.85  25.5648 
OBS:  54365.445  r NULL   6.6293e+01   1.858e+01    0  29.177   0.85  22.8713 
OBS:  54365.445  g NULL   5.8872e+01   1.211e+01    0  29.437   0.85  23.1479 
OBS:  54365.445  u NULL   5.7397e+01   2.936e+01    0  26.183   0.85  25.1916 
OBS:  54365.445  i NULL   7.3367e+01   2.972e+01    0  29.116   0.85  22.8122 
OBS:  54365.445  z NULL  -2.0731e+01   5.921e+01    0  28.960   0.85  22.9666 
OBS:  54376.461  g NULL   3.7202e+02   2.541e+01    0  28.166   0.85  21.1348 
OBS:  54376.461  r NULL   3.7907e+02   2.390e+01    0  28.826   0.85  21.0869 
OBS:  54376.461  z NULL   2.2718e+02   1.165e+02    0  27.510   0.85  21.3748 
OBS:  54376.461  u NULL   2.5045e+01   5.544e+01    0  24.924   0.85  22.8512 
OBS:  54376.461  i NULL   3.7909e+02   3.645e+01    0  28.757   0.85  21.0416 
OBS:  54381.469  u NULL   6.0331e+01   3.514e+01    0  25.844   0.85  23.0860 
OBS:  54381.469  r NULL   3.6546e+02   2.317e+01    0  28.888   0.85  20.9557 
OBS:  54381.469  z NULL   3.8911e+02   9.606e+01    0  27.941   0.85  21.4192 
OBS:  54381.469  g NULL   3.7141e+02   1.543e+01    0  29.256   0.85  21.0877 
OBS:  54381.469  i NULL   4.1887e+02   3.442e+01    0  28.892   0.85  20.9057 
OBS:  54382.445  u NULL   2.4580e+00   4.655e+01    0  25.147   0.85  23.1775 
OBS:  54382.445  z NULL   1.5420e+02   1.027e+02    0  27.778   0.85  21.4352 
OBS:  54382.445  i NULL   4.4143e+02   4.322e+01    0  28.402   0.85  20.8973 
OBS:  54382.445  g NULL   3.4515e+02   1.739e+01    0  28.968   0.85  21.1119 
OBS:  54382.445  r NULL   4.3344e+02   2.890e+01    0  28.445   0.85  20.9545 
OBS:  54385.465  r NULL   3.8218e+02   2.234e+01    0  28.977   0.85  20.9877 
OBS:  54385.465  z NULL   2.7240e+02   9.324e+01    0  27.996   0.85  21.4952 
OBS:  54385.465  i NULL   3.4777e+02   3.268e+01    0  28.987   0.85  20.9171 
OBS:  54385.465  g NULL   3.1803e+02   1.589e+01    0  29.137   0.85  21.2386 
OBS:  54385.465  u NULL   2.4151e+01   4.551e+01    0  25.268   0.85  23.5147 
OBS:  54386.461  z NULL   1.9428e+02   8.293e+01    0  28.245   0.85  21.5196 
OBS:  54386.461  i NULL   4.0839e+02   3.215e+01    0  29.039   0.85  20.9379 
OBS:  54386.461  g NULL   3.0864e+02   1.468e+01    0  29.302   0.85  21.2975 
OBS:  54386.461  u NULL   4.6669e+01   4.481e+01    0  25.357   0.85  23.6458 
OBS:  54387.465  g NULL   2.7520e+02   1.620e+01    0  29.053   0.85  21.3611 
OBS:  54387.465  z NULL   3.4035e+02   9.301e+01    0  28.007   0.85  21.5531 
OBS:  54387.465  r NULL   3.6415e+02   2.878e+01    0  28.414   0.85  21.0359 
OBS:  54387.465  i NULL   4.2950e+02   4.467e+01    0  28.329   0.85  20.9670 
OBS:  54388.465  z NULL   3.6373e+02   8.914e+01    0  28.102   0.85  21.5963 
OBS:  54388.465  g NULL   2.5495e+02   1.432e+01    0  29.301   0.85  21.4283 
