SURVEY: SDSS(SDSS)   
SNID:   531   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.119143 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.117800 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53688.793 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  203  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.11914  
SIM_REDSHIFT_CMB:    0.11780  
SIM_REDSHIFT_HOST:   0.11914  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.6963  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0304   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.065  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.23  20.80  20.29  20.32  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53690.019531  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   1.1103e-04   
SIM_SALT2x1:    0.3562   
SIM_SALT2c:     0.4000   
SIM_SALT2mB:   20.5214   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -18.55   days 
SIM_TRESTMAX:    13.60   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 40 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53669.262  g NULL   3.5060e+00   9.680e+00    0  29.851   0.85  27.0420 
OBS:  53669.262  r NULL  -3.6609e+00   1.628e+01    0  29.417   0.85  26.0133 
OBS:  53669.262  i NULL  -1.3286e+01   1.475e+01    0  30.616   0.85  25.8181 
OBS:  53669.262  u NULL   9.3953e+00   3.146e+01    0  25.850   0.85  30.3995 
OBS:  53671.344  g NULL  -1.7077e+01   1.357e+01    0  29.114   0.85  25.1182 
OBS:  53671.344  r NULL   4.4428e+01   2.828e+01    0  28.250   0.85  24.1386 
OBS:  53671.344  u NULL  -7.9890e+00   6.487e+01    0  24.624   0.85  28.3428 
OBS:  53671.344  i NULL   2.0623e+01   2.933e+01    0  29.129   0.85  23.9390 
OBS:  53674.246  g NULL   4.3975e+01   1.705e+01    0  28.675   0.85  23.0426 
OBS:  53674.246  r NULL   9.6400e+01   2.212e+01    0  28.817   0.85  22.4805 
OBS:  53674.246  i NULL   1.7859e+02   3.154e+01    0  29.016   0.85  22.2352 
OBS:  53674.246  u NULL  -3.7776e+01   3.463e+01    0  25.655   0.85  25.6319 
OBS:  53676.336  r NULL   1.9489e+02   2.217e+01    0  28.878   0.85  21.7693 
OBS:  53676.336  i NULL   2.4337e+02   2.977e+01    0  29.159   0.85  21.5135 
OBS:  53676.336  u NULL   5.8061e+01   5.589e+01    0  25.003   0.85  24.7041 
OBS:  53676.336  g NULL   1.3243e+02   1.491e+01    0  29.075   0.85  22.2249 
OBS:  53679.305  r NULL   3.1258e+02   2.913e+01    0  28.358   0.85  21.1390 
OBS:  53679.305  i NULL   4.2824e+02   3.987e+01    0  28.575   0.85  20.9234 
OBS:  53679.305  g NULL   2.3928e+02   1.647e+01    0  28.978   0.85  21.5596 
OBS:  53679.305  u NULL   5.1936e+01   4.879e+01    0  25.222   0.85  23.8384 
OBS:  53681.297  r NULL   4.2226e+02   2.666e+01    0  28.616   0.85  20.8212 
OBS:  53681.297  g NULL   3.2758e+02   2.238e+01    0  28.399   0.85  21.2390 
OBS:  53681.297  i NULL   5.0012e+02   3.345e+01    0  28.977   0.85  20.6432 
OBS:  53681.297  u NULL   9.5497e+01   4.462e+01    0  25.505   0.85  23.3990 
OBS:  53685.258  r NULL   6.6270e+02   5.188e+01    0  27.296   0.85  20.4453 
OBS:  53685.258  g NULL   4.4356e+02   4.095e+01    0  27.200   0.85  20.8828 
OBS:  53685.258  i NULL   8.3793e+02   5.665e+01    0  27.914   0.85  20.3740 
OBS:  53685.258  u NULL   1.5683e+02   1.248e+02    0  23.901   0.85  23.0527 
OBS:  53697.254  r NULL   7.2783e+02   2.455e+01    0  28.963   0.85  20.4011 
OBS:  53697.254  g NULL   3.6500e+02   1.781e+01    0  28.937   0.85  21.0689 
OBS:  53697.254  i NULL   6.7104e+02   3.268e+01    0  29.073   0.85  20.4537 
OBS:  53697.254  u NULL  -2.8924e+01   4.112e+01    0  25.351   0.85  24.0365 
OBS:  53700.250  r NULL   6.4800e+02   2.912e+01    0  28.545   0.85  20.5392 
OBS:  53700.250  g NULL   3.2134e+02   2.094e+01    0  28.541   0.85  21.2720 
