SURVEY: SDSS(SDSS)   
SNID:   551   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.109291 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.107960 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54423.867 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  151  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.10929  
SIM_REDSHIFT_CMB:    0.10796  
SIM_REDSHIFT_HOST:   0.10929  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.4930  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0287   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.119  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.68  19.43  19.41  19.71  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54423.585938  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   3.9991e-04   
SIM_SALT2x1:   -0.0213   
SIM_SALT2c:    -0.0003   
SIM_SALT2mB:   19.1301   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 37 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54403.258  i NULL  -2.8835e+01   3.926e+01    0  28.492   0.85  25.3014 
OBS:  54403.258  u NULL   3.3558e+01   1.034e+02    0  24.000   0.85  99.0000 
OBS:  54403.258  g NULL  -5.2488e+01   3.512e+01    0  27.065   0.85  25.9781 
OBS:  54404.316  r NULL   2.6596e+01   1.879e+01    0  29.124   0.85  24.0934 
OBS:  54404.316  i NULL   3.1084e+01   3.026e+01    0  29.065   0.85  24.3470 
OBS:  54404.316  g NULL  -1.6046e+01   1.740e+01    0  28.577   0.85  25.1124 
OBS:  54404.316  u NULL  -1.0451e+02   5.894e+01    0  24.755   0.85  99.0000 
OBS:  54405.313  r NULL   3.6025e+01   2.591e+01    0  28.435   0.85  23.3628 
OBS:  54405.313  i NULL   2.7442e+01   2.372e+01    0  29.592   0.85  23.5790 
OBS:  54405.313  g NULL   5.1745e+01   1.920e+01    0  28.428   0.85  24.1712 
OBS:  54405.313  u NULL  -3.1075e+01   4.821e+01    0  25.078   0.85  99.0000 
OBS:  54406.254  r NULL   4.7035e+01   2.188e+01    0  28.810   0.85  22.7003 
OBS:  54406.254  g NULL   3.1168e+01   1.546e+01    0  28.872   0.85  23.1697 
OBS:  54406.254  i NULL   5.9614e+01   3.113e+01    0  29.011   0.85  22.8425 
OBS:  54406.254  u NULL  -8.3040e+01   3.438e+01    0  25.663   0.85  26.5684 
OBS:  54412.254  r NULL   6.8543e+02   3.054e+01    0  28.461   0.85  20.4556 
OBS:  54412.254  g NULL   7.2707e+02   2.458e+01    0  28.536   0.85  20.4110 
OBS:  54412.254  i NULL   6.4211e+02   3.903e+01    0  28.678   0.85  20.4901 
OBS:  54412.254  u NULL   2.0922e+02   6.796e+01    0  25.005   0.85  21.5370 
OBS:  54416.250  r NULL   1.1564e+03   2.686e+01    0  28.982   0.85  19.7999 
OBS:  54416.250  g NULL   1.2392e+03   2.139e+01    0  29.214   0.85  19.7407 
OBS:  54416.250  i NULL   1.0948e+03   3.501e+01    0  29.034   0.85  19.9151 
OBS:  54416.250  u NULL   5.3890e+02   5.925e+01    0  25.827   0.85  20.6534 
OBS:  54421.258  g NULL   1.6770e+03   6.509e+01    0  26.946   0.85  19.4357 
OBS:  54421.258  i NULL   1.3289e+03   4.338e+01    0  28.617   0.85  19.7264 
OBS:  54421.258  u NULL   6.5686e+02   8.014e+01    0  25.355   0.85  20.5271 
OBS:  54421.258  r NULL   1.6212e+03   3.766e+01    0  28.419   0.85  19.4564 
OBS:  54423.234  i NULL   1.2629e+03   3.952e+01    0  28.810   0.85  19.7141 
OBS:  54423.234  u NULL   4.8441e+02   9.401e+01    0  24.831   0.85  20.6504 
OBS:  54423.234  r NULL   1.7477e+03   4.100e+01    0  28.273   0.85  19.4115 
OBS:  54423.234  g NULL   1.5774e+03   5.678e+01    0  27.201   0.85  19.4248 
OBS:  54431.258  i NULL   1.1934e+03   1.331e+02    0  26.141   0.85  19.8973 
OBS:  54431.258  r NULL   1.5760e+03   1.082e+02    0  26.082   0.85  19.5377 
OBS:  54433.254  i NULL   9.3928e+02   4.912e+01    0  28.252   0.85  20.0469 
OBS:  54433.254  u NULL   7.4408e+02   4.758e+02    0  22.343   0.85  21.8315 
OBS:  54433.254  r NULL   1.4098e+03   5.183e+01    0  27.625   0.85  19.6372 
OBS:  54433.254  g NULL   1.1091e+03   4.480e+01    0  27.472   0.85  19.9087 
END_PHOTOMETRY: 

# ============================================= 
NSPECTRA:  0 

NVAR_SPEC: 6 
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR   SIM_GENFLAM SIM_GENMAG  

