SURVEY: SDSS(SDSS)   
SNID:   561   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.222467 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.221000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54005.766 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  25  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.22247  
SIM_REDSHIFT_CMB:    0.22100  
SIM_REDSHIFT_HOST:   0.22247  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      40.1967  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0287   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.109  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   25.35  22.53  21.80  21.42  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54004.968750  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   2.7801e-05   
SIM_SALT2x1:    0.3344   
SIM_SALT2c:     0.4000   
SIM_SALT2mB:   22.0249   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 80 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53996.191  i NULL   2.1037e+02   3.546e+01    0  28.771   0.85  21.8272 
OBS:  53996.191  g NULL   7.9824e+01   1.355e+01    0  29.217   0.85  22.8307 
OBS:  53996.191  u NULL   2.0257e+01   3.432e+01    0  25.737   0.85  25.3478 
OBS:  53996.191  r NULL   1.5760e+02   2.161e+01    0  28.909   0.85  22.1758 
OBS:  53998.160  i NULL   1.9138e+02   3.578e+01    0  28.747   0.85  21.6554 
OBS:  53998.160  r NULL   1.5118e+02   2.052e+01    0  29.016   0.85  22.0081 
OBS:  53998.160  u NULL   5.7661e+01   4.618e+01    0  25.344   0.85  25.1756 
OBS:  53998.160  g NULL   1.0088e+02   1.279e+01    0  29.370   0.85  22.6581 
OBS:  54005.199  r NULL   1.7716e+02   2.269e+01    0  28.816   0.85  21.8023 
OBS:  54005.199  i NULL   2.7708e+02   3.516e+01    0  28.807   0.85  21.4225 
OBS:  54005.199  g NULL   1.0263e+02   1.360e+01    0  29.237   0.85  22.5298 
OBS:  54005.199  u NULL   6.3386e+01   5.023e+01    0  25.210   0.85  25.3656 
OBS:  54008.152  i NULL   2.2430e+02   3.821e+01    0  28.613   0.85  21.4225 
OBS:  54008.152  g NULL   9.4505e+01   1.892e+01    0  28.514   0.85  22.6206 
OBS:  54008.152  r NULL   2.1530e+02   2.435e+01    0  28.688   0.85  21.8188 
OBS:  54008.152  u NULL   2.4993e+01   5.687e+01    0  24.895   0.85  25.6565 
OBS:  54010.145  r NULL   2.1647e+02   2.918e+01    0  28.295   0.85  21.8539 
OBS:  54010.145  u NULL  -2.1381e+00   4.568e+01    0  25.162   0.85  25.8684 
OBS:  54010.145  g NULL   7.9376e+01   2.202e+01    0  28.166   0.85  22.7162 
OBS:  54010.145  i NULL   2.2121e+02   4.073e+01    0  28.473   0.85  21.4542 
OBS:  54012.141  u NULL   3.7918e+01   8.174e+01    0  24.351   0.85  26.0931 
OBS:  54012.141  g NULL   6.5104e+01   4.250e+01    0  26.736   0.85  22.8287 
OBS:  54020.145  g NULL   3.9801e+01   1.294e+01    0  29.268   0.85  23.4587 
OBS:  54020.145  i NULL   1.8986e+02   3.732e+01    0  28.654   0.85  21.9325 
OBS:  54020.145  r NULL   1.3496e+02   2.257e+01    0  28.801   0.85  22.2169 
OBS:  54020.145  u NULL   8.2578e+00   3.063e+01    0  25.898   0.85  27.1514 
OBS:  54022.191  g NULL   2.3722e+01   1.782e+01    0  28.556   0.85  23.6822 
OBS:  54028.133  r NULL   9.5037e+01   2.870e+01    0  28.254   0.85  22.6456 
OBS:  54028.133  u NULL   3.6876e+01   4.521e+01    0  25.303   0.85  27.5767 
OBS:  54028.133  g NULL   4.2390e+01   1.717e+01    0  28.660   0.85  24.3074 
OBS:  54028.133  i NULL   2.1282e+02   3.913e+01    0  28.558   0.85  22.1511 
OBS:  54030.137  r NULL   9.1809e+01   2.238e+01    0  28.789   0.85  22.7629 
OBS:  54030.137  u NULL   3.8674e+01   3.059e+01    0  26.035   0.85  27.6061 
