SURVEY: SDSS(SDSS)   
SNID:   570   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.231878 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.230400 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53647.129 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  170  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.23188  
SIM_REDSHIFT_CMB:    0.23040  
SIM_REDSHIFT_HOST:   0.23188  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      40.2984  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0257   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.089  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.43  20.90  20.80  20.83  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53648.531250  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   1.0767e-04   
SIM_SALT2x1:    0.8357   
SIM_SALT2c:    -0.0844   
SIM_SALT2mB:   20.5548   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 76 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53626.223  g NULL  -8.3847e+00   2.002e+01    0  28.272   0.85  26.3261 
OBS:  53626.223  i NULL   2.3172e+01   3.025e+01    0  29.063   0.85  25.6027 
OBS:  53626.223  r NULL   5.6809e+00   3.321e+01    0  27.877   0.85  25.7070 
OBS:  53626.223  u NULL  -3.0919e+01   4.687e+01    0  25.134   0.85  99.0000 
OBS:  53628.207  i NULL   6.2154e+01   3.755e+01    0  28.606   0.85  24.2112 
OBS:  53628.207  u NULL  -1.3763e+01   1.334e+02    0  23.600   0.85  99.0000 
OBS:  53628.207  r NULL   7.4579e+01   3.143e+01    0  28.044   0.85  24.3016 
OBS:  53628.207  g NULL   2.9301e+01   3.471e+01    0  27.124   0.85  24.8781 
OBS:  53635.215  u NULL   7.7815e+01   5.058e+01    0  25.230   0.85  23.0731 
OBS:  53635.215  r NULL   2.2212e+02   2.859e+01    0  28.342   0.85  21.7050 
OBS:  53635.215  g NULL   1.9673e+02   2.469e+01    0  28.053   0.85  21.7933 
OBS:  53635.215  i NULL   1.9168e+02   3.605e+01    0  28.730   0.85  21.8245 
OBS:  53637.207  u NULL   2.9447e+01   4.919e+01    0  25.143   0.85  22.7011 
OBS:  53637.207  i NULL   2.6387e+02   4.070e+01    0  28.486   0.85  21.5225 
OBS:  53637.207  g NULL   2.5930e+02   2.033e+01    0  28.542   0.85  21.4605 
OBS:  53637.207  r NULL   2.8258e+02   2.630e+01    0  28.561   0.85  21.4073 
OBS:  53644.199  r NULL   4.7017e+02   2.119e+01    0  29.143   0.85  20.8648 
OBS:  53644.199  g NULL   4.6783e+02   1.481e+01    0  29.437   0.85  20.8905 
OBS:  53644.199  u NULL   3.7352e+01   3.792e+01    0  25.620   0.85  22.1868 
OBS:  53644.199  i NULL   3.6305e+02   3.243e+01    0  29.008   0.85  20.9324 
OBS:  53654.234  g NULL   3.5632e+02   1.843e+01    0  28.853   0.85  21.1199 
OBS:  53654.234  u NULL   4.5998e+01   3.839e+01    0  25.625   0.85  22.9903 
OBS:  53654.234  i NULL   3.8595e+02   3.710e+01    0  28.721   0.85  20.8690 
OBS:  53654.234  r NULL   4.8699e+02   2.634e+01    0  28.676   0.85  20.8701 
OBS:  53656.180  g NULL   2.9433e+02   4.471e+01    0  26.875   0.85  21.2245 
OBS:  53656.180  u NULL  -3.0032e+01   9.745e+01    0  24.020   0.85  23.2042 
OBS:  53656.180  i NULL   3.8716e+02   6.147e+01    0  27.625   0.85  20.9306 
OBS:  53656.180  r NULL   4.7443e+02   5.168e+01    0  27.205   0.85  20.9185 
OBS:  53663.195  u NULL   1.1045e+01   4.390e+01    0  25.280   0.85  24.1317 
OBS:  53663.195  i NULL   2.9845e+02   3.420e+01    0  28.873   0.85  21.2940 
OBS:  53663.195  g NULL   1.7174e+02   2.251e+01    0  28.229   0.85  21.7290 
OBS:  53663.195  r NULL   3.4747e+02   2.474e+01    0  28.733   0.85  21.1869 
OBS:  53668.184  u NULL   4.1880e+01   3.970e+01    0  25.555   0.85  24.7311 
OBS:  53668.184  i NULL   2.4461e+02   4.241e+01    0  28.391   0.85  21.5113 
OBS:  53668.184  g NULL   9.4904e+01   1.530e+01    0  28.977   0.85  22.2562 
OBS:  53668.184  r NULL   2.4664e+02   2.709e+01    0  28.474   0.85  21.4519 
OBS:  53670.188  u NULL  -6.9496e+00   3.028e+01    0  25.889   0.85  25.4373 
OBS:  53670.188  g NULL   1.2048e+02   1.393e+01    0  29.209   0.85  22.4615 
OBS:  53670.188  i NULL   2.5371e+02   3.775e+01    0  28.647   0.85  21.5480 
OBS:  53670.188  r NULL   2.6840e+02   2.294e+01    0  28.848   0.85  21.5526 
OBS:  53673.156  u NULL   4.6469e+01   3.436e+01    0  25.839   0.85  25.8603 
OBS:  53673.156  g NULL   7.8069e+01   1.470e+01    0  29.041   0.85  22.7618 
OBS:  53673.156  i NULL   2.5879e+02   3.677e+01    0  28.704   0.85  21.5926 
OBS:  53673.156  r NULL   1.8925e+02   2.360e+01    0  28.738   0.85  21.7238 
OBS:  53675.152  u NULL  -3.5992e+01   3.053e+01    0  25.880   0.85  25.2194 
OBS:  53675.152  g NULL   7.7871e+01   1.400e+01    0  29.146   0.85  22.9450 
OBS:  53675.152  i NULL   2.0050e+02   3.537e+01    0  28.774   0.85  21.6218 
OBS:  53675.152  r NULL   1.5622e+02   2.255e+01    0  28.816   0.85  21.8553 
OBS:  53677.172  i NULL   2.1062e+02   3.205e+01    0  28.990   0.85  21.6496 
OBS:  53677.172  g NULL   5.6059e+01   1.255e+01    0  29.356   0.85  23.1197 
OBS:  53677.172  u NULL   3.0042e+01   2.996e+01    0  26.038   0.85  24.9897 
OBS:  53677.172  r NULL   1.7284e+02   2.023e+01    0  29.061   0.85  21.9829 
OBS:  53680.160  g NULL   3.2310e+01   1.396e+01    0  29.093   0.85  23.3497 
OBS:  53680.160  u NULL   4.7316e+01   3.944e+01    0  25.596   0.85  25.1383 
OBS:  53680.160  i NULL   2.2283e+02   3.601e+01    0  28.740   0.85  21.6877 
OBS:  53680.160  r NULL   1.4310e+02   2.324e+01    0  28.742   0.85  22.1474 
OBS:  53686.227  u NULL  -1.9392e+02   2.188e+02    0  22.990   0.85  24.9780 
OBS:  53686.227  i NULL   1.9754e+02   8.578e+01    0  26.851   0.85  21.8799 
OBS:  53686.227  r NULL  -2.0919e+00   7.244e+01    0  26.193   0.85  22.4804 
OBS:  53686.227  g NULL   7.1208e+01   5.407e+01    0  26.238   0.85  23.7548 
OBS:  53693.160  u NULL   3.2956e+01   6.383e+01    0  24.728   0.85  25.1334 
OBS:  53693.160  i NULL   1.0362e+02   3.879e+01    0  28.546   0.85  22.2052 
OBS:  53693.160  r NULL   1.2284e+02   3.197e+01    0  28.038   0.85  22.8462 
OBS:  53693.160  g NULL   7.7970e+01   2.351e+01    0  28.024   0.85  24.0776 
OBS:  53699.180  u NULL   1.3205e+01   7.302e+01    0  24.464   0.85  32.3088 
OBS:  53699.180  i NULL   2.1907e+02   6.085e+01    0  27.601   0.85  22.4650 
OBS:  53699.180  r NULL   1.0691e+02   4.001e+01    0  27.540   0.85  23.0686 
OBS:  53699.180  g NULL   1.4164e+01   1.678e+01    0  28.673   0.85  24.1860 
OBS:  53702.156  u NULL   6.9668e+01   6.648e+01    0  24.745   0.85  99.0000 
OBS:  53702.156  i NULL   8.5353e+00   6.654e+01    0  27.350   0.85  22.5737 
OBS:  53702.156  r NULL   4.1211e+01   4.189e+01    0  27.397   0.85  23.1392 
OBS:  53702.156  g NULL  -7.2108e+00   1.885e+01    0  28.403   0.85  24.2396 
OBS:  53704.145  u NULL  -1.6306e+01   3.017e+01    0  25.893   0.85  99.0000 
OBS:  53704.145  i NULL   8.4240e+01   3.506e+01    0  28.760   0.85  22.6374 
OBS:  53704.145  r NULL   3.5371e+01   2.192e+01    0  28.797   0.85  23.1724 
OBS:  53704.145  g NULL  -6.8537e-01   1.215e+01    0  29.352   0.85  24.2783 
END_PHOTOMETRY: 

# ============================================= 
NSPECTRA:  0 

NVAR_SPEC: 6 
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR   SIM_GENFLAM SIM_GENMAG  

