SURVEY: SDSS(SDSS)   
SNID:   573   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.215459 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.214000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54012.863 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  37  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.21546  
SIM_REDSHIFT_CMB:    0.21400  
SIM_REDSHIFT_HOST:   0.21546  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      40.1183  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0298   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.090  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   25.72  22.52  21.97  21.66  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54013.472656  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   2.3503e-05   
SIM_SALT2x1:   -1.5279   
SIM_SALT2c:     0.4000   
SIM_SALT2mB:   22.2072   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -19.86   days 
SIM_TRESTMAX:    40.95   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 76 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53989.336  i NULL  -1.6113e+01   2.730e+01    0  29.280   0.85  99.0000 
OBS:  53989.336  r NULL  -8.8033e+00   2.460e+01    0  28.521   0.85  99.0000 
OBS:  53989.336  g NULL  -3.0302e+00   2.100e+01    0  28.171   0.85  99.0000 
OBS:  53997.434  r NULL   3.3366e+01   2.155e+01    0  28.833   0.85  24.6963 
OBS:  53997.434  g NULL   9.7979e+00   1.533e+01    0  28.864   0.85  25.8210 
OBS:  54000.313  u NULL   8.7157e+00   3.868e+01    0  25.486   0.85  99.0000 
OBS:  54000.313  i NULL   9.4780e+01   3.725e+01    0  28.632   0.85  23.1653 
OBS:  54000.313  r NULL   4.1601e+01   2.373e+01    0  28.630   0.85  23.6196 
OBS:  54000.313  g NULL   3.8671e+01   1.605e+01    0  28.799   0.85  24.1994 
OBS:  54006.258  r NULL   1.0109e+02   2.485e+01    0  28.570   0.85  22.3743 
OBS:  54006.258  g NULL   7.3803e+01   1.826e+01    0  28.565   0.85  22.8109 
OBS:  54007.363  u NULL  -2.4407e+01   3.736e+01    0  25.503   0.85  25.5066 
OBS:  54007.363  g NULL   9.2482e+01   1.474e+01    0  29.052   0.85  22.7024 
OBS:  54007.363  i NULL   2.0646e+02   3.263e+01    0  28.951   0.85  21.8969 
OBS:  54007.363  r NULL   1.1460e+02   2.057e+01    0  28.989   0.85  22.2584 
OBS:  54009.285  g NULL   8.4967e+01   1.553e+01    0  28.931   0.85  22.5816 
OBS:  54009.285  r NULL   1.4523e+02   2.310e+01    0  28.756   0.85  22.1109 
OBS:  54009.285  u NULL   3.9582e+01   5.421e+01    0  25.003   0.85  25.4946 
OBS:  54009.285  i NULL   2.0173e+02   3.356e+01    0  28.887   0.85  21.7858 
OBS:  54011.352  r NULL   1.6064e+02   2.588e+01    0  28.520   0.85  22.0124 
OBS:  54011.352  g NULL   1.1522e+02   2.052e+01    0  28.364   0.85  22.5188 
OBS:  54011.352  i NULL   2.3923e+02   3.584e+01    0  28.756   0.85  21.7098 
OBS:  54011.352  u NULL   7.0971e+01   5.788e+01    0  24.985   0.85  25.5809 
OBS:  54021.355  r NULL   1.2423e+02   2.455e+01    0  28.611   0.85  22.1183 
OBS:  54025.348  i NULL   1.0946e+02   3.760e+01    0  28.616   0.85  22.1033 
OBS:  54025.348  u NULL   1.3991e+01   3.859e+01    0  25.501   0.85  27.2314 
OBS:  54025.348  g NULL   2.9961e+01   1.588e+01    0  28.811   0.85  23.4503 
OBS:  54025.348  r NULL   1.2815e+02   2.526e+01    0  28.551   0.85  22.3020 
OBS:  54029.281  i NULL   1.6089e+02   4.294e+01    0  28.341   0.85  22.2639 
OBS:  54029.281  u NULL  -9.6130e+00   4.951e+01    0  25.049   0.85  27.8576 
OBS:  54029.281  g NULL   4.9837e+00   1.889e+01    0  28.404   0.85  23.9625 
OBS:  54029.281  r NULL   5.7366e+01   2.909e+01    0  28.197   0.85  22.5237 
OBS:  54031.266  i NULL   1.5184e+02   3.459e+01    0  28.809   0.85  22.3146 
OBS:  54031.266  u NULL   4.2428e+01   3.415e+01    0  25.837   0.85  28.1378 
