SURVEY: SDSS(SDSS)   
SNID:   579   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.132159 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.130800 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53665.707 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  179  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.13216  
SIM_REDSHIFT_CMB:    0.13080  
SIM_REDSHIFT_HOST:   0.13216  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.9416  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0215   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.139  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.93  20.07  19.77  19.95  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53666.070312  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   1.8302e-04   
SIM_SALT2x1:    0.7100   
SIM_SALT2c:     0.1618   
SIM_SALT2mB:   19.9788   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 101 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53644.305  r NULL   3.3911e+01   1.846e+01    0  29.167   0.85  26.6539 
OBS:  53644.305  g NULL  -3.2674e+00   1.222e+01    0  29.341   0.85  27.4686 
OBS:  53644.305  u NULL  -9.7547e-01   3.623e+01    0  25.560   0.85  29.3570 
OBS:  53644.305  i NULL  -7.3147e+00   2.810e+01    0  29.218   0.85  26.5955 
OBS:  53654.336  i NULL   5.2232e+02   4.180e+01    0  28.497   0.85  20.6493 
OBS:  53654.336  g NULL   3.8734e+02   1.791e+01    0  28.948   0.85  20.9152 
OBS:  53654.336  r NULL   4.8228e+02   2.761e+01    0  28.575   0.85  20.6887 
OBS:  53654.336  u NULL   1.2154e+02   5.012e+01    0  25.366   0.85  22.6863 
OBS:  53655.289  g NULL   5.2959e+02   2.547e+01    0  28.302   0.85  20.7495 
OBS:  53655.289  r NULL   6.0139e+02   4.012e+01    0  27.822   0.85  20.5295 
OBS:  53655.289  i NULL   5.6713e+02   5.991e+01    0  27.725   0.85  20.5035 
OBS:  53655.289  u NULL  -3.3111e+01   5.430e+01    0  24.897   0.85  22.4732 
OBS:  53663.297  g NULL   1.0001e+03   4.693e+01    0  27.304   0.85  20.0759 
OBS:  53663.297  u NULL   3.1491e+02   9.660e+01    0  24.552   0.85  21.7833 
OBS:  53663.297  r NULL   1.1754e+03   3.899e+01    0  28.155   0.85  19.8236 
OBS:  53663.297  i NULL   1.0649e+03   4.357e+01    0  28.543   0.85  19.9801 
OBS:  53664.313  u NULL   4.3706e+02   1.687e+02    0  23.738   0.85  21.8184 
OBS:  53664.313  i NULL   9.8387e+02   7.790e+01    0  27.257   0.85  19.9684 
OBS:  53666.367  g NULL   9.3849e+02   2.956e+01    0  28.280   0.85  20.0769 
OBS:  53666.367  r NULL   1.2892e+03   3.595e+01    0  28.384   0.85  19.7669 
OBS:  53666.367  u NULL   7.0280e+01   6.737e+01    0  24.730   0.85  21.9504 
OBS:  53666.367  i NULL   1.0753e+03   4.372e+01    0  28.539   0.85  19.9435 
OBS:  53668.289  r NULL   1.2094e+03   3.520e+01    0  28.398   0.85  19.7674 
OBS:  53668.289  i NULL   1.0847e+03   5.010e+01    0  28.242   0.85  19.9367 
OBS:  53668.289  u NULL   1.5011e+02   7.290e+01    0  24.760   0.85  22.1261 
OBS:  53668.289  g NULL   9.0796e+02   2.831e+01    0  28.356   0.85  20.1205 
OBS:  53669.273  r NULL   1.2360e+03   2.862e+01    0  28.873   0.85  19.7767 
OBS:  53669.273  u NULL   1.0182e+02   4.012e+01    0  25.730   0.85  22.2289 
OBS:  53669.273  i NULL   1.0810e+03   4.255e+01    0  28.600   0.85  19.9431 
OBS:  53669.273  g NULL   8.5694e+02   2.156e+01    0  28.927   0.85  20.1508 
OBS:  53670.293  r NULL   1.1839e+03   3.309e+01    0  28.525   0.85  19.7923 
OBS:  53670.293  i NULL   1.0618e+03   4.274e+01    0  28.585   0.85  19.9560 
OBS:  53670.293  u NULL   1.5319e+02   4.894e+01    0  25.493   0.85  22.3465 
