SURVEY: SDSS(SDSS)   
SNID:   609   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.199439 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.198000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54040.957 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  73  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.19944  
SIM_REDSHIFT_CMB:    0.19800  
SIM_REDSHIFT_HOST:   0.19944  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.9298  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0312   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.092  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   24.81  22.03  21.45  21.17  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54040.289062  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   3.8181e-05   
SIM_SALT2x1:    0.8885   
SIM_SALT2c:     0.4000   
SIM_SALT2mB:   21.6804   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -17.56   days 
SIM_TRESTMAX:    19.08   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 51 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54019.227  g NULL  -1.0511e+01   1.327e+01    0  29.162   0.85  26.7009 
OBS:  54019.227  r NULL  -1.0540e+01   1.554e+01    0  29.518   0.85  25.6495 
OBS:  54019.227  i NULL   4.3604e+00   2.161e+01    0  29.788   0.85  25.3278 
OBS:  54019.227  u NULL   3.0479e+01   4.214e+01    0  25.416   0.85  99.0000 
OBS:  54025.273  g NULL   5.1517e+01   1.520e+01    0  28.936   0.85  23.3768 
OBS:  54025.273  r NULL   6.4342e+01   2.627e+01    0  28.424   0.85  22.7785 
OBS:  54025.273  i NULL   4.2861e+01   3.728e+01    0  28.616   0.85  22.4970 
OBS:  54025.273  u NULL   2.7621e+01   4.704e+01    0  25.214   0.85  26.1104 
OBS:  54029.203  r NULL   1.3854e+02   2.173e+01    0  28.886   0.85  22.0693 
OBS:  54029.203  i NULL   2.0234e+02   3.405e+01    0  28.856   0.85  21.7927 
OBS:  54029.203  u NULL  -2.0103e+01   3.129e+01    0  25.832   0.85  25.1716 
OBS:  54029.203  g NULL   7.8574e+01   1.300e+01    0  29.307   0.85  22.5995 
OBS:  54031.191  i NULL   2.5297e+02   3.663e+01    0  28.712   0.85  21.5488 
OBS:  54031.191  g NULL   1.0269e+02   1.277e+01    0  29.376   0.85  22.3379 
OBS:  54031.191  u NULL  -1.1628e+00   3.161e+01    0  25.799   0.85  24.8942 
OBS:  54036.195  r NULL   2.4414e+02   2.382e+01    0  28.752   0.85  21.5185 
OBS:  54036.195  i NULL   3.0344e+02   3.646e+01    0  28.736   0.85  21.2540 
OBS:  54036.195  g NULL   1.5535e+02   1.678e+01    0  28.846   0.85  22.0344 
OBS:  54036.195  u NULL  -6.7733e+00   4.404e+01    0  25.227   0.85  24.6357 
OBS:  54039.191  r NULL   2.6355e+02   3.268e+01    0  28.078   0.85  21.4593 
OBS:  54039.191  i NULL   3.5370e+02   4.046e+01    0  28.523   0.85  21.1904 
OBS:  54039.191  g NULL   1.5108e+02   3.210e+01    0  27.438   0.85  22.0138 
OBS:  54039.191  u NULL   1.1706e+00   6.116e+01    0  24.717   0.85  24.7249 
OBS:  54048.188  r NULL   2.5339e+02   2.532e+01    0  28.626   0.85  21.5671 
OBS:  54048.188  g NULL   1.4825e+02   2.028e+01    0  28.426   0.85  22.3484 
OBS:  54048.188  i NULL   3.2767e+02   3.374e+01    0  28.911   0.85  21.2792 
OBS:  54048.188  u NULL   1.9613e+01   4.500e+01    0  25.271   0.85  25.5845 
OBS:  54052.191  r NULL   2.2216e+02   2.756e+01    0  28.423   0.85  21.7142 
OBS:  54052.191  g NULL   7.3562e+01   1.502e+01    0  28.989   0.85  22.6169 
OBS:  54052.191  i NULL   2.7210e+02   4.359e+01    0  28.340   0.85  21.4912 
OBS:  54052.191  u NULL   4.0979e+01   4.861e+01    0  25.204   0.85  26.1101 
OBS:  54054.207  g NULL   8.4219e+01   1.908e+01    0  28.484   0.85  22.7853 
OBS:  54054.207  i NULL   2.5934e+02   4.985e+01    0  28.045   0.85  21.5954 
OBS:  54054.207  u NULL  -2.9034e+01   6.843e+01    0  24.539   0.85  26.3657 
OBS:  54054.207  r NULL   1.7945e+02   3.762e+01    0  27.720   0.85  21.8078 
OBS:  54055.184  g NULL   8.1478e+01   1.444e+01    0  29.082   0.85  22.8791 
OBS:  54055.184  i NULL   2.7268e+02   3.443e+01    0  28.852   0.85  21.6436 
OBS:  54055.184  u NULL  -9.0798e+00   3.522e+01    0  25.614   0.85  26.4771 
