SURVEY: Hicken2009_LC(Hicken2009_LC)   
SNID:   80   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SIM_Hicken09 
SNTYPE:  1 
FILTERS: UBVRIfhjklabcde 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.031511 +- 0.000001  (Helio, z_best) 
REDSHIFT_FINAL:   0.030278 +- 0.000001  (CMB) 

VPEC:      -199.42  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53825.730 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  30  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.03151  
SIM_REDSHIFT_CMB:    0.03094  
SIM_REDSHIFT_HOST:   0.03151  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -199.4 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      35.6626  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0291   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000  (UBVRIfhjklabcde F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  -9.00  16.14  16.46  16.64  16.69  17.17
      -9.00  -9.00  -9.00  -9.00  -9.00  (UBVRIfhjklabcde obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
        1.0    1.0    1.0    1.0    1.0  (UBVRIfhjklabcde obs)
SIM_PEAKMJD:   53826.726562  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.500   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   6.2850e-03   
SIM_SALT2x1:   -1.2866   
SIM_SALT2c:    -0.0967   
SIM_SALT2mB:   16.1392   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 148 
NVAR: 10 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53820.297  j NULL   1.5320e+04   2.267e+02    0  26.374   0.85  17.0454 
OBS:  53820.299  k NULL   1.4989e+04   2.660e+02    0  26.003   0.85  17.0536 
OBS:  53820.301  l NULL   1.2661e+04   2.567e+02    0  26.096   0.85  17.2852 
OBS:  53820.302  h NULL   1.8068e+04   3.417e+02    0  25.575   0.85  16.8306 
OBS:  53820.305  f NULL   3.0409e+04   1.244e+03    0  23.267   0.85  16.3486 
OBS:  53820.309  f NULL   2.8771e+04   1.318e+03    0  23.085   0.85  16.3480 
OBS:  53825.277  j NULL   2.1345e+04   3.638e+02    0  25.661   0.85  16.6688 
OBS:  53825.279  k NULL   2.1070e+04   3.480e+02    0  25.765   0.85  16.7174 
OBS:  53825.281  l NULL   1.4082e+04   2.826e+02    0  25.975   0.85  17.1541 
OBS:  53825.282  h NULL   2.5777e+04   4.846e+02    0  25.192   0.85  16.4653 
OBS:  53825.285  f NULL   3.7289e+04   1.536e+03    0  23.031   0.85  16.0721 
OBS:  53825.289  f NULL   3.6715e+04   1.489e+03    0  23.082   0.85  16.0722 
OBS:  53827.403  k NULL   2.1308e+04   3.179e+02    0  25.998   0.85  16.6794 
OBS:  53827.404  l NULL   1.3665e+04   2.628e+02    0  26.114   0.85  17.1868 
OBS:  53827.406  j NULL   2.2655e+04   3.335e+02    0  25.934   0.85  16.6340 
OBS:  53827.408  f NULL   3.2188e+04   1.413e+03    0  23.055   0.85  16.1978 
OBS:  53827.412  f NULL   3.0545e+04   1.280e+03    0  23.215   0.85  16.1981 
OBS:  53827.416  h NULL   2.4895e+04   4.278e+02    0  25.443   0.85  16.4750 
OBS:  53828.365  k NULL   2.2332e+04   6.387e+02    0  24.453   0.85  16.6782 
OBS:  53828.366  l NULL   1.2837e+04   6.971e+02    0  23.904   0.85  17.2096 
OBS:  53828.378  h NULL   2.5611e+04   6.965e+02    0  24.363   0.85  16.5034 
OBS:  53829.376  j NULL   2.1369e+04   6.062e+02    0  24.506   0.85  16.6488 
OBS:  53829.378  f NULL   2.7375e+04   1.067e+03    0  23.489   0.85  16.3873 
OBS:  53829.382  f NULL   2.6254e+04   1.102e+03    0  23.375   0.85  16.3878 
OBS:  53829.385  h NULL   2.4475e+04   3.876e+02    0  25.645   0.85  16.5474 
OBS:  53831.173  k NULL   1.9925e+04   3.884e+02    0  25.453   0.85  16.7274 
OBS:  53831.175  l NULL   1.1948e+04   3.083e+02    0  25.635   0.85  17.3021 
OBS:  53831.177  j NULL   2.1391e+04   3.880e+02    0  25.510   0.85  16.6961 
OBS:  53831.187  h NULL   2.1124e+04   4.228e+02    0  25.271   0.85  16.6614 
OBS:  53832.297  j NULL   2.0584e+04   3.078e+02    0  26.006   0.85  16.7388 
OBS:  53832.299  k NULL   1.9210e+04   3.222e+02    0  25.845   0.85  16.7729 
OBS:  53832.301  l NULL   1.1310e+04   2.298e+02    0  26.251   0.85  17.3614 
OBS:  53832.302  h NULL   1.9961e+04   3.524e+02    0  25.620   0.85  16.7484 
OBS:  53832.306  f NULL   2.0605e+04   8.454e+02    0  23.687   0.85  16.7602 
OBS:  53832.309  f NULL   1.9600e+04   8.176e+02    0  23.707   0.85  16.7606 
OBS:  53833.159  j NULL   1.9740e+04   2.957e+02    0  26.051   0.85  16.7783 
OBS:  53833.161  f NULL   1.7969e+04   1.055e+03    0  23.068   0.85  16.8752 
