SURVEY: Jha2006_LC(Jha2006_LC)   
SNID:   155   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SIM_Jha06 
SNTYPE:  1 
FILTERS: UBVRIfhjkl 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.011780 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.010570 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   51144.750 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  5  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.01178  
SIM_REDSHIFT_CMB:    0.01057  
SIM_REDSHIFT_HOST:   0.01178  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      33.2990  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0357   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
      (UBVRIfhjkl F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   14.21  14.36  14.19  14.18  14.56  -9.00  -9.00  -9.00  -9.00  -9.00
      (UBVRIfhjkl obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
      (UBVRIfhjkl obs)
SIM_PEAKMJD:   51143.125000  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.500   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   4.6244e-02   
SIM_SALT2x1:    1.3084   
SIM_SALT2c:     0.0633   
SIM_SALT2mB:   13.9724   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -12.73   days 
SIM_TRESTMAX:    56.32   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 155 
NVAR: 10 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  51130.250  V NULL   6.2587e+04   8.639e+03    0  19.977   0.85  15.5114 
OBS:  51131.340  B NULL   7.0686e+04   3.159e+03    0  22.164   0.85  15.3619 
OBS:  51131.340  I NULL   7.7442e+04   1.824e+03    0  23.553   0.85  15.2876 
OBS:  51131.340  R NULL   8.4795e+04   1.973e+03    0  23.420   0.85  15.1539 
OBS:  51131.340  V NULL   7.9267e+04   3.474e+03    0  22.090   0.85  15.2247 
OBS:  51132.250  I NULL   8.5809e+04   4.182e+03    0  21.838   0.85  15.1208 
OBS:  51132.250  R NULL   1.0226e+05   4.726e+03    0  21.702   0.85  14.9694 
OBS:  51132.250  V NULL   9.0926e+04   5.236e+03    0  21.353   0.85  15.0372 
OBS:  51132.250  B NULL   8.4461e+04   2.880e+03    0  22.557   0.85  15.1682 
OBS:  51133.270  R NULL   1.2221e+05   2.778e+03    0  23.065   0.85  14.7971 
OBS:  51133.270  I NULL   9.8713e+04   4.775e+03    0  21.691   0.85  14.9629 
OBS:  51133.270  B NULL   9.7395e+04   3.345e+03    0  22.387   0.85  14.9862 
OBS:  51133.270  V NULL   1.0294e+05   4.787e+03    0  21.677   0.85  14.8595 
OBS:  51133.340  R NULL   1.2213e+05   5.339e+03    0  21.627   0.85  14.7863 
OBS:  51134.300  R NULL   1.3421e+05   6.036e+03    0  21.462   0.85  14.6478 
OBS:  51135.170  V NULL   1.4457e+05   1.981e+03    0  24.059   0.85  14.5852 
OBS:  51135.170  B NULL   1.3094e+05   3.140e+03    0  22.858   0.85  14.7086 
OBS:  51135.170  R NULL   1.5158e+05   3.037e+03    0  23.117   0.85  14.5365 
OBS:  51135.170  U NULL   1.5599e+05   9.052e+03    0  20.740   0.85  14.4064 
OBS:  51135.290  V NULL   1.4160e+05   9.684e+03    0  20.504   0.85  14.5707 
OBS:  51135.290  B NULL   1.3383e+05   5.941e+03    0  21.481   0.85  14.6940 
OBS:  51136.250  I NULL   1.4970e+05   6.767e+03    0  21.361   0.85  14.6231 
OBS:  51136.250  V NULL   1.6677e+05   7.171e+03    0  21.314   0.85  14.4660 
OBS:  51136.250  B NULL   1.4771e+05   4.880e+03    0  22.016   0.85  14.5898 
OBS:  51136.250  R NULL   1.6506e+05   3.795e+03    0  22.712   0.85  14.4250 
OBS:  51136.340  R NULL   1.6540e+05   5.719e+03    0  21.804   0.85  14.4171 
OBS:  51136.340  I NULL   1.3545e+05   4.370e+03    0  22.214   0.85  14.6166 
OBS:  51136.340  B NULL   1.4242e+05   5.089e+03    0  21.886   0.85  14.5814 
OBS:  51136.340  V NULL   1.6852e+05   3.482e+03    0  22.922   0.85  14.4575 
OBS:  51136.340  U NULL   1.8199e+05   1.968e+04    0  19.283   0.85  14.2661 
OBS:  51137.220  I NULL   1.5145e+05   7.039e+03    0  21.289   0.85  14.5629 
OBS:  51137.220  B NULL   1.6870e+05   7.206e+03    0  21.311   0.85  14.5088 
OBS:  51137.220  V NULL   1.7430e+05   7.682e+03    0  21.214   0.85  14.3833 
OBS:  51137.220  R NULL   1.7237e+05   7.938e+03    0  21.137   0.85  14.3487 
OBS:  51137.270  B NULL   1.5641e+05   4.807e+03    0  22.114   0.85  14.5052 
OBS:  51137.270  I NULL   1.5242e+05   3.379e+03    0  22.911   0.85  14.5604 
OBS:  51137.270  V NULL   1.7921e+05   2.787e+03    0  23.514   0.85  14.3795 
