SURVEY: OTHER_LOWZ_LC(OTHER_LOWZ_LC)   
SNID:   256   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SIM_OTHER_LOWZ 
SNTYPE:  1 
FILTERS: UBVRIfhjkl 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.017477 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.016260 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   48641.906 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  6  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.01748  
SIM_REDSHIFT_CMB:    0.01626  
SIM_REDSHIFT_HOST:   0.01748  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      34.2435  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0163   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
      (UBVRIfhjkl F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   15.17  15.40  15.35  15.26  15.49  -9.00  -9.00  -9.00  -9.00  -9.00
      (UBVRIfhjkl obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
      (UBVRIfhjkl obs)
SIM_PEAKMJD:   48640.402344  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.500   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   1.7446e-02   
SIM_SALT2x1:   -1.6103   
SIM_SALT2c:    -0.0209   
SIM_SALT2mB:   15.0307   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 213 
NVAR: 10 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  48633.120  B NULL   3.7573e+04   6.127e+03    0  20.210   0.85  15.9238 
OBS:  48633.120  V NULL   4.1352e+04   4.460e+02    0  26.048   0.85  15.9487 
OBS:  48634.080  B NULL   4.7991e+04   7.123e+03    0  20.120   0.85  15.7604 
OBS:  48634.080  V NULL   4.8394e+04   2.740e+02    0  28.208   0.85  15.7903 
OBS:  48634.080  R NULL   5.8510e+04   6.184e+02    0  25.721   0.85  15.5926 
OBS:  48634.080  I NULL   5.9080e+04   1.315e+03    0  23.998   0.85  15.5987 
OBS:  48634.080  U NULL   1.6218e+05   8.437e+04    0  16.726   0.85  15.4366 
OBS:  48634.080  I NULL   5.7771e+04   4.486e+02    0  26.729   0.85  15.5987 
OBS:  48634.560  B NULL   5.4016e+04   7.516e+03    0  20.114   0.85  15.6944 
OBS:  48634.560  V NULL   4.9252e+04   1.818e+03    0  22.990   0.85  15.7242 
OBS:  48634.560  R NULL   6.0788e+04   2.073e+03    0  22.941   0.85  15.5350 
OBS:  48635.070  R NULL   6.5146e+04   6.955e+02    0  25.571   0.85  15.4823 
OBS:  48635.070  I NULL   6.1960e+04   3.493e+02    0  28.098   0.85  15.5103 
OBS:  48635.070  B NULL   6.2527e+04   8.362e+03    0  20.031   0.85  15.6332 
OBS:  48635.070  U NULL   1.9636e+05   9.864e+04    0  16.568   0.85  15.2968 
OBS:  48635.070  V NULL   5.4237e+04   3.094e+02    0  28.053   0.85  15.6615 
OBS:  48635.560  R NULL   6.3418e+04   2.129e+03    0  22.931   0.85  15.4401 
OBS:  48635.560  B NULL   5.6826e+04   8.660e+03    0  19.887   0.85  15.5829 
OBS:  48635.560  V NULL   5.6358e+04   1.959e+03    0  22.970   0.85  15.6084 
OBS:  48636.070  V NULL   6.0786e+04   3.419e+02    0  27.934   0.85  15.5594 
OBS:  48636.070  B NULL   5.4304e+04   8.116e+03    0  19.973   0.85  15.5383 
OBS:  48636.070  R NULL   6.9467e+04   7.309e+02    0  25.542   0.85  15.4043 
OBS:  48636.070  U NULL   6.0231e+04   9.025e+04    0  16.433   0.85  15.1996 
OBS:  48636.070  I NULL   6.6007e+04   3.681e+02    0  28.027   0.85  15.4582 
OBS:  48636.530  B NULL   5.5751e+04   8.832e+03    0  19.832   0.85  15.5041 
OBS:  48636.530  V NULL   5.9197e+04   2.065e+03    0  22.910   0.85  15.5204 
OBS:  48637.170  R NULL   7.2537e+04   4.130e+02    0  27.751   0.85  15.3468 
OBS:  48637.170  I NULL   6.7096e+04   3.766e+02    0  27.986   0.85  15.4352 
OBS:  48637.170  B NULL   6.2300e+04   9.048e+03    0  19.875   0.85  15.4654 
OBS:  48637.170  V NULL   6.4452e+04   3.677e+02    0  27.864   0.85  15.4735 
OBS:  48637.530  B NULL   6.3601e+04   9.588e+03    0  19.782   0.85  15.4474 
OBS:  48637.530  V NULL   6.9889e+04   2.279e+03    0  22.870   0.85  15.4506 
OBS:  48638.100  B NULL   7.0256e+04   9.613e+03    0  19.858   0.85  15.4240 
OBS:  48638.100  V NULL   6.8551e+04   5.500e+02    0  26.330   0.85  15.4188 
OBS:  48638.100  I NULL   6.6730e+04   7.189e+02    0  25.603   0.85  15.4327 
OBS:  48638.530  B NULL   7.0213e+04   1.008e+04    0  19.767   0.85  15.4109 
