SURVEY: OTHER_LOWZ_LC(OTHER_LOWZ_LC)   
SNID:   274   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SIM_OTHER_LOWZ 
SNTYPE:  1 
FILTERS: UBVRIfhjkl 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.019790 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.018570 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   52524.723 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  24  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.01979  
SIM_REDSHIFT_CMB:    0.01857  
SIM_REDSHIFT_HOST:   0.01979  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      34.5356  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0311   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
      (UBVRIfhjkl F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   16.12  16.11  15.90  15.75  15.95  -9.00  -9.00  -9.00  -9.00  -9.00
      (UBVRIfhjkl obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
      (UBVRIfhjkl obs)
SIM_PEAKMJD:   52524.699219  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.500   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   9.5207e-03   
SIM_SALT2x1:   -0.8677   
SIM_SALT2c:     0.1132   
SIM_SALT2mB:   15.6883   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 172 
NVAR: 10 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  52516.800  B NULL   2.2234e+04   1.437e+03    0  22.647   0.85  16.6689 
OBS:  52516.800  V NULL   2.2170e+04   1.603e+03    0  22.444   0.85  16.5247 
OBS:  52516.800  R NULL   3.4587e+04   2.237e+03    0  22.200   0.85  16.2774 
OBS:  52516.800  I NULL   3.6120e+04   2.403e+03    0  22.206   0.85  16.2361 
OBS:  52516.800  R NULL   3.0625e+04   2.156e+03    0  22.159   0.85  16.2774 
OBS:  52516.800  I NULL   3.4064e+04   2.359e+03    0  22.196   0.85  16.2361 
OBS:  52516.900  B NULL   2.0444e+04   1.382e+03    0  22.647   0.85  16.6496 
OBS:  52516.900  I NULL   2.8851e+04   2.245e+03    0  22.166   0.85  16.2202 
OBS:  52516.900  U NULL   1.6422e+04   3.770e+03    0  20.491   0.85  16.5941 
OBS:  52516.900  V NULL   2.5224e+04   1.286e+03    0  23.038   0.85  16.5065 
OBS:  52516.900  R NULL   2.9729e+04   2.138e+03    0  22.149   0.85  16.2598 
OBS:  52517.900  B NULL   2.6751e+04   1.710e+03    0  22.466   0.85  16.4803 
OBS:  52517.900  V NULL   2.9210e+04   1.473e+03    0  22.896   0.85  16.3442 
OBS:  52517.900  R NULL   3.7323e+04   1.892e+03    0  22.631   0.85  16.1059 
OBS:  52517.900  U NULL   2.9322e+04   5.696e+03    0  20.154   0.85  16.3989 
OBS:  52517.900  I NULL   3.6081e+04   2.644e+03    0  22.005   0.85  16.0837 
OBS:  52518.000  R NULL   3.2658e+04   2.411e+03    0  21.986   0.85  16.0928 
OBS:  52518.000  B NULL   2.2587e+04   1.946e+03    0  22.031   0.85  16.4659 
OBS:  52518.000  I NULL   3.4434e+04   3.275e+03    0  21.523   0.85  16.0725 
OBS:  52518.000  V NULL   2.8873e+04   1.966e+03    0  22.273   0.85  16.3301 
OBS:  52518.900  B NULL   2.8098e+04   1.881e+03    0  22.315   0.85  16.3533 
OBS:  52518.900  U NULL   3.3204e+04   3.005e+03    0  21.493   0.85  16.2606 
OBS:  52518.900  I NULL   3.7984e+04   2.884e+03    0  21.871   0.85  15.9894 
OBS:  52518.900  R NULL   3.8992e+04   2.084e+03    0  22.469   0.85  15.9919 
OBS:  52518.900  V NULL   3.6080e+04   1.748e+03    0  22.746   0.85  16.2181 
OBS:  52519.900  U NULL   3.5019e+04   2.121e+03    0  22.273   0.85  16.1637 
OBS:  52519.900  V NULL   3.5363e+04   1.832e+03    0  22.624   0.85  16.1193 
OBS:  52519.900  B NULL   3.0514e+04   1.494e+03    0  22.889   0.85  16.2581 
OBS:  52519.900  R NULL   4.4637e+04   3.095e+03    0  21.763   0.85  15.9089 
OBS:  52520.900  V NULL   3.7218e+04   1.896e+03    0  22.604   0.85  16.0432 
OBS:  52520.900  R NULL   4.2960e+04   2.289e+03    0  22.368   0.85  15.8521 
OBS:  52520.900  U NULL   3.4489e+04   2.125e+03    0  22.255   0.85  16.1017 
OBS:  52520.900  I NULL   4.3438e+04   2.397e+03    0  22.379   0.85  15.9012 
OBS:  52520.900  B NULL   3.1633e+04   1.602e+03    0  22.778   0.85  16.1896 
OBS:  52521.900  B NULL   3.6168e+04   1.758e+03    0  22.718   0.85  16.1427 
OBS:  52521.900  R NULL   5.0102e+04   2.542e+03    0  22.297   0.85  15.8129 
OBS:  52521.900  V NULL   3.8690e+04   2.006e+03    0  22.523   0.85  15.9853 
OBS:  52521.900  I NULL   4.2389e+04   2.410e+03    0  22.349   0.85  15.8954 
OBS:  52521.900  U NULL   3.7226e+04   2.257e+03    0  22.204   0.85  16.0691 
OBS:  52522.800  R NULL   4.9296e+04   2.570e+03    0  22.256   0.85  15.7847 
