SURVEY: SDSS(SDSS)   
SNID:   433   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SIM_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.206844 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.205400 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54012.750 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  33  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.20684  
SIM_REDSHIFT_CMB:    0.20540  
SIM_REDSHIFT_HOST:   0.20684  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      40.0186  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0272   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.24  20.87  20.70  20.71  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54012.984375  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.500   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   1.0523e-04   
SIM_SALT2x1:   -0.3267   
SIM_SALT2c:    -0.0342   
SIM_SALT2mB:   20.5797   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 160 
NVAR: 10 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53989.234  i NULL   2.7126e+01   2.879e+01    0  29.171   0.85  30.5145 
OBS:  53989.234  r NULL   4.8522e+00   1.991e+01    0  28.985   0.85  30.5354 
OBS:  53989.234  g NULL   1.8301e+00   1.839e+01    0  28.457   0.85  99.0000 
OBS:  53989.234  u NULL  -1.7582e+01   5.035e+01    0  25.005   0.85  31.4353 
OBS:  53993.289  g NULL  -5.9028e+00   1.655e+01    0  28.682   0.85  99.0000 
OBS:  53993.289  u NULL   4.9663e+01   4.635e+01    0  25.301   0.85  25.8402 
OBS:  53993.289  r NULL   3.8070e+01   2.095e+01    0  28.896   0.85  24.8574 
OBS:  53993.289  i NULL   1.7977e+01   2.549e+01    0  29.433   0.85  24.8368 
OBS:  53995.223  g NULL   2.9837e+01   9.517e+00    0  29.923   0.85  24.2062 
OBS:  53995.223  u NULL   8.0114e-01   2.848e+01    0  26.000   0.85  24.9918 
OBS:  53995.223  r NULL   6.2495e+01   2.024e+01    0  28.989   0.85  23.5054 
OBS:  53995.223  i NULL   1.3950e+01   2.316e+01    0  29.640   0.85  23.4860 
OBS:  53996.230  u NULL   7.5833e+01   4.759e+01    0  25.344   0.85  24.6619 
OBS:  53996.230  i NULL   4.0942e+01   2.568e+01    0  29.424   0.85  22.9960 
OBS:  53996.230  r NULL   6.9017e+01   2.069e+01    0  28.944   0.85  23.0150 
OBS:  53996.230  g NULL   3.9274e+01   1.319e+01    0  29.226   0.85  23.4597 
OBS:  53997.199  i NULL   9.5755e+00   3.892e+01    0  28.513   0.85  22.6237 
OBS:  53997.199  u NULL   4.9103e+01   3.856e+01    0  25.627   0.85  24.4009 
OBS:  53997.199  r NULL   1.0313e+02   2.357e+01    0  28.685   0.85  22.6426 
OBS:  53997.199  g NULL   6.6667e+01   1.474e+01    0  29.020   0.85  22.9600 
OBS:  53998.199  r NULL   9.8079e+01   1.996e+01    0  29.043   0.85  22.3316 
OBS:  53998.199  u NULL   1.8699e+01   2.825e+01    0  26.096   0.85  24.1091 
OBS:  53998.199  g NULL   8.9722e+01   1.278e+01    0  29.357   0.85  22.5706 
OBS:  53998.199  i NULL   9.6598e+01   3.245e+01    0  28.931   0.85  22.3127 
OBS:  54000.207  r NULL   1.8006e+02   2.843e+01    0  28.329   0.85  21.8519 
OBS:  54000.207  i NULL   2.1858e+02   4.321e+01    0  28.344   0.85  21.8322 
OBS:  54000.207  u NULL   1.2741e+01   4.079e+01    0  25.413   0.85  23.4081 
OBS:  54000.207  g NULL   1.5526e+02   1.821e+01    0  28.667   0.85  22.0032 
OBS:  54007.184  i NULL   4.0161e+02   3.750e+01    0  28.701   0.85  20.8865 
OBS:  54007.184  r NULL   4.3694e+02   2.640e+01    0  28.645   0.85  20.8938 
OBS:  54007.184  u NULL   6.1417e+01   4.954e+01    0  25.223   0.85  22.0145 
OBS:  54007.184  g NULL   4.3403e+02   1.841e+01    0  28.927   0.85  20.9638 
OBS:  54008.188  r NULL   4.3625e+02   2.766e+01    0  28.542   0.85  20.8359 
