SURVEY: SDSS(SDSS)   
SNID:   480   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SIM_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.196431 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.195000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54048.531 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  80  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.19643  
SIM_REDSHIFT_CMB:    0.19500  
SIM_REDSHIFT_HOST:   0.19643  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.8929  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0305   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.91  21.08  20.84  20.82  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54048.085938  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.500   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   8.6684e-05   
SIM_SALT2x1:   -0.2860   
SIM_SALT2c:     0.0635   
SIM_SALT2mB:   20.7902   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 48 
NVAR: 10 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54025.410  g NULL   1.9588e+00   1.153e+01    0  29.470   0.85  99.0000 
OBS:  54025.410  r NULL   4.1080e+01   1.702e+01    0  29.350   0.85  27.8322 
OBS:  54025.410  u NULL  -1.8314e+01   3.813e+01    0  25.481   0.85  29.5849 
OBS:  54025.410  i NULL   2.6511e+01   2.572e+01    0  29.416   0.85  27.8092 
OBS:  54029.344  r NULL   4.5579e+01   1.771e+01    0  29.265   0.85  24.3385 
OBS:  54029.344  i NULL  -1.4342e+01   2.329e+01    0  29.624   0.85  24.2992 
OBS:  54029.344  u NULL   1.4742e+01   3.004e+01    0  25.957   0.85  26.3111 
OBS:  54029.344  g NULL   1.9887e+01   9.470e+00    0  29.920   0.85  25.6132 
OBS:  54031.328  r NULL   3.8668e+01   2.101e+01    0  28.891   0.85  23.1929 
OBS:  54031.328  i NULL   5.4261e+01   2.365e+01    0  29.606   0.85  23.1376 
OBS:  54031.328  u NULL  -2.2623e+01   2.816e+01    0  26.010   0.85  25.4421 
OBS:  54031.328  g NULL   2.5500e+01   1.298e+01    0  29.242   0.85  23.6846 
OBS:  54036.332  r NULL   2.0645e+02   2.922e+01    0  28.285   0.85  21.7995 
OBS:  54036.332  i NULL   1.9113e+02   3.867e+01    0  28.576   0.85  21.7375 
OBS:  54036.332  u NULL   7.4272e+00   4.718e+01    0  25.143   0.85  23.7895 
OBS:  54036.332  g NULL   1.5446e+02   1.728e+01    0  28.779   0.85  21.9983 
OBS:  54039.332  r NULL   2.9234e+02   2.472e+01    0  28.703   0.85  21.3126 
OBS:  54039.332  i NULL   2.9524e+02   3.565e+01    0  28.783   0.85  21.2532 
OBS:  54039.332  g NULL   2.5744e+02   1.535e+01    0  29.151   0.85  21.4632 
OBS:  54039.332  u NULL   5.8687e+01   3.658e+01    0  25.772   0.85  23.0089 
OBS:  54041.301  r NULL   3.6509e+02   3.199e+01    0  28.184   0.85  21.1087 
OBS:  54041.301  i NULL   3.4969e+02   3.754e+01    0  28.685   0.85  21.0585 
OBS:  54041.301  g NULL   3.2606e+02   2.998e+01    0  27.766   0.85  21.2536 
OBS:  54041.301  u NULL   1.5324e+02   8.211e+01    0  24.566   0.85  22.7709 
OBS:  54048.328  g NULL   3.7000e+02   2.691e+01    0  28.042   0.85  21.0812 
OBS:  54048.328  i NULL   5.1247e+02   3.619e+01    0  28.807   0.85  20.8162 
OBS:  54048.328  u NULL   9.6670e+01   7.131e+01    0  24.704   0.85  22.9320 
OBS:  54048.328  r NULL   5.0676e+02   2.804e+01    0  28.551   0.85  20.8421 
OBS:  54052.328  g NULL   3.4052e+02   2.583e+01    0  28.103   0.85  21.2385 
OBS:  54052.328  i NULL   4.5605e+02   4.937e+01    0  28.118   0.85  20.8361 
OBS:  54052.328  u NULL   2.7301e+01   5.929e+01    0  24.827   0.85  23.3729 
OBS:  54052.328  r NULL   5.2195e+02   3.353e+01    0  28.170   0.85  20.8751 
OBS:  54055.340  g NULL   2.7181e+02   1.698e+01    0  28.945   0.85  21.4350 
