SURVEY: SDSS(SDSS)   
SNID:   508   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SIM_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.247492 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.246000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   54392.590 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  108  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.24749  
SIM_REDSHIFT_CMB:    0.24600  
SIM_REDSHIFT_HOST:   0.24749  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      40.4591  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0320   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.23  20.73  20.67  20.73  21.34  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   54390.164062  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.500   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   1.0923e-04   
SIM_SALT2x1:    1.1443   
SIM_SALT2c:    -0.1128   
SIM_SALT2mB:   20.5391   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 77 
NVAR: 10 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  54376.480  r NULL   2.6135e+02   2.471e+01    0  28.684   0.85  21.5393 
OBS:  54376.480  u NULL   2.9844e+01   5.625e+01    0  24.917   0.85  22.8590 
OBS:  54376.480  g NULL   2.1700e+02   1.915e+01    0  28.627   0.85  21.5973 
OBS:  54376.480  i NULL   2.2144e+02   3.618e+01    0  28.730   0.85  21.7234 
OBS:  54376.480  z NULL   2.5468e+02   7.767e+01    0  28.391   0.85  21.8881 
OBS:  54382.465  g NULL   4.4729e+02   1.581e+01    0  29.277   0.85  20.8399 
OBS:  54382.465  z NULL   5.1123e+02   9.257e+01    0  28.031   0.85  21.3291 
OBS:  54382.465  u NULL   2.8322e+02   6.518e+01    0  25.225   0.85  22.0488 
OBS:  54382.465  r NULL   4.5826e+02   2.599e+01    0  28.690   0.85  20.8607 
OBS:  54382.465  i NULL   4.1883e+02   3.865e+01    0  28.639   0.85  21.0163 
OBS:  54385.484  z NULL   2.6726e+02   1.021e+02    0  27.799   0.85  21.2850 
OBS:  54385.484  r NULL   4.9217e+02   2.568e+01    0  28.737   0.85  20.7275 
OBS:  54385.484  i NULL   4.2448e+02   3.815e+01    0  28.670   0.85  20.8480 
OBS:  54385.484  u NULL   7.5556e+01   4.693e+01    0  25.361   0.85  21.9750 
OBS:  54385.484  g NULL   5.1147e+02   1.631e+01    0  29.267   0.85  20.7153 
OBS:  54387.484  g NULL   5.1665e+02   1.750e+01    0  29.115   0.85  20.6992 
OBS:  54387.484  r NULL   5.7075e+02   2.817e+01    0  28.576   0.85  20.6891 
OBS:  54387.484  z NULL   2.9475e+02   9.667e+01    0  27.920   0.85  21.3087 
OBS:  54387.484  i NULL   4.1067e+02   3.768e+01    0  28.694   0.85  20.7823 
OBS:  54387.484  u NULL   9.1024e+01   6.487e+01    0  24.835   0.85  22.0302 
OBS:  54390.477  z NULL   2.9267e+02   1.427e+02    0  27.074   0.85  21.3434 
OBS:  54390.477  g NULL   4.7553e+02   2.299e+01    0  28.480   0.85  20.7407 
OBS:  54390.477  r NULL   5.4543e+02   4.198e+01    0  27.695   0.85  20.6718 
OBS:  54390.477  i NULL   4.7147e+02   5.792e+01    0  27.775   0.85  20.7294 
OBS:  54391.484  z NULL   5.3784e+01   1.638e+02    0  26.756   0.85  21.3540 
OBS:  54391.484  r NULL   5.6508e+02   3.628e+01    0  28.021   0.85  20.6762 
OBS:  54391.484  i NULL   4.2346e+02   4.974e+01    0  28.094   0.85  20.7243 
OBS:  54391.484  g NULL   5.2162e+02   2.044e+01    0  28.774   0.85  20.7702 
OBS:  54391.484  u NULL   1.2852e+02   6.640e+01    0  24.890   0.85  22.3763 
OBS:  54394.465  z NULL   5.5812e+02   1.518e+02    0  26.961   0.85  21.3762 
OBS:  54394.465  r NULL   5.1143e+02   6.235e+01    0  26.820   0.85  20.7112 
OBS:  54394.465  u NULL   2.0204e+02   2.064e+02    0  23.228   0.85  22.6534 
OBS:  54394.465  g NULL   4.2481e+02   2.279e+01    0  28.455   0.85  20.8852 
