SURVEY: SDSS(SDSS)   
SNID:   595   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SIM_SDSS 
SNTYPE:  1 
FILTERS: ugriz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.119139 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.117800 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53691.082 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  195  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.11914  
SIM_REDSHIFT_CMB:    0.11780  
SIM_REDSHIFT_HOST:   0.11914  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.6963  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0239   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.47  19.19  19.31  19.63  -9.00  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53690.019531  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.500   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   4.1768e-04   
SIM_SALT2x1:    0.0441   
SIM_SALT2c:    -0.0692   
SIM_SALT2mB:   19.0829   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 40 
NVAR: 10 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53669.262  g NULL   3.3803e+00   9.679e+00    0  29.851   0.85  26.0017 
OBS:  53669.262  r NULL   3.3113e+01   1.646e+01    0  29.417   0.85  25.2228 
OBS:  53669.262  i NULL   1.3273e+01   1.478e+01    0  30.616   0.85  25.4148 
OBS:  53669.262  u NULL  -1.6535e+01   3.077e+01    0  25.850   0.85  99.0000 
OBS:  53671.344  g NULL   2.8999e+01   1.381e+01    0  29.114   0.85  24.0183 
OBS:  53671.344  r NULL   6.0166e+01   2.842e+01    0  28.250   0.85  23.3398 
OBS:  53671.344  u NULL   1.1390e+02   7.628e+01    0  24.624   0.85  99.0000 
OBS:  53671.344  i NULL   1.8287e+01   2.932e+01    0  29.129   0.85  23.5208 
OBS:  53674.246  g NULL   2.3771e+02   1.891e+01    0  28.675   0.85  21.6021 
OBS:  53674.246  r NULL   2.3818e+02   2.307e+01    0  28.817   0.85  21.5979 
OBS:  53674.246  i NULL   1.9322e+02   3.161e+01    0  29.016   0.85  21.6779 
OBS:  53674.246  u NULL   5.2725e+01   3.858e+01    0  25.655   0.85  23.1612 
OBS:  53676.336  r NULL   4.5203e+02   2.382e+01    0  28.878   0.85  20.8588 
OBS:  53676.336  i NULL   4.1163e+02   3.042e+01    0  29.159   0.85  20.9152 
OBS:  53676.336  u NULL   1.5463e+02   6.393e+01    0  25.003   0.85  22.0615 
OBS:  53676.336  g NULL   4.9597e+02   1.768e+01    0  29.075   0.85  20.7246 
OBS:  53679.305  r NULL   8.5368e+02   3.326e+01    0  28.358   0.85  20.1967 
OBS:  53679.305  i NULL   7.7093e+02   4.154e+01    0  28.575   0.85  20.2887 
OBS:  53679.305  g NULL   9.9441e+02   2.201e+01    0  28.978   0.85  20.0102 
OBS:  53679.305  u NULL   3.6085e+02   7.001e+01    0  25.222   0.85  21.1128 
OBS:  53681.297  r NULL   1.0732e+03   3.109e+01    0  28.616   0.85  19.8603 
OBS:  53681.297  g NULL   1.3400e+03   3.131e+01    0  28.399   0.85  19.6635 
OBS:  53681.297  i NULL   1.0069e+03   3.555e+01    0  28.977   0.85  19.9880 
OBS:  53681.297  u NULL   4.9935e+02   6.733e+01    0  25.505   0.85  20.6464 
OBS:  53685.258  r NULL   1.7511e+03   6.365e+01    0  27.296   0.85  19.4651 
OBS:  53685.258  g NULL   1.9626e+03   6.128e+01    0  27.200   0.85  19.2802 
OBS:  53685.258  i NULL   1.3028e+03   5.960e+01    0  27.914   0.85  19.6956 
OBS:  53685.258  u NULL   7.7008e+02   1.802e+02    0  23.901   0.85  20.2779 
OBS:  53697.254  r NULL   1.6825e+03   3.004e+01    0  28.963   0.85  19.4176 
OBS:  53697.254  g NULL   1.6028e+03   2.642e+01    0  28.937   0.85  19.4879 
OBS:  53697.254  i NULL   1.2647e+03   3.507e+01    0  29.073   0.85  19.7837 
OBS:  53697.254  u NULL   3.0889e+02   6.267e+01    0  25.351   0.85  21.3148 
OBS:  53700.250  r NULL   1.4550e+03   3.458e+01    0  28.545   0.85  19.5618 
OBS:  53700.250  g NULL   1.3632e+03   2.952e+01    0  28.541   0.85  19.7108 
OBS:  53700.250  i NULL   1.0189e+03   4.070e+01    0  28.682   0.85  19.9953 
OBS:  53700.250  u NULL   2.1273e+01   7.987e+01    0  24.351   0.85  21.6894 
OBS:  53705.238  r NULL   1.1266e+03   2.744e+01    0  28.918   0.85  19.8496 
OBS:  53705.238  g NULL   8.0833e+02   2.072e+01    0  28.983   0.85  20.1874 
OBS:  53705.238  i NULL   7.3561e+02   3.449e+01    0  28.974   0.85  20.2459 
OBS:  53705.238  u NULL   1.7162e+02   6.902e+01    0  24.907   0.85  22.3419 
END_PHOTOMETRY: 

# ============================================= 
NSPECTRA:  0 

NVAR_SPEC: 6 
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR   SIM_GENFLAM SIM_GENMAG  

