SURVEY: SNLS3_LC(SNLS3_LC)   
SNID:   687   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SIM_SNLS3 
SNTYPE:  1 
FILTERS: griz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.553859 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.552000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53136.699 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  37  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.55386  
SIM_REDSHIFT_CMB:    0.55200  
SIM_REDSHIFT_HOST:   0.55386  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      42.5102  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0177   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (griz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   24.67  23.21  23.12  23.10  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   53137.171875  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.500   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   7.7607e-06   
SIM_SALT2x1:   -0.5681   
SIM_SALT2c:     0.0530   
SIM_SALT2mB:   23.4102   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -17.82   days 
SIM_TRESTMAX:    58.61   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 60 
NVAR: 10 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53109.490  i NULL   2.6439e-01   1.453e+00    0  35.791   0.85  29.2411 
OBS:  53109.540  r NULL   1.9861e+00   1.164e+00    0  35.192   0.85  99.0000 
OBS:  53109.580  g NULL   1.3103e-01   1.194e+00    0  34.546   0.85  99.0000 
OBS:  53112.530  i NULL   2.8353e+00   1.547e+00    0  35.654   0.85  27.3305 
OBS:  53116.500  i NULL   9.0680e+00   1.863e+00    0  35.253   0.85  25.3483 
OBS:  53117.440  i NULL   1.0914e+01   2.514e+00    0  34.602   0.85  25.0806 
OBS:  53117.460  r NULL   8.0251e+00   1.204e+00    0  35.125   0.85  25.1547 
OBS:  53117.480  g NULL   2.0784e+00   9.760e-01    0  34.986   0.85  27.0244 
OBS:  53121.410  r NULL   1.9011e+01   1.098e+00    0  35.339   0.85  24.2734 
OBS:  53121.490  i NULL   1.7718e+01   1.713e+00    0  35.440   0.85  24.2502 
OBS:  53121.510  g NULL   4.4979e+00   8.566e-01    0  35.272   0.85  25.7303 
OBS:  53123.420  i NULL   2.1453e+01   1.619e+00    0  35.567   0.85  23.9526 
OBS:  53123.450  r NULL   2.4897e+01   1.580e+00    0  34.551   0.85  23.9491 
OBS:  53123.490  z NULL   2.7059e+01   4.291e+00    0  34.652   0.85  23.9114 
OBS:  53134.290  i NULL   5.3705e+01   1.509e+00    0  35.752   0.85  23.1484 
OBS:  53134.340  r NULL   5.1608e+01   1.143e+00    0  35.313   0.85  23.2097 
OBS:  53134.380  z NULL   5.9469e+01   4.558e+00    0  34.526   0.85  23.1472 
OBS:  53138.410  i NULL   6.2503e+01   2.171e+00    0  34.949   0.85  23.1208 
OBS:  53138.430  r NULL   5.0271e+01   1.228e+00    0  35.150   0.85  23.2252 
OBS:  53138.460  g NULL   1.4625e+01   1.013e+00    0  34.923   0.85  24.7520 
OBS:  53146.430  i NULL   4.7455e+01   2.170e+00    0  34.943   0.85  23.2726 
OBS:  53146.460  r NULL   3.7463e+01   1.267e+00    0  35.053   0.85  23.5443 
OBS:  53146.490  g NULL   6.7171e+00   9.631e-01    0  35.021   0.85  25.4123 
OBS:  53149.260  i NULL   3.9147e+01   3.264e+00    0  34.047   0.85  23.3636 
OBS:  53149.310  r NULL   3.1892e+01   1.176e+00    0  35.208   0.85  23.7226 
OBS:  53149.330  g NULL   6.5541e+00   7.931e-01    0  35.443   0.85  25.6799 
OBS:  53151.330  z NULL   4.6227e+01   4.115e+00    0  34.747   0.85  23.3877 
OBS:  53151.380  i NULL   4.0631e+01   2.740e+00    0  34.428   0.85  23.4422 
OBS:  53151.450  r NULL   2.7713e+01   1.784e+00    0  34.288   0.85  23.8755 
OBS:  53165.340  i NULL   1.8654e+01   1.550e+00    0  35.659   0.85  24.2061 
OBS:  53165.390  r NULL   8.3274e+00   9.161e-01    0  35.719   0.85  25.0870 
OBS:  53165.410  g NULL   2.0759e+00   8.477e-01    0  35.292   0.85  27.0780 
OBS:  53169.350  i NULL   1.7755e+01   1.709e+00    0  35.445   0.85  24.4542 
OBS:  53169.380  r NULL   6.8375e+00   1.325e+00    0  34.914   0.85  25.3814 
OBS:  53169.430  z NULL   3.4843e+01   5.563e+00    0  34.089   0.85  23.8711 
OBS:  53175.330  i NULL   1.0049e+01   1.668e+00    0  35.494   0.85  24.8012 
OBS:  53175.360  r NULL   6.6930e+00   1.123e+00    0  35.274   0.85  25.7400 
OBS:  53175.380  g NULL   7.5794e-01   7.223e-01    0  35.638   0.85  27.9091 
OBS:  53177.380  z NULL   1.9729e+01   3.808e+00    0  34.911   0.85  24.1176 
OBS:  53178.310  i NULL   1.0356e+01   1.854e+00    0  35.265   0.85  24.9690 
OBS:  53178.350  r NULL   3.8583e+00   9.872e-01    0  35.552   0.85  25.8976 
OBS:  53178.370  g NULL   1.6450e+00   9.747e-01    0  34.988   0.85  28.0276 
OBS:  53182.290  i NULL   9.1781e+00   1.615e+00    0  35.564   0.85  25.1596 
OBS:  53182.320  r NULL   1.5875e+00   1.521e+00    0  34.611   0.85  26.0798 
OBS:  53182.360  z NULL   1.7493e+01   3.404e+00    0  35.154   0.85  24.3069 
OBS:  53193.340  i NULL   5.5949e+00   1.434e+00    0  35.821   0.85  25.5249 
OBS:  53193.380  r NULL   3.4529e+00   1.820e+00    0  34.223   0.85  26.4299 
OBS:  53195.340  g NULL  -2.0851e-01   6.566e-01    0  35.844   0.85  28.4842 
OBS:  53197.290  i NULL   7.2744e+00   1.493e+00    0  35.734   0.85  25.6194 
OBS:  53197.340  r NULL   1.8582e+00   1.093e+00    0  35.330   0.85  26.4979 
OBS:  53198.260  i NULL   2.4229e+00   1.651e+01    0  30.513   0.85  25.6401 
