SURVEY: SNLS3_LC(SNLS3_LC)   
SNID:   762   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SIM_SNLS3 
SNTYPE:  1 
FILTERS: griz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.304560 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.303000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53956.230 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  112  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.30456  
SIM_REDSHIFT_CMB:    0.30300  
SIM_REDSHIFT_HOST:   0.30456  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      40.9759  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0238   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (griz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.16  20.97  21.14  21.51  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   53956.898438  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.500   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   7.2678e-05   
SIM_SALT2x1:    0.5380   
SIM_SALT2c:    -0.1583   
SIM_SALT2mB:   20.9815   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -16.41   days 
SIM_TRESTMAX:    57.06   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 56 
NVAR: 10 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53935.490  r NULL   1.0676e+01   2.981e+00    0  33.157   0.85  24.6572 
OBS:  53935.520  i NULL   1.1189e+01   2.485e+00    0  34.628   0.85  24.6455 
OBS:  53935.560  g NULL   7.2679e+00   1.674e+00    0  33.821   0.85  25.5884 
OBS:  53935.590  z NULL   8.9728e+00   4.078e+00    0  34.761   0.85  24.7755 
OBS:  53939.480  i NULL   6.7206e+01   2.396e+00    0  34.739   0.85  22.9232 
OBS:  53939.500  r NULL   8.1409e+01   1.647e+00    0  34.548   0.85  22.7189 
OBS:  53939.520  g NULL   6.4100e+01   1.357e+00    0  34.390   0.85  22.9995 
OBS:  53943.430  i NULL   1.4456e+02   1.568e+00    0  35.880   0.85  22.0866 
OBS:  53943.500  r NULL   1.8579e+02   1.731e+00    0  34.741   0.85  21.8435 
OBS:  53943.520  g NULL   1.6166e+02   1.593e+00    0  34.350   0.85  21.9937 
OBS:  53943.550  z NULL   1.2717e+02   3.474e+00    0  35.151   0.85  22.2087 
OBS:  53946.450  g NULL   2.4493e+02   2.294e+00    0  33.673   0.85  21.5352 
OBS:  53946.470  r NULL   2.6922e+02   2.042e+00    0  34.619   0.85  21.4375 
OBS:  53946.510  z NULL   1.8191e+02   4.896e+00    0  34.410   0.85  21.8431 
OBS:  53946.580  i NULL   2.2235e+02   5.782e+00    0  32.878   0.85  21.6518 
OBS:  53963.400  i NULL   3.3052e+02   2.675e+00    0  34.976   0.85  21.1927 
OBS:  53963.430  r NULL   3.5871e+02   2.903e+00    0  33.862   0.85  21.0978 
OBS:  53963.450  g NULL   2.6344e+02   2.528e+00    0  33.466   0.85  21.4513 
OBS:  53963.480  z NULL   2.3618e+02   3.927e+00    0  34.949   0.85  21.5574 
OBS:  53967.390  i NULL   2.9924e+02   2.356e+00    0  35.233   0.85  21.3418 
OBS:  53967.410  r NULL   3.1247e+02   2.280e+00    0  34.480   0.85  21.2566 
OBS:  53967.430  g NULL   2.1040e+02   1.800e+00    0  34.236   0.85  21.7002 
OBS:  53970.380  i NULL   2.5225e+02   2.073e+00    0  35.494   0.85  21.4865 
OBS:  53970.410  r NULL   2.7271e+02   2.244e+00    0  34.345   0.85  21.4070 
OBS:  53970.460  g NULL   1.7455e+02   1.507e+00    0  34.565   0.85  21.9239 
OBS:  53972.360  z NULL   1.6199e+02   7.560e+00    0  33.442   0.85  22.0165 
OBS:  53973.470  z NULL   1.5284e+02   3.015e+00    0  35.486   0.85  22.0601 
OBS:  53975.390  i NULL   2.0637e+02   2.084e+00    0  35.302   0.85  21.7265 
OBS:  53975.410  r NULL   2.0628e+02   1.760e+00    0  34.795   0.85  21.7151 
OBS:  53975.430  g NULL   1.1003e+02   1.424e+00    0  34.430   0.85  22.3959 
OBS:  53979.360  i NULL   1.8638e+02   1.546e+00    0  36.087   0.85  21.8366 
OBS:  53979.400  r NULL   1.6227e+02   1.712e+00    0  34.688   0.85  21.9694 
OBS:  53979.420  g NULL   7.5366e+01   1.220e+00    0  34.675   0.85  22.8056 
OBS:  53979.450  z NULL   1.3877e+02   3.833e+00    0  34.936   0.85  22.1392 
