SURVEY: SNLS3_LC(SNLS3_LC)   
SNID:   673   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SNLS3_NOSPEC 
SNTYPE:  1 
FILTERS: griz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.611934 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.610000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   52903.641 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  33  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.61193  
SIM_REDSHIFT_CMB:    0.61000  
SIM_REDSHIFT_HOST:   0.61193  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      42.7719  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0272   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.046  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (griz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   27.26  24.65  24.16  23.96  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   52904.351562  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   2.5341e-06   
SIM_SALT2x1:    0.1535   
SIM_SALT2c:     0.4000   
SIM_SALT2mB:   24.6255   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -19.78   days 
SIM_TRESTMAX:    35.92   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 39 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  52872.460  i NULL   5.2537e-01   1.144e+00    0  36.310   0.85  34.9112 
OBS:  52873.400  g NULL  -1.0996e+00   8.061e-01    0  35.399   0.85  99.0000 
OBS:  52876.420  g NULL   1.8448e-01   7.400e-01    0  35.584   0.85  99.0000 
OBS:  52876.450  r NULL  -1.0495e-01   2.147e+00    0  33.861   0.85  30.5761 
OBS:  52876.480  i NULL  -9.1483e-01   1.210e+00    0  36.188   0.85  28.8288 
OBS:  52880.380  i NULL   3.1621e+00   2.227e+00    0  34.864   0.85  26.8753 
OBS:  52880.430  g NULL   1.2723e+00   1.019e+00    0  34.892   0.85  30.5684 
OBS:  52881.380  i NULL   1.5507e+00   3.191e+00    0  34.082   0.85  26.4982 
OBS:  52885.460  i NULL   7.3942e+00   1.492e+00    0  35.735   0.85  25.4871 
OBS:  52885.500  r NULL   4.6982e+00   1.515e+00    0  34.622   0.85  25.9690 
OBS:  52886.390  z NULL   1.0502e+01   4.892e+00    0  34.365   0.85  25.1451 
OBS:  52900.350  g NULL   1.0372e+00   1.307e+00    0  34.350   0.85  27.0989 
OBS:  52900.380  i NULL   2.1466e+01   1.769e+00    0  35.371   0.85  24.1916 
OBS:  52900.420  r NULL   1.4849e+01   1.773e+00    0  34.289   0.85  24.6521 
OBS:  52900.450  z NULL   3.9669e+01   5.308e+00    0  34.191   0.85  24.0169 
OBS:  52904.400  g NULL  -3.4050e-01   1.246e+00    0  34.454   0.85  27.2671 
OBS:  52908.270  i NULL   2.0945e+01   2.325e+00    0  34.777   0.85  24.1977 
OBS:  52908.340  r NULL   1.1659e+01   3.341e+00    0  32.910   0.85  24.7314 
OBS:  52908.350  g NULL   2.3294e+00   1.453e+00    0  34.122   0.85  27.5414 
OBS:  52908.380  z NULL   1.6672e+01   5.537e+00    0  34.097   0.85  23.9521 
OBS:  52913.300  i NULL   1.6827e+01   1.701e+00    0  35.456   0.85  24.3223 
OBS:  52916.270  r NULL   5.4720e+00   3.494e+00    0  32.808   0.85  25.0699 
OBS:  52929.340  i NULL   5.2412e+00   2.136e+00    0  34.955   0.85  25.0872 
OBS:  52930.310  r NULL   7.0163e+00   2.150e+00    0  33.864   0.85  26.1205 
OBS:  52934.320  i NULL   4.9002e+00   2.194e+00    0  34.897   0.85  25.3635 
OBS:  52934.350  r NULL   3.1046e+00   1.400e+00    0  34.792   0.85  26.4424 
OBS:  52934.380  g NULL   1.4225e+00   9.268e-01    0  35.097   0.85  29.6877 
OBS:  52938.260  i NULL   4.5040e+00   1.496e+00    0  35.729   0.85  25.5949 
OBS:  52938.300  g NULL  -2.8702e-01   1.640e+00    0  33.856   0.85  30.0714 
OBS:  52938.340  r NULL   3.4029e+00   1.665e+00    0  34.416   0.85  26.7274 
OBS:  52939.270  r NULL  -7.1802e-01   2.414e+00    0  33.607   0.85  26.7859 
OBS:  52939.290  z NULL   1.5252e+01   6.304e+00    0  33.815   0.85  24.8310 
OBS:  52940.210  z NULL   1.0855e+01   7.964e+00    0  33.307   0.85  24.8588 
OBS:  52942.220  i NULL   8.4413e-01   3.329e+00    0  33.990   0.85  25.8195 
OBS:  52942.260  g NULL   9.8499e-01   1.126e+00    0  34.673   0.85  30.4685 
OBS:  52942.290  r NULL   1.0686e+00   2.609e+00    0  33.439   0.85  26.9722 
OBS:  52942.320  z NULL   9.6315e+00   8.125e+00    0  33.264   0.85  24.9247 
OBS:  52962.210  r NULL  -2.7115e+00   3.512e+00    0  32.793   0.85  27.8224 
OBS:  52962.260  i NULL   1.6911e+00   2.029e+00    0  35.066   0.85  26.6480 
END_PHOTOMETRY: 

# ============================================= 
NSPECTRA:  0 

NVAR_SPEC: 6 
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR   SIM_GENFLAM SIM_GENMAG  

