SURVEY: SNLS3_LC(SNLS3_LC)   
SNID:   679   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SNLS3_NOSPEC 
SNTYPE:  1 
FILTERS: griz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.212455 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.211000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53231.969 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  41  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.21246  
SIM_REDSHIFT_CMB:    0.21100  
SIM_REDSHIFT_HOST:   0.21246  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      40.0839  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0180   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:     -0.217  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (griz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.75  21.32  21.11  -9.00  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   53230.664062  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   3.4961e-05   
SIM_SALT2x1:    1.3066   
SIM_SALT2c:     0.4000   
SIM_SALT2mB:   21.7760   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -19.02   days 
SIM_TRESTMAX:    57.51   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 43 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53207.600  r NULL  -7.8513e-01   1.048e+00    0  35.419   0.85  27.3808 
OBS:  53210.600  i NULL   1.8661e+01   1.500e+00    0  35.730   0.85  24.2379 
OBS:  53227.580  i NULL   3.5213e+02   2.893e+00    0  34.761   0.85  21.1623 
OBS:  53227.610  r NULL   2.8541e+02   2.859e+00    0  33.676   0.85  21.3563 
OBS:  53229.590  g NULL   2.0323e+02   2.263e+00    0  33.568   0.85  21.7402 
OBS:  53231.560  i NULL   3.6301e+02   3.239e+00    0  34.468   0.85  21.1050 
OBS:  53231.580  r NULL   2.9462e+02   2.751e+00    0  33.812   0.85  21.3194 
OBS:  53231.600  g NULL   1.9633e+02   2.277e+00    0  33.534   0.85  21.7718 
OBS:  53234.600  i NULL   3.6852e+02   2.824e+00    0  34.894   0.85  21.1069 
OBS:  53236.570  r NULL   2.8190e+02   2.780e+00    0  33.738   0.85  21.3805 
OBS:  53236.590  g NULL   1.7013e+02   2.012e+00    0  33.771   0.85  21.9245 
OBS:  53239.530  i NULL   3.2262e+02   2.765e+00    0  34.829   0.85  21.2402 
OBS:  53239.570  r NULL   2.6192e+02   2.591e+00    0  33.876   0.85  21.4620 
OBS:  53253.530  i NULL   1.9864e+02   1.776e+00    0  35.736   0.85  21.7537 
OBS:  53253.580  r NULL   1.4748e+02   2.077e+00    0  34.150   0.85  22.0850 
OBS:  53257.510  i NULL   1.8599e+02   1.831e+00    0  35.608   0.85  21.8135 
OBS:  53257.550  r NULL   1.2354e+02   1.621e+00    0  34.696   0.85  22.2621 
OBS:  53257.570  g NULL   3.5746e+01   9.102e-01    0  35.214   0.85  23.5832 
OBS:  53261.480  i NULL   1.8187e+02   1.975e+00    0  35.393   0.85  21.8265 
OBS:  53261.500  r NULL   1.0686e+02   1.461e+00    0  34.900   0.85  22.4203 
OBS:  53261.520  g NULL   2.6112e+01   7.239e-01    0  35.695   0.85  23.9025 
OBS:  53265.590  r NULL   9.5542e+01   3.064e+00    0  33.173   0.85  22.5901 
OBS:  53266.520  i NULL   1.7190e+02   2.000e+00    0  35.318   0.85  21.9254 
OBS:  53266.550  r NULL   8.6572e+01   1.576e+00    0  34.664   0.85  22.6361 
OBS:  53266.570  g NULL   2.5912e+01   3.249e+00    0  32.403   0.85  24.2411 
OBS:  53267.530  g NULL   1.8898e+01   9.378e-01    0  35.101   0.85  24.2978 
OBS:  53270.530  i NULL   1.4374e+02   1.492e+00    0  36.002   0.85  22.1121 
OBS:  53270.560  r NULL   7.6770e+01   1.486e+00    0  34.767   0.85  22.8461 
OBS:  53282.460  i NULL   8.6504e+01   1.547e+00    0  35.747   0.85  22.6761 
OBS:  53282.500  r NULL   4.0408e+01   1.889e+00    0  34.179   0.85  23.3929 
OBS:  53287.430  i NULL   7.2855e+01   1.476e+00    0  35.831   0.85  22.8509 
OBS:  53287.460  r NULL   4.0388e+01   1.293e+00    0  35.012   0.85  23.5008 
OBS:  53287.480  g NULL   9.3698e+00   7.193e-01    0  35.662   0.85  24.9392 
OBS:  53292.430  i NULL   7.4293e+01   9.152e+00    0  31.814   0.85  22.9802 
OBS:  53293.390  i NULL   6.2819e+01   1.813e+00    0  35.354   0.85  23.0057 
OBS:  53293.430  r NULL   3.8645e+01   1.731e+00    0  34.367   0.85  23.5541 
OBS:  53293.550  g NULL   8.9625e+00   8.636e-01    0  35.262   0.85  25.0553 
OBS:  53296.500  i NULL   5.9376e+01   9.439e+00    0  31.743   0.85  23.0882 
OBS:  53297.360  r NULL   3.6735e+01   1.592e+00    0  34.548   0.85  23.5889 
OBS:  53297.380  i NULL   5.4667e+01   1.982e+00    0  35.148   0.85  23.1115 
