SURVEY: SNLS3_LC(SNLS3_LC)   
SNID:   704   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SNLS3_NOSPEC 
SNTYPE:  1 
FILTERS: griz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.349620 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.348000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53365.883 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  81  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.34962  
SIM_REDSHIFT_CMB:    0.34800  
SIM_REDSHIFT_HOST:   0.34962  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      41.3240  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0271   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.147  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (griz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   24.15  23.19  22.91  22.85  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   53367.250000  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   9.2123e-06   
SIM_SALT2x1:   -0.1794   
SIM_SALT2c:     0.4000   
SIM_SALT2mB:   23.2241   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -13.09   days 
SIM_TRESTMAX:    58.60   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 46 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53349.580  i NULL   1.2241e+01   1.649e+00    0  35.520   0.85  24.8240 
OBS:  53349.620  r NULL   1.1979e+01   1.827e+00    0  34.221   0.85  25.1333 
OBS:  53349.650  g NULL   3.5755e+00   9.444e-01    0  35.059   0.85  26.1714 
OBS:  53350.560  z NULL   1.9811e+01   2.928e+00    0  35.482   0.85  24.2635 
OBS:  53352.540  i NULL   1.8820e+01   1.907e+00    0  35.208   0.85  24.1355 
OBS:  53352.580  r NULL   1.8817e+01   2.338e+00    0  33.690   0.85  24.3925 
OBS:  53352.600  g NULL   6.9420e+00   9.174e-01    0  35.127   0.85  25.3233 
OBS:  53352.640  z NULL   3.0718e+01   4.747e+00    0  34.433   0.85  23.8361 
OBS:  53355.590  i NULL   3.6498e+01   2.082e+00    0  35.025   0.85  23.6315 
OBS:  53355.630  r NULL   2.7136e+01   1.939e+00    0  34.107   0.85  23.8754 
OBS:  53355.640  g NULL   1.2004e+01   9.396e-01    0  35.084   0.85  24.7471 
OBS:  53357.620  i NULL   4.0808e+01   4.235e+00    0  33.480   0.85  23.3677 
OBS:  53358.520  i NULL   5.0788e+01   2.155e+00    0  34.959   0.85  23.2788 
OBS:  53358.560  r NULL   3.5661e+01   2.325e+00    0  33.719   0.85  23.5207 
OBS:  53358.600  z NULL   5.8530e+01   3.861e+00    0  34.889   0.85  23.0789 
OBS:  53374.610  i NULL   6.2514e+01   2.408e+00    0  34.726   0.85  22.9627 
OBS:  53374.650  r NULL   4.6210e+01   4.393e+00    0  32.340   0.85  23.3768 
OBS:  53375.590  r NULL   4.4582e+01   1.653e+00    0  34.474   0.85  23.4175 
OBS:  53375.620  z NULL   6.2883e+01   3.452e+00    0  35.135   0.85  22.9832 
OBS:  53375.650  g NULL   1.2179e+01   1.645e+00    0  33.865   0.85  24.5744 
OBS:  53378.460  i NULL   6.0636e+01   2.851e+00    0  34.351   0.85  23.1002 
OBS:  53385.520  g NULL   6.9586e+00   9.756e-01    0  34.993   0.85  25.4471 
OBS:  53385.550  i NULL   4.3687e+01   1.542e+00    0  35.691   0.85  23.4066 
OBS:  53385.590  r NULL   2.4858e+01   2.009e+00    0  34.026   0.85  24.0249 
OBS:  53390.430  i NULL   3.9469e+01   2.184e+00    0  34.922   0.85  23.5757 
OBS:  53390.470  r NULL   1.5639e+01   2.017e+00    0  34.010   0.85  24.3743 
OBS:  53390.510  z NULL   4.5163e+01   3.350e+00    0  35.193   0.85  23.5119 
OBS:  53390.540  g NULL   3.0033e+00   1.024e+00    0  34.883   0.85  25.9647 
OBS:  53408.440  i NULL   1.9312e+01   2.138e+00    0  34.958   0.85  24.2306 
OBS:  53408.470  r NULL   6.2998e+00   1.667e+00    0  34.416   0.85  25.5085 
OBS:  53408.490  g NULL   2.2394e+00   9.537e-01    0  35.036   0.85  27.2512 
OBS:  53411.480  i NULL   1.9005e+01   1.419e+00    0  35.850   0.85  24.3737 
OBS:  53411.520  r NULL   5.5449e+00   1.554e+00    0  34.568   0.85  25.6455 
OBS:  53411.550  z NULL   2.4018e+01   3.764e+00    0  34.936   0.85  24.0728 
