SURVEY: SNLS3_LC(SNLS3_LC)   
SNID:   671   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SNLS3 
SNTYPE:  1 
FILTERS: griz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.561868 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.560000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53259.512 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  21  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.56187  
SIM_REDSHIFT_CMB:    0.56000  
SIM_REDSHIFT_HOST:   0.56187  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      42.5478  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0247   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (griz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   24.81  23.29  23.14  23.08  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   53260.050781  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   7.8802e-06   
SIM_SALT2x1:    0.2698   
SIM_SALT2c:     0.0802   
SIM_SALT2mB:   23.3937   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -19.50   days 
SIM_TRESTMAX:    59.74   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 73 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53229.590  g NULL  -7.6369e-01   4.211e-01    0  36.808   0.85  99.0000 
OBS:  53231.560  i NULL  -2.4107e+00   1.219e+00    0  36.172   0.85  28.6593 
OBS:  53231.580  r NULL   1.3295e+00   8.860e-01    0  35.785   0.85  29.3570 
OBS:  53231.600  g NULL   6.0697e-01   5.224e-01    0  36.341   0.85  99.0000 
OBS:  53234.600  i NULL   2.5056e+00   8.919e-01    0  36.851   0.85  26.9249 
OBS:  53236.570  r NULL   2.3549e+00   1.162e+00    0  35.197   0.85  26.2291 
OBS:  53236.590  g NULL   7.7260e-01   5.752e-01    0  36.132   0.85  28.3830 
OBS:  53239.530  i NULL   9.6732e+00   1.494e+00    0  35.734   0.85  24.9082 
OBS:  53239.570  r NULL   1.0026e+01   1.680e+00    0  34.402   0.85  25.0553 
OBS:  53239.610  z NULL   1.0478e+01   4.832e+00    0  34.392   0.85  24.8261 
OBS:  53240.560  z NULL   1.7910e+01   5.882e+00    0  33.966   0.85  24.6171 
OBS:  53253.530  i NULL   4.9695e+01   1.194e+00    0  36.270   0.85  23.2545 
OBS:  53253.580  r NULL   4.6618e+01   1.944e+00    0  34.121   0.85  23.3524 
OBS:  53253.610  z NULL   4.9777e+01   5.003e+00    0  34.322   0.85  23.2144 
OBS:  53256.500  z NULL   5.6074e+01   5.391e+00    0  34.161   0.85  23.1299 
OBS:  53257.510  i NULL   5.3611e+01   1.352e+00    0  35.998   0.85  23.1563 
OBS:  53257.550  r NULL   4.8734e+01   1.406e+00    0  34.842   0.85  23.2798 
OBS:  53257.570  g NULL   1.3993e+01   8.302e-01    0  35.356   0.85  24.7031 
OBS:  53261.480  i NULL   5.3674e+01   1.632e+00    0  35.578   0.85  23.1462 
OBS:  53261.500  r NULL   4.7404e+01   1.578e+00    0  34.583   0.85  23.3098 
OBS:  53261.530  g NULL   1.2684e+01   6.520e-01    0  35.880   0.85  24.8923 
OBS:  53265.590  r NULL   4.5919e+01   2.915e+00    0  33.234   0.85  23.4225 
OBS:  53266.520  i NULL   5.1422e+01   1.658e+00    0  35.539   0.85  23.2147 
OBS:  53266.550  r NULL   4.0067e+01   1.513e+00    0  34.666   0.85  23.4589 
OBS:  53266.570  g NULL   6.2949e+00   1.844e+00    0  33.609   0.85  25.2543 
OBS:  53267.530  g NULL   7.3061e+00   8.225e-01    0  35.365   0.85  25.3327 
OBS:  53270.530  i NULL   4.7268e+01   1.127e+00    0  36.396   0.85  23.3139 
OBS:  53270.560  r NULL   3.6147e+01   1.642e+00    0  34.479   0.85  23.6371 
OBS:  53270.600  z NULL   5.2684e+01   3.244e+00    0  35.267   0.85  23.1810 
OBS:  53282.460  i NULL   3.0232e+01   1.281e+00    0  36.084   0.85  23.8111 
OBS:  53282.500  r NULL   1.6033e+01   2.012e+00    0  34.015   0.85  24.4636 
OBS:  53282.540  z NULL   2.7440e+01   3.884e+00    0  34.870   0.85  23.6031 
OBS:  53286.540  z NULL   3.3912e+01   4.166e+00    0  34.717   0.85  23.6959 
OBS:  53287.430  i NULL   2.2616e+01   1.399e+00    0  35.884   0.85  24.0730 
