SURVEY: SNLS3_LC(SNLS3_LC)   
SNID:   704   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SNLS3 
SNTYPE:  1 
FILTERS: griz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.264512 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.263000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53718.730 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  54  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.26451  
SIM_REDSHIFT_CMB:    0.26300  
SIM_REDSHIFT_HOST:   0.26451  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      40.6239  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0265   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (griz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.17  21.05  21.14  21.65  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   53718.046875  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   7.0041e-05   
SIM_SALT2x1:    1.4490   
SIM_SALT2c:    -0.0111   
SIM_SALT2mB:   21.0216   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -15.49   days 
SIM_TRESTMAX:    40.51   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 34 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53698.460  r NULL   3.5045e+01   1.415e+00    0  34.806   0.85  23.5988 
OBS:  53699.290  i NULL   5.0830e+01   1.369e+00    0  35.964   0.85  23.2588 
OBS:  53699.320  g NULL   4.2569e+01   8.045e-01    0  35.520   0.85  23.4038 
OBS:  53699.350  z NULL   4.1765e+01   2.436e+00    0  35.889   0.85  23.4474 
OBS:  53702.290  i NULL   1.1054e+02   2.366e+00    0  34.809   0.85  22.3951 
OBS:  53702.340  r NULL   1.3141e+02   1.560e+00    0  34.816   0.85  22.2028 
OBS:  53702.390  g NULL   1.1948e+02   1.187e+00    0  34.939   0.85  22.3245 
OBS:  53705.300  i NULL   1.7435e+02   1.556e+00    0  36.017   0.85  21.8977 
OBS:  53705.330  r NULL   2.1542e+02   1.909e+00    0  34.577   0.85  21.6894 
OBS:  53705.350  g NULL   1.9255e+02   1.630e+00    0  34.461   0.85  21.7768 
OBS:  53705.390  z NULL   1.5719e+02   2.293e+00    0  36.133   0.85  22.0234 
OBS:  53711.290  i NULL   2.9659e+02   2.993e+00    0  34.537   0.85  21.3338 
OBS:  53711.360  r NULL   3.4678e+02   3.265e+00    0  33.453   0.85  21.1584 
OBS:  53726.280  i NULL   3.1876e+02   2.641e+00    0  34.966   0.85  21.2437 
OBS:  53726.320  r NULL   3.3461e+02   2.709e+00    0  33.994   0.85  21.1782 
OBS:  53726.340  g NULL   2.4650e+02   2.072e+00    0  34.015   0.85  21.4894 
OBS:  53726.380  z NULL   1.9837e+02   3.679e+00    0  35.071   0.85  21.7304 
OBS:  53730.320  i NULL   2.6589e+02   3.135e+00    0  34.367   0.85  21.4283 
OBS:  53730.350  r NULL   2.9953e+02   2.819e+00    0  33.745   0.85  21.3179 
OBS:  53730.370  g NULL   2.0477e+02   3.776e+00    0  32.329   0.85  21.7210 
OBS:  53731.320  g NULL   1.9053e+02   1.784e+00    0  34.182   0.85  21.7869 
OBS:  53734.250  i NULL   2.2228e+02   1.976e+00    0  35.506   0.85  21.6444 
OBS:  53734.280  g NULL   1.5246e+02   1.281e+00    0  34.945   0.85  22.0389 
OBS:  53734.310  r NULL   2.4835e+02   2.272e+00    0  34.216   0.85  21.5043 
OBS:  53734.340  z NULL   1.3320e+02   3.995e+00    0  34.839   0.85  22.2211 
OBS:  53739.260  i NULL   1.8100e+02   2.087e+00    0  35.240   0.85  21.8452 
OBS:  53739.290  g NULL   9.7686e+01   1.832e+00    0  33.789   0.85  22.5401 
OBS:  53739.310  r NULL   1.9775e+02   2.270e+00    0  34.058   0.85  21.7539 
OBS:  53739.350  z NULL   1.1704e+02   3.381e+00    0  35.203   0.85  22.3400 
OBS:  53766.250  i NULL   9.9154e+01   2.240e+00    0  34.921   0.85  22.5088 
OBS:  53766.290  r NULL   4.6163e+01   2.367e+00    0  33.691   0.85  23.2412 
OBS:  53767.220  g NULL   1.7015e+01   1.391e+00    0  34.237   0.85  24.3780 
OBS:  53769.230  i NULL   8.7037e+01   1.557e+00    0  35.736   0.85  22.6485 
OBS:  53769.270  r NULL   4.4309e+01   1.397e+00    0  34.850   0.85  23.3438 
END_PHOTOMETRY: 

# ============================================= 
NSPECTRA:  0 

NVAR_SPEC: 6 
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR   SIM_GENFLAM SIM_GENMAG  

