SURVEY: SNLS3_LC(SNLS3_LC)   
SNID:   711   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SNLS3 
SNTYPE:  1 
FILTERS: griz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.682012 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.680000 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53401.145 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  61  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.68201  
SIM_REDSHIFT_CMB:    0.68000  
SIM_REDSHIFT_HOST:   0.68201  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      43.0581  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0324   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (griz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.73  22.97  22.92  23.09  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   53401.644531  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   9.3021e-06   
SIM_SALT2x1:    0.6089   
SIM_SALT2c:    -0.1272   
SIM_SALT2mB:   23.2135   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -16.07   days 
SIM_TRESTMAX:    55.71   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 49 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53374.610  i NULL   3.3836e+00   1.287e+00    0  36.055   0.85  26.3906 
OBS:  53374.650  r NULL   2.2224e+00   2.861e+00    0  33.240   0.85  27.5000 
OBS:  53375.590  r NULL   1.6927e-01   1.016e+00    0  35.488   0.85  26.5822 
OBS:  53375.620  z NULL   1.8216e+00   2.559e+00    0  35.772   0.85  25.8109 
OBS:  53375.650  g NULL   2.9986e+00   1.134e+00    0  34.662   0.85  26.3550 
OBS:  53378.460  i NULL   1.4188e+01   2.236e+00    0  34.858   0.85  24.8767 
OBS:  53385.520  g NULL   1.9430e+01   8.256e-01    0  35.382   0.85  24.2520 
OBS:  53385.550  i NULL   3.3677e+01   1.371e+00    0  35.940   0.85  23.6496 
OBS:  53385.590  r NULL   3.8457e+01   1.058e+00    0  35.453   0.85  23.5834 
OBS:  53390.420  i NULL   5.4141e+01   1.767e+00    0  35.399   0.85  23.2090 
OBS:  53390.470  r NULL   5.8238e+01   1.505e+00    0  34.706   0.85  23.1069 
OBS:  53390.510  z NULL   4.6706e+01   2.661e+00    0  35.697   0.85  23.3919 
OBS:  53390.540  g NULL   3.5993e+01   8.157e-01    0  35.459   0.85  23.6174 
OBS:  53408.440  i NULL   6.2320e+01   1.588e+00    0  35.648   0.85  23.0257 
OBS:  53408.470  r NULL   5.5297e+01   1.116e+00    0  35.371   0.85  23.1909 
OBS:  53408.490  g NULL   1.9259e+01   7.370e-01    0  35.631   0.85  24.2756 
OBS:  53411.490  i NULL   5.5127e+01   1.478e+00    0  35.801   0.85  23.1116 
OBS:  53411.520  r NULL   4.6474e+01   1.015e+00    0  35.570   0.85  23.3271 
OBS:  53411.550  z NULL   5.2223e+01   3.027e+00    0  35.418   0.85  23.1839 
OBS:  53415.480  r NULL   3.7240e+01   1.555e+00    0  34.602   0.85  23.5263 
OBS:  53415.520  g NULL   1.1083e+01   1.062e+00    0  34.816   0.85  24.8793 
OBS:  53416.450  i NULL   4.5922e+01   1.898e+00    0  35.236   0.85  23.2997 
OBS:  53418.400  i NULL   4.5159e+01   1.800e+00    0  35.351   0.85  23.3857 
OBS:  53418.490  r NULL   3.2982e+01   1.584e+00    0  34.554   0.85  23.6999 
OBS:  53419.400  z NULL   4.3322e+01   4.392e+00    0  34.604   0.85  23.3987 
OBS:  53440.420  i NULL   1.4471e+01   1.577e+00    0  35.619   0.85  24.6156 
OBS:  53440.470  r NULL   9.6874e+00   1.486e+00    0  34.669   0.85  25.2569 
OBS:  53446.250  i NULL   1.0722e+01   1.800e+00    0  35.329   0.85  24.8853 
OBS:  53446.310  r NULL   9.3584e+00   1.327e+00    0  34.913   0.85  25.6246 
OBS:  53446.330  g NULL   2.8742e+00   5.813e-01    0  36.112   0.85  26.6454 
OBS:  53446.340  z NULL   1.3312e+01   2.975e+00    0  35.446   0.85  24.3907 
OBS:  53448.290  i NULL   3.7778e+01   1.245e+01    0  31.135   0.85  24.9718 
OBS:  53461.420  i NULL   2.0453e+00   3.353e+00    0  33.975   0.85  25.4888 
OBS:  53462.350  i NULL   3.1852e+00   2.081e+00    0  35.012   0.85  25.5148 
OBS:  53462.400  r NULL   2.6709e+00   2.317e+00    0  33.699   0.85  26.0737 
OBS:  53463.270  r NULL   3.6963e+00   9.338e-01    0  35.673   0.85  26.1053 
OBS:  53463.310  g NULL  -3.7080e-01   4.842e-01    0  36.505   0.85  28.6398 
OBS:  53463.380  z NULL   7.7648e+00   4.451e+00    0  34.570   0.85  24.9940 
OBS:  53466.290  i NULL   6.3633e+00   1.725e+00    0  35.420   0.85  25.6041 
OBS:  53466.360  r NULL   2.9272e+00   9.494e-01    0  35.636   0.85  26.2350 
OBS:  53469.340  g NULL  -7.0527e-01   4.954e-01    0  36.456   0.85  99.0000 
OBS:  53470.260  i NULL   4.7663e+00   1.392e+00    0  35.885   0.85  25.6712 
OBS:  53470.300  r NULL   4.9119e+00   1.220e+00    0  35.093   0.85  26.4019 
OBS:  53470.330  z NULL   1.0512e+01   2.713e+00    0  35.646   0.85  25.1977 
OBS:  53474.360  i NULL   7.0766e+00   2.019e+00    0  35.078   0.85  25.7310 
OBS:  53474.380  g NULL   6.2867e-01   5.687e-01    0  36.157   0.85  99.0000 
OBS:  53474.400  r NULL   4.1739e+00   1.193e+00    0  35.141   0.85  26.5272 
OBS:  53495.270  i NULL   4.6451e+00   1.248e+00    0  36.122   0.85  25.9303 
OBS:  53495.350  r NULL   1.5558e+00   1.607e+00    0  34.492   0.85  26.6434 
END_PHOTOMETRY: 

# ============================================= 
NSPECTRA:  1 

NVAR_SPEC: 6 
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR   SIM_GENFLAM SIM_GENMAG  

SPECTRUM_ID:       1  
SPECTRUM_MJD:      53404.045            # Tobs =    2.400 
SPECTRUM_TEXPOSE:       97.6            # seconds
SPECTRUM_SNR_COMPUTE:     24.219        # from user SNR request
SPECTRUM_LAMOBS_SNR:    4251.1  8896.1  # range for SNR_COMPUTE
SPECTRUM_NLAM:     464 (of 962)         # Number of valid wave bins
SPEC:  4254.83  4264.72   5.089e-19   8.100e-19    2.324e-19  26.59 
SPEC:  4264.72  4274.94   3.348e-20   7.878e-19    2.232e-19  26.63 
SPEC:  4274.94  4285.16   3.626e-19   7.754e-19    2.194e-19  26.64 
SPEC:  4285.16  4295.04   5.407e-19   7.723e-19    2.207e-19  26.63 
SPEC:  4295.04  4304.93   1.034e-18   7.766e-19    2.271e-19  26.60 
SPEC:  4304.93  4314.82   1.825e-18   7.900e-19    2.383e-19  26.54 
SPEC:  4314.82  4325.04   8.574e-19   8.115e-19    2.545e-19  26.46 
SPEC:  4325.04  4335.25   6.362e-19   8.374e-19    2.751e-19  26.37 
SPEC:  4335.25  4345.14  -1.195e-19   8.635e-19    2.966e-19  26.29 
SPEC:  4345.14  4355.03   1.020e-18   8.889e-19    3.184e-19  26.20 
SPEC:  4355.03  4364.92   6.890e-19   9.133e-19    3.407e-19  26.12 
SPEC:  4364.92  4374.80  -5.086e-19   9.374e-19    3.635e-19  26.05 
SPEC:  4374.80  4385.02  -9.818e-20   9.611e-19    3.873e-19  25.98 
SPEC:  4385.02  4395.24  -6.462e-19   9.846e-19    4.119e-19  25.90 
SPEC:  4395.24  4405.13  -1.259e-18   1.006e-18    4.365e-19  25.84 
SPEC:  4405.13  4415.01  -7.203e-19   1.029e-18    4.611e-19  25.77 
SPEC:  4415.01  4424.90   1.448e-18   1.050e-18    4.861e-19  25.71 
SPEC:  4424.90  4434.79  -4.611e-19   1.070e-18    5.113e-19  25.65 
SPEC:  4434.79  4445.01  -7.341e-19   1.089e-18    5.363e-19  25.59 
SPEC:  4445.01  4455.22   8.053e-19   1.107e-18    5.608e-19  25.54 
SPEC:  4455.22  4465.11  -8.988e-19   1.123e-18    5.840e-19  25.49 
SPEC:  4465.11  4475.00   9.628e-19   1.137e-18    6.060e-19  25.45 
SPEC:  4475.00  4484.89   7.911e-20   1.150e-18    6.271e-19  25.40 
SPEC:  4484.89  4494.78  -7.381e-19   1.162e-18    6.475e-19  25.36 
SPEC:  4494.78  4504.99   2.554e-19   1.172e-18    6.673e-19  25.33 
SPEC:  4504.99  4515.21  -2.284e-19   1.182e-18    6.866e-19  25.29 
SPEC:  4515.21  4525.10  -3.054e-19   1.191e-18    7.047e-19  25.26 
SPEC:  4525.10  4534.99   2.441e-18   1.200e-18    7.224e-19  25.23 
SPEC:  4534.99  4544.87   7.634e-19   1.211e-18    7.416e-19  25.19 
SPEC:  4544.87  4554.76   3.080e-19   1.223e-18    7.628e-19  25.16 
SPEC:  4554.76  4564.98   1.306e-18   1.236e-18    7.863e-19  25.12 
SPEC:  4564.98  4575.20   1.554e-18   1.250e-18    8.121e-19  25.08 
SPEC:  4575.20  4585.08  -1.123e-18   1.264e-18    8.392e-19  25.04 
SPEC:  4585.08  4594.97   2.808e-18   1.281e-18    8.676e-19  25.00 
SPEC:  4594.97  4604.86   1.276e-18   1.296e-18    8.977e-19  24.96 
SPEC:  4604.86  4614.75   1.381e-18   1.313e-18    9.292e-19  24.91 
SPEC:  4614.75  4624.96   3.044e-18   1.332e-18    9.629e-19  24.87 
SPEC:  4624.96  4635.18   2.644e-18   1.350e-18    9.964e-19  24.83 
SPEC:  4635.18  4645.07  -3.259e-19   1.364e-18    1.025e-18  24.79 
SPEC:  4645.07  4654.96   3.371e-18   1.373e-18    1.047e-18  24.77 
SPEC:  4654.96  4664.84  -2.385e-20   1.380e-18    1.065e-18  24.74 
SPEC:  4664.84  4674.73   3.419e-19   1.384e-18    1.077e-18  24.73 
SPEC:  4674.73  4684.95   2.498e-18   1.384e-18    1.085e-18  24.71 
SPEC:  4684.95  4695.17   1.346e-18   1.380e-18    1.088e-18  24.71 
SPEC:  4695.17  4705.05   1.358e-18   1.374e-18    1.086e-18  24.70 
SPEC:  4705.05  4714.94  -7.536e-19   1.365e-18    1.080e-18  24.70 
SPEC:  4714.94  4724.83   1.125e-18   1.354e-18    1.070e-18  24.71 
SPEC:  4724.83  4735.05   4.928e-19   1.345e-18    1.062e-18  24.71 
SPEC:  4735.05  4745.26   8.826e-19   1.343e-18    1.065e-18  24.71 
SPEC:  4745.26  4755.15   2.474e-18   1.348e-18    1.080e-18  24.69 
SPEC:  4755.15  4765.04   3.351e-18   1.359e-18    1.106e-18  24.66 
SPEC:  4765.04  4774.93   2.044e-18   1.377e-18    1.141e-18  24.62 
SPEC:  4774.93  4784.81   1.859e-18   1.399e-18    1.186e-18  24.57 
SPEC:  4784.81  4795.03   2.174e-18   1.427e-18    1.241e-18  24.52 
SPEC:  4795.03  4805.25   1.129e-18   1.460e-18    1.307e-18  24.46 
SPEC:  4805.25  4815.14   2.537e-18   1.496e-18    1.381e-18  24.39 
SPEC:  4815.14  4825.02   1.403e-18   1.535e-18    1.462e-18  24.33 
SPEC:  4825.02  4834.91   7.854e-19   1.574e-18    1.543e-18  24.26 
SPEC:  4834.91  4844.80   3.806e-18   1.608e-18    1.621e-18  24.20 
SPEC:  4844.80  4855.02   4.316e-19   1.641e-18    1.697e-18  24.15 
SPEC:  4855.02  4865.23  -2.790e-19   1.672e-18    1.771e-18  24.10 
SPEC:  4865.23  4875.12   1.899e-18   1.700e-18    1.842e-18  24.05 
SPEC:  4875.12  4885.01   3.262e-18   1.725e-18    1.908e-18  24.01 
SPEC:  4885.01  4894.90   6.397e-18   1.750e-18    1.971e-18  23.97 
