SURVEY: SNLS3_LC(SNLS3_LC)   
SNID:   723   
IAUC:    NULL 
PHOTOMETRY_VERSION: JLA_TRAINING_SNLS3 
SNTYPE:  1 
FILTERS: griz 
RA:      0.000000  deg 
DEC:     0.000000  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0274    MW E(B-V) 
MWEBV_ERR:   0.0044    error on MWEBV 
REDSHIFT_HELIO:   0.355321 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.353700 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53712.906 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  SALT2.JLA-B14-ext 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14-ext  
SIM_LIBID:  73  
SIM_NGEN_LIBID:  1  
SIMLIB_MSKOPT:  6  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.35532  
SIM_REDSHIFT_CMB:    0.35370  
SIM_REDSHIFT_HOST:   0.35532  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      41.3651  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        0.000000 deg  
SIM_DEC:       0.000000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0307   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (griz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.37  21.77  21.70  21.97  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   53711.601562  days 
SIM_SALT2alpha:    0.140   
SIM_SALT2beta:     3.100   
SIM_SALT2gammaDM:  0.000  
SIM_SALT2x0:   3.2014e-05   
SIM_SALT2x1:    1.2647   
SIM_SALT2c:     0.0157   
SIM_SALT2mB:   21.8717   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 42 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53699.540  i NULL   1.2538e+02   3.554e+00    0  33.907   0.85  22.2668 
OBS:  53699.590  r NULL   1.2556e+02   1.681e+00    0  34.610   0.85  22.2571 
OBS:  53699.620  z NULL   1.0885e+02   3.049e+00    0  35.431   0.85  22.3861 
OBS:  53700.590  z NULL   1.0615e+02   1.595e+01    0  31.808   0.85  22.2929 
OBS:  53702.590  i NULL   1.6202e+02   2.561e+00    0  34.695   0.85  21.9802 
OBS:  53702.620  r NULL   1.5808e+02   2.136e+00    0  34.112   0.85  21.9856 
OBS:  53703.610  g NULL   1.0673e+02   1.391e+00    0  34.481   0.85  22.4084 
OBS:  53705.550  i NULL   1.8842e+02   1.958e+00    0  35.422   0.85  21.8175 
OBS:  53705.590  r NULL   1.8764e+02   1.926e+00    0  34.449   0.85  21.8386 
OBS:  53705.610  g NULL   1.1541e+02   1.213e+00    0  34.873   0.85  22.3339 
OBS:  53705.640  z NULL   1.4847e+02   3.772e+00    0  34.980   0.85  22.0414 
OBS:  53728.550  i NULL   1.5004e+02   1.916e+00    0  35.377   0.85  22.0569 
OBS:  53728.600  r NULL   1.1668e+02   1.978e+00    0  34.193   0.85  22.3649 
OBS:  53728.630  z NULL   9.7287e+01   3.600e+00    0  35.057   0.85  22.4683 
OBS:  53731.500  i NULL   1.3376e+02   2.083e+00    0  35.139   0.85  22.1902 
OBS:  53731.520  r NULL   9.7716e+01   1.382e+00    0  34.998   0.85  22.5459 
OBS:  53731.540  g NULL   3.7242e+01   8.954e-01    0  35.250   0.85  23.6097 
OBS:  53735.460  i NULL   1.2067e+02   1.916e+00    0  35.310   0.85  22.3191 
OBS:  53735.500  r NULL   7.4563e+01   1.662e+00    0  34.518   0.85  22.7754 
OBS:  53735.530  g NULL   2.5457e+01   1.171e+00    0  34.628   0.85  23.9502 
OBS:  53735.560  z NULL   9.7497e+01   3.776e+00    0  34.948   0.85  22.5857 
OBS:  53739.460  i NULL   1.0497e+02   2.882e+00    0  34.361   0.85  22.4191 
OBS:  53739.490  g NULL   1.8672e+01   1.373e+00    0  34.268   0.85  24.3085 
OBS:  53739.500  r NULL   5.9743e+01   4.134e+00    0  32.483   0.85  23.0455 
OBS:  53740.460  r NULL   5.4037e+01   1.710e+00    0  34.417   0.85  23.1183 
OBS:  53742.440  i NULL   1.0380e+02   2.252e+00    0  34.911   0.85  22.4878 
OBS:  53742.480  r NULL   5.1024e+01   1.283e+00    0  35.047   0.85  23.2638 
OBS:  53742.500  g NULL   1.5467e+01   9.664e-01    0  35.028   0.85  24.5970 
OBS:  53742.540  z NULL   8.7880e+01   3.608e+00    0  35.047   0.85  22.6081 
OBS:  53766.420  i NULL   4.5445e+01   2.313e+00    0  34.801   0.85  23.3783 
OBS:  53766.460  r NULL   2.0145e+01   1.630e+00    0  34.477   0.85  24.3594 
OBS:  53766.480  g NULL   6.0478e+00   1.023e+00    0  34.890   0.85  25.6001 
OBS:  53769.350  i NULL   3.5316e+01   3.801e+00    0  33.714   0.85  23.4750 
OBS:  53769.380  r NULL   1.4463e+01   1.805e+00    0  34.251   0.85  24.4177 
OBS:  53769.400  g NULL   7.5640e+00   1.271e+00    0  34.419   0.85  25.6254 
OBS:  53772.440  i NULL   3.8931e+01   2.029e+00    0  35.083   0.85  23.5537 
OBS:  53784.330  i NULL   3.2336e+01   2.268e+00    0  34.836   0.85  23.7083 
OBS:  53784.380  r NULL   1.9925e+01   3.635e+00    0  32.732   0.85  24.5382 
OBS:  53784.410  z NULL   5.4607e+01   1.448e+01    0  32.013   0.85  23.8898 
OBS:  53791.380  i NULL   2.8448e+01   1.089e+01    0  31.424   0.85  23.7890 
OBS:  53791.460  r NULL   1.3548e+01   3.724e+00    0  32.675   0.85  24.5761 
OBS:  53791.480  g NULL  -3.7351e+00   3.725e+00    0  32.075   0.85  27.2511 
END_PHOTOMETRY: 

# ============================================= 
NSPECTRA:  1 

NVAR_SPEC: 6 
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR   SIM_GENFLAM SIM_GENMAG  

SPECTRUM_ID:       1  
SPECTRUM_MJD:      53704.002            # Tobs =   -7.600 
SPECTRUM_TEXPOSE:     9504.0            # seconds
SPECTRUM_SNR_COMPUTE:    690.112        # from user SNR request
SPECTRUM_LAMOBS_SNR:    3738.3  8959.5  # range for SNR_COMPUTE
SPECTRUM_NLAM:     495 (of 962)         # Number of valid wave bins
SPEC:  4005.00  4014.89   3.502e-18   8.031e-20    3.486e-18  21.25 
SPEC:  4014.89  4024.78   3.620e-18   2.133e-19    3.494e-18  23.38 
SPEC:  4024.78  4035.00   3.660e-18   2.263e-19    3.500e-18  23.53 
SPEC:  4035.00  4045.21   3.250e-18   2.236e-19    3.509e-18  23.52 
SPEC:  4045.21  4055.10   3.394e-18   2.221e-19    3.542e-18  23.51 
SPEC:  4055.10  4064.99   3.674e-18   2.216e-19    3.606e-18  23.48 
SPEC:  4064.99  4074.88   3.525e-18   2.220e-19    3.701e-18  23.45 
